operating_region,pv_generation_10000_kwh,pv_grid_generation_10000_kwh,reporting_company,stock_code,source_name,source_url,source_doc,report_pages,retrieved_date,source_audit_status,source_note
Fujian,7028,6933,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Guangdong,20751,20099,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Inner Mongolia,598048,581955,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Qinghai,296328,291316,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Gansu,134016,130725,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Shaanxi,82377,80681,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Ningxia,120036,117766,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,28,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Heilongjiang,19528,19209,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Jilin,30727,30089,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Liaoning,28726,28024,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Yunnan,236053,229603,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Guangxi,60823,60024,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Hebei,105058,103048,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Shanxi,197705,194025,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Jiangsu,19994,19765,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Zhejiang,121879,118898,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,29,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Anhui,125900,123523,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,30,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
Henan,2234,2216,China Three Gorges Renewables Group Co Ltd,600905,Shanghai Stock Exchange,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600905_20250430_FYJO.pdf,China Three Gorges Renewables 2024 annual report,30,2026-07-01,row-level official corporate disclosure complete,SSE annual report table reports operating-region PV generation and grid export in 10000 kWh
