province,total_power_generation_100million_kwh,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
Beijing,455.64,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Tianjin,879.95,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Hebei,4334.58,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Shanxi,4629.49,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Inner Mongolia,8344.00,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Liaoning,2379.37,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Jilin,1179.62,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Heilongjiang,1372.34,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Shanghai,1078.02,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Jiangsu,6807.37,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Zhejiang,4983.55,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Anhui,3863.46,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Fujian,3584.41,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Jiangxi,1963.38,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Shandong,6773.25,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Henan,3832.45,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Hubei,3498.65,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Hunan,1900.11,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Guangdong,7354.51,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Guangxi,2602.85,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Hainan,515.29,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Chongqing,1210.10,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Sichuan,5307.27,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Guizhou,2556.10,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Yunnan,4646.34,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Tibet,171.63,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Shaanxi,3374.06,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Gansu,2271.50,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Qinghai,1153.50,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Ningxia,2368.02,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
Xinjiang,5478.02,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2025/html/C09-19.jpg,China Statistical Yearbook 2025 Table 9-19,2026-07-01,row-level official complete,Official NBS yearbook image reports 2024 total electricity generation by province
