adcode,city,city_fullname,province,province_fullname,province_code,admin_type,latitude,longitude,altitude_m,source_latitude,source_longitude,source_crs,cache_key,coordinate_source,source_version,source_url
110000,北京,北京市,北京,北京市,110000,municipality,39.900000,116.410000,50,39.905023,116.724502,GCJ-02,beijing,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/110000.json
120000,天津,天津市,天津,天津市,120000,municipality,39.130000,117.200000,5,39.085318,117.201509,GCJ-02,tianjin,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/120000.json
130100,石家庄,石家庄市,河北,河北省,130000,prefecture_level_city,38.040000,114.510000,80,38.042007,114.514976,GCJ-02,shijiazhuang,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130200,唐山,唐山市,河北,河北省,130000,prefecture_level_city,39.629372,118.173871,,39.630680,118.180149,GCJ-02,city_130200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130300,秦皇岛,秦皇岛市,河北,河北省,130000,prefecture_level_city,39.887014,119.514248,,39.888243,119.520220,GCJ-02,city_130300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130400,邯郸,邯郸市,河北,河北省,130000,prefecture_level_city,36.625770,114.533423,,36.625849,114.539150,GCJ-02,city_130400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130500,邢台,邢台市,河北,河北省,130000,prefecture_level_city,37.058312,114.491387,,37.058804,114.497321,GCJ-02,city_130500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130600,保定,保定市,河北,河北省,130000,prefecture_level_city,38.873575,115.458204,,38.874476,115.464523,GCJ-02,city_130600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130700,张家口,张家口市,河北,河北省,130000,prefecture_level_city,40.767647,114.879785,,40.768931,114.885895,GCJ-02,city_130700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130800,承德,承德市,河北,河北省,130000,prefecture_level_city,40.951659,117.956532,,40.953240,117.962859,GCJ-02,city_130800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
130900,沧州,沧州市,河北,河北省,130000,prefecture_level_city,38.304117,116.832925,,38.304676,116.838715,GCJ-02,city_130900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
131000,廊坊,廊坊市,河北,河北省,130000,prefecture_level_city,39.537203,116.677631,,39.538304,116.683546,GCJ-02,city_131000,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
131100,衡水,衡水市,河北,河北省,130000,prefecture_level_city,37.738728,115.663100,,37.739367,115.668987,GCJ-02,city_131100,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/130000.json
140100,太原,太原市,山西,山西省,140000,prefecture_level_city,37.870000,112.550000,780,37.870451,112.549656,GCJ-02,taiyuan,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
140200,大同,大同市,山西,山西省,140000,prefecture_level_city,40.095791,113.359578,,40.097110,113.366749,GCJ-02,city_140200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
140300,阳泉,阳泉市,山西,山西省,140000,prefecture_level_city,37.856591,113.574024,,37.857094,113.580426,GCJ-02,city_140300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
140400,长治,长治市,山西,山西省,140000,prefecture_level_city,36.194976,113.110730,,36.195142,113.117394,GCJ-02,city_140400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
140500,晋城,晋城市,山西,山西省,140000,prefecture_level_city,35.491730,112.845914,,35.491315,112.852022,GCJ-02,city_140500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
140600,朔州,朔州市,山西,山西省,140000,prefecture_level_city,39.330573,112.426060,,39.331734,112.432906,GCJ-02,city_140600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
140700,晋中,晋中市,山西,山西省,140000,prefecture_level_city,37.687325,112.746141,,37.688006,112.752633,GCJ-02,city_140700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/140000.json
