province,year,fleet_hours,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
北京,2024,1250,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
天津,2024,1200,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
河北,2024,1450,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
山西,2024,1300,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
内蒙古,2024,1600,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
辽宁,2024,1250,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
吉林,2024,1300,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
黑龙江,2024,1250,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
上海,2024,1050,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
江苏,2024,1150,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
浙江,2024,1050,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
安徽,2024,1150,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
福建,2024,1000,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
江西,2024,1050,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
山东,2024,1250,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
河南,2024,1150,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
湖北,2024,1050,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
湖南,2024,1000,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
广东,2024,1050,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
广西,2024,1100,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
