province,raw_gw,scaled_to_national_gw,scale_factor,national_total_gw,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
山东,76.134,76.214,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 7613.4 ten-thousand kW cumulative grid-connected PV capacity for Shandong
河北,72.024,72.099,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 7202.4 ten-thousand kW cumulative grid-connected PV capacity for Hebei
江苏,61.647,61.712,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 6164.7 ten-thousand kW cumulative grid-connected PV capacity for Jiangsu
浙江,47.275,47.324,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 4727.5 ten-thousand kW cumulative grid-connected PV capacity for Zhejiang
山西,34.768,34.804,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 3476.8 ten-thousand kW cumulative grid-connected PV capacity for Shanxi
内蒙古,48.109,48.159,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 4810.9 ten-thousand kW cumulative grid-connected PV capacity for Inner Mongolia
新疆,56.748,56.807,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 5345.6 ten-thousand kW for Xinjiang plus 329.2 ten-thousand kW for Xinjiang Production and Construction Corps, merged to preserve 31-province scope
宁夏,26.240,26.267,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 2624.0 ten-thousand kW cumulative grid-connected PV capacity for Ningxia
青海,36.420,36.458,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 3642.0 ten-thousand kW cumulative grid-connected PV capacity for Qinghai
甘肃,31.388,31.421,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 3138.8 ten-thousand kW cumulative grid-connected PV capacity for Gansu
