time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-4.47,50.11,98.3,1029.61,42.8,201.26,1.67,354.0,102780.0
1990-01-01 01:00:00+00:00,-4.39,44.92,244.45,824.13,72.7,198.29,1.78,355.0,102830.0
1990-01-01 02:00:00+00:00,-4.31,39.74,367.0,840.74,88.2,195.31,1.89,357.0,102920.0
1990-01-01 03:00:00+00:00,-4.23,34.56,442.0,833.82,95.85,192.34,2.0,353.0,102920.0
1990-01-01 04:00:00+00:00,-4.15,29.37,459.45,798.62,97.45,189.36,2.11,346.0,102850.0
1990-01-01 05:00:00+00:00,-4.07,24.19,417.4,730.74,93.35,186.38,2.22,343.0,102760.0
1990-01-01 06:00:00+00:00,-3.99,19.01,321.2,617.37,82.7,183.41,2.33,347.0,102690.0
1990-01-01 07:00:00+00:00,-3.91,13.83,184.1,425.35,62.55,180.43,2.44,356.0,102600.0
1990-01-01 08:00:00+00:00,-1.27,23.0,44.1,146.31,22.35,192.55,1.1,11.0,102610.0
1990-01-01 09:00:00+00:00,-2.43,26.0,0.0,0.0,0.0,190.4,0.76,102.0,102620.0
1990-01-01 10:00:00+00:00,-4.64,29.25,0.0,0.0,0.0,190.05,1.38,169.0,102670.0
1990-01-01 11:00:00+00:00,-6.26,33.0,0.0,0.0,0.0,190.05,1.66,208.0,102690.0
1990-01-01 12:00:00+00:00,-6.96,35.75,0.0,0.0,0.0,189.65,1.66,236.0,102720.0
1990-01-01 13:00:00+00:00,-7.1,35.75,0.0,0.0,0.0,188.5,1.45,262.0,102740.0
1990-01-01 14:00:00+00:00,-7.02,35.75,0.0,0.0,0.0,187.7,1.24,293.0,102790.0
1990-01-01 15:00:00+00:00,-7.76,37.25,0.0,0.0,0.0,186.95,1.45,339.0,102860.0
1990-01-01 16:00:00+00:00,-8.17,38.8,0.0,0.0,0.0,186.55,2.0,11.0,102840.0
1990-01-01 17:00:00+00:00,-8.22,38.8,0.0,0.0,0.0,185.4,2.0,12.0,102860.0
1990-01-01 18:00:00+00:00,-8.45,40.4,0.0,0.0,0.0,184.4,1.93,0.0,102910.0
1990-01-01 19:00:00+00:00,-8.79,38.65,0.0,0.0,0.0,182.85,2.14,358.0,102930.0
1990-01-01 20:00:00+00:00,-9.05,40.25,0.0,0.0,0.0,182.3,2.14,357.0,102930.0
1990-01-01 21:00:00+00:00,-9.23,40.25,0.0,0.0,0.0,185.75,2.21,1.0,102900.0
1990-01-01 22:00:00+00:00,-9.2,40.25,0.0,0.0,0.0,194.5,2.21,4.0,102930.0
1990-01-01 23:00:00+00:00,-9.29,40.25,0.0,0.0,0.0,196.2,2.14,0.0,102950.0
1990-01-02 00:00:00+00:00,-9.05,40.25,76.0,245.63,62.8,207.45,1.93,0.0,103010.0
1990-01-02 01:00:00+00:00,-7.76,35.6,219.9,550.52,105.1,207.75,1.79,5.0,103050.0
1990-01-02 02:00:00+00:00,-5.62,30.3,352.85,724.21,112.35,198.35,2.07,18.0,103070.0
1990-01-02 03:00:00+00:00,-3.68,26.9,422.75,706.52,128.85,195.25,2.34,27.0,103060.0
1990-01-02 04:00:00+00:00,-2.43,26.0,419.65,577.22,157.3,197.2,2.21,32.0,102960.0
1990-01-02 05:00:00+00:00,-1.69,24.05,345.95,374.24,179.4,202.6,1.66,37.0,102850.0
1990-01-02 06:00:00+00:00,-1.41,24.05,236.0,200.03,158.35,211.7,1.1,51.0,102730.0
1990-01-02 07:00:00+00:00,-1.15,24.15,115.15,41.34,103.25,222.75,1.31,65.0,102600.0
1990-01-02 08:00:00+00:00,-1.59,25.15,30.35,10.27,28.8,234.75,1.03,85.0,102630.0
1990-01-02 09:00:00+00:00,-2.46,28.4,0.0,0.0,0.0,231.65,1.31,119.0,102640.0
1990-01-02 10:00:00+00:00,-3.79,32.0,0.0,0.0,0.0,227.6,1.59,134.0,102630.0
1990-01-02 11:00:00+00:00,-4.85,33.3,0.0,0.0,0.0,228.55,1.38,159.0,102620.0
1990-01-02 12:00:00+00:00,-4.8,33.3,0.0,0.0,0.0,229.3,1.03,206.0,102620.0
1990-01-02 13:00:00+00:00,-4.82,33.3,0.0,0.0,0.0,230.85,0.9,246.0,102640.0
1990-01-02 14:00:00+00:00,-4.38,33.45,0.0,0.0,0.0,233.0,0.48,265.0,102620.0
1990-01-02 15:00:00+00:00,-4.47,33.45,0.0,0.0,0.0,235.3,0.34,261.0,102650.0
1990-01-02 16:00:00+00:00,-4.63,33.45,0.0,0.0,0.0,237.65,0.34,76.0,102600.0
1990-01-02 17:00:00+00:00,-4.88,36.35,0.0,0.0,0.0,239.2,0.55,79.0,102590.0
1990-01-02 18:00:00+00:00,-4.95,36.35,0.0,0.0,0.0,240.15,0.28,80.0,102580.0
1990-01-02 19:00:00+00:00,-5.47,37.85,0.0,0.0,0.0,235.5,0.83,69.0,102490.0
1990-01-02 20:00:00+00:00,-5.93,39.4,0.0,0.0,0.0,235.7,0.97,69.0,102450.0
1990-01-02 21:00:00+00:00,-6.06,39.4,0.0,0.0,0.0,230.1,0.9,67.0,102430.0
1990-01-02 22:00:00+00:00,-5.92,41.15,0.0,0.0,0.0,231.65,0.69,58.0,102430.0
1990-01-02 23:00:00+00:00,-5.99,41.15,0.0,0.0,0.0,234.15,0.62,48.0,102450.0
1990-01-03 00:00:00+00:00,-6.05,41.15,64.2,105.25,58.55,230.65,0.55,40.0,102500.0
1990-01-03 01:00:00+00:00,-5.18,39.7,175.9,194.47,135.3,230.0,0.28,53.0,102540.0
1990-01-03 02:00:00+00:00,-3.51,38.3,263.4,212.67,192.65,228.35,0.21,126.0,102570.0
1990-01-03 03:00:00+00:00,-2.22,34.0,365.85,421.63,190.05,230.85,0.48,186.0,102560.0
1990-01-03 04:00:00+00:00,-1.12,28.85,393.75,465.07,181.75,228.75,0.83,195.0,102460.0
1990-01-03 05:00:00+00:00,-0.45,26.55,348.1,377.08,179.65,221.4,1.1,202.0,102350.0
1990-01-03 06:00:00+00:00,-0.08,25.55,243.85,189.53,169.9,227.75,1.24,205.0,102260.0
1990-01-03 07:00:00+00:00,-0.25,25.55,144.0,138.74,103.75,230.5,1.1,195.0,102140.0
1990-01-03 08:00:00+00:00,-0.6,26.55,37.45,39.79,31.35,231.25,1.24,172.0,102190.0
