time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-16.62,75.41,70.55,6.18,69.9,198.74,2.78,318.0,99830.0
1990-01-01 01:00:00+00:00,-15.89,76.57,133.9,5.13,132.7,207.85,2.89,321.0,99880.0
1990-01-01 02:00:00+00:00,-15.16,77.74,215.05,48.23,199.2,216.96,3.0,320.0,99930.0
1990-01-01 03:00:00+00:00,-14.43,78.9,229.05,28.51,218.15,226.08,3.11,317.0,99940.0
1990-01-01 04:00:00+00:00,-13.69,80.07,243.85,54.79,222.4,235.19,3.22,312.0,99920.0
1990-01-01 05:00:00+00:00,-12.96,81.24,222.95,130.66,176.5,244.3,3.33,308.0,99950.0
1990-01-01 06:00:00+00:00,-12.23,82.4,130.4,21.49,124.45,253.41,3.44,304.0,99980.0
1990-01-01 07:00:00+00:00,-11.5,83.57,41.95,30.13,37.1,262.52,3.55,297.0,99980.0
1990-01-01 08:00:00+00:00,-13.22,83.7,0.2,0.0,0.2,228.15,2.62,294.0,100020.0
1990-01-01 09:00:00+00:00,-13.66,83.65,0.0,0.0,0.0,230.1,2.55,296.0,100090.0
1990-01-01 10:00:00+00:00,-14.16,87.3,0.0,0.0,0.0,224.3,2.41,297.0,100120.0
1990-01-01 11:00:00+00:00,-14.39,83.6,0.0,0.0,0.0,231.25,2.28,298.0,100130.0
1990-01-01 12:00:00+00:00,-15.05,83.55,0.0,0.0,0.0,216.35,2.07,297.0,100130.0
1990-01-01 13:00:00+00:00,-15.45,87.2,0.0,0.0,0.0,220.4,1.86,297.0,100140.0
1990-01-01 14:00:00+00:00,-16.16,83.4,0.0,0.0,0.0,208.8,1.93,295.0,100180.0
1990-01-01 15:00:00+00:00,-17.0,83.3,0.0,0.0,0.0,202.05,2.0,296.0,100180.0
1990-01-01 16:00:00+00:00,-17.92,79.6,0.0,0.0,0.0,196.8,2.21,299.0,100180.0
1990-01-01 17:00:00+00:00,-18.43,83.1,0.0,0.0,0.0,206.5,2.0,300.0,100230.0
1990-01-01 18:00:00+00:00,-18.76,83.1,0.0,0.0,0.0,209.75,1.93,304.0,100250.0
1990-01-01 19:00:00+00:00,-19.21,83.05,0.0,0.0,0.0,206.5,1.79,298.0,100270.0
1990-01-01 20:00:00+00:00,-19.46,86.85,0.0,0.0,0.0,210.95,1.66,295.0,100280.0
1990-01-01 21:00:00+00:00,-19.29,83.05,0.0,0.0,0.0,221.75,1.52,296.0,100290.0
1990-01-01 22:00:00+00:00,-19.62,86.85,0.0,0.0,0.0,211.15,1.66,296.0,100330.0
1990-01-01 23:00:00+00:00,-19.16,83.05,0.0,0.0,0.0,227.4,1.66,303.0,100350.0
1990-01-02 00:00:00+00:00,-18.79,79.45,96.65,124.85,83.5,224.5,1.66,304.0,100380.0
1990-01-02 01:00:00+00:00,-18.17,79.5,200.6,188.88,156.3,221.9,1.72,308.0,100390.0
1990-01-02 02:00:00+00:00,-17.6,79.6,299.55,332.58,190.0,217.5,1.79,311.0,100410.0
1990-01-02 03:00:00+00:00,-17.08,79.65,327.5,322.62,203.8,210.95,1.86,311.0,100400.0
1990-01-02 04:00:00+00:00,-16.75,79.7,308.85,340.9,174.9,207.45,2.0,307.0,100370.0
1990-01-02 05:00:00+00:00,-16.63,79.7,261.95,256.93,170.15,201.85,2.14,303.0,100350.0
1990-01-02 06:00:00+00:00,-16.62,79.7,168.35,209.91,109.8,211.15,2.21,301.0,100340.0
1990-01-02 07:00:00+00:00,-17.03,79.65,53.35,88.56,38.9,210.95,2.07,299.0,100320.0
1990-01-02 08:00:00+00:00,-17.54,79.6,0.3,0.0,0.3,200.5,1.86,300.0,100340.0
1990-01-02 09:00:00+00:00,-18.23,79.5,0.0,0.0,0.0,202.05,2.0,304.0,100340.0
1990-01-02 10:00:00+00:00,-18.94,83.05,0.0,0.0,0.0,198.15,2.0,307.0,100350.0
1990-01-02 11:00:00+00:00,-19.65,83.0,0.0,0.0,0.0,195.65,2.0,310.0,100320.0
1990-01-02 12:00:00+00:00,-20.16,82.9,0.0,0.0,0.0,200.7,1.72,317.0,100310.0
1990-01-02 13:00:00+00:00,-21.27,82.8,0.0,0.0,0.0,179.6,1.66,320.0,100280.0
1990-01-02 14:00:00+00:00,-21.68,82.7,0.0,0.0,0.0,177.85,1.24,311.0,100290.0
1990-01-02 15:00:00+00:00,-21.09,82.8,0.0,0.0,0.0,174.95,0.83,280.0,100270.0
1990-01-02 16:00:00+00:00,-22.3,82.65,0.0,0.0,0.0,179.95,1.31,246.0,100260.0
1990-01-02 17:00:00+00:00,-23.99,86.35,0.0,0.0,0.0,180.55,1.72,236.0,100250.0
1990-01-02 18:00:00+00:00,-24.37,82.4,0.0,0.0,0.0,178.6,1.66,221.0,100230.0
1990-01-02 19:00:00+00:00,-24.71,82.35,0.0,0.0,0.0,174.95,1.59,212.0,100210.0
1990-01-02 20:00:00+00:00,-25.71,78.45,0.0,0.0,0.0,179.6,1.86,212.0,100150.0
1990-01-02 21:00:00+00:00,-26.13,78.35,0.0,0.0,0.0,184.4,2.0,220.0,100130.0
1990-01-02 22:00:00+00:00,-26.03,78.35,0.0,0.0,0.0,185.75,1.79,225.0,100140.0
1990-01-02 23:00:00+00:00,-25.81,74.75,0.0,0.0,0.0,187.3,1.59,225.0,100110.0
1990-01-03 00:00:00+00:00,-25.68,78.45,120.5,330.59,85.6,187.5,1.52,229.0,100120.0
1990-01-03 01:00:00+00:00,-24.43,78.6,219.25,290.95,150.85,192.65,1.24,236.0,100140.0
1990-01-03 02:00:00+00:00,-22.77,78.85,338.6,487.9,177.45,194.7,1.31,243.0,100140.0
1990-01-03 03:00:00+00:00,-21.43,79.05,395.7,603.12,163.7,191.75,1.45,248.0,100120.0
1990-01-03 04:00:00+00:00,-20.25,82.9,384.4,606.42,145.15,182.3,1.31,259.0,100040.0
1990-01-03 05:00:00+00:00,-19.3,79.35,318.0,580.75,109.4,180.55,1.24,277.0,99980.0
1990-01-03 06:00:00+00:00,-18.76,79.45,201.6,427.3,81.5,178.4,1.38,289.0,99950.0
1990-01-03 07:00:00+00:00,-18.97,83.05,65.2,170.41,37.0,176.85,1.45,290.0,99940.0
1990-01-03 08:00:00+00:00,-19.49,83.0,0.5,0.0,0.5,173.75,1.59,300.0,99940.0
