time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,7.53,78.39,18.6,0.0,18.6,321.45,1.1,70.0,98190.0
1990-01-01 01:00:00+00:00,8.07,76.04,56.3,81.72,38.65,326.19,1.1,77.0,98090.0
1990-01-01 02:00:00+00:00,8.62,73.7,85.8,24.59,76.45,330.93,1.1,88.0,98140.0
1990-01-01 03:00:00+00:00,9.16,71.36,106.75,6.33,103.55,335.67,1.11,93.0,98180.0
1990-01-01 04:00:00+00:00,9.7,69.02,136.35,31.73,117.85,340.41,1.11,86.0,98100.0
1990-01-01 05:00:00+00:00,10.24,66.68,156.75,10.94,150.1,345.14,1.11,78.0,98010.0
1990-01-01 06:00:00+00:00,10.78,64.34,191.15,76.55,146.9,349.88,1.12,71.0,97930.0
1990-01-01 07:00:00+00:00,11.32,62.0,216.35,193.24,120.55,354.62,1.12,69.0,97790.0
1990-01-01 08:00:00+00:00,12.54,64.55,111.0,100.68,74.1,332.5,1.38,64.0,97790.0
1990-01-01 09:00:00+00:00,12.41,66.85,31.55,48.46,21.9,337.7,1.52,63.0,97830.0
1990-01-01 10:00:00+00:00,11.62,69.25,0.0,0.0,0.0,322.8,1.59,49.0,97870.0
1990-01-01 11:00:00+00:00,10.76,74.4,0.0,0.0,0.0,325.9,1.66,33.0,97950.0
1990-01-01 12:00:00+00:00,10.03,77.1,0.0,0.0,0.0,323.75,1.66,24.0,98050.0
1990-01-01 13:00:00+00:00,8.94,82.85,0.0,0.0,0.0,306.35,1.52,25.0,98080.0
1990-01-01 14:00:00+00:00,8.21,89.05,0.0,0.0,0.0,299.75,1.24,34.0,98130.0
1990-01-01 15:00:00+00:00,8.44,85.9,0.0,0.0,0.0,316.2,1.03,35.0,98180.0
1990-01-01 16:00:00+00:00,8.25,89.05,0.0,0.0,0.0,318.55,0.97,50.0,98160.0
1990-01-01 17:00:00+00:00,8.3,89.05,0.0,0.0,0.0,321.25,0.76,48.0,98160.0
1990-01-01 18:00:00+00:00,8.08,89.05,0.0,0.0,0.0,336.75,0.76,46.0,98120.0
1990-01-01 19:00:00+00:00,9.47,82.9,0.0,0.0,0.0,343.5,0.76,23.0,98070.0
1990-01-01 20:00:00+00:00,8.77,89.1,0.0,0.0,0.0,329.75,0.9,8.0,98050.0
