time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,12.61,67.38,51.05,180.08,34.3,350.23,1.49,344.0,99490.0
1990-01-01 01:00:00+00:00,13.71,67.29,152.55,176.7,100.25,353.57,1.39,339.0,99540.0
1990-01-01 02:00:00+00:00,14.81,67.21,226.4,241.34,113.3,356.91,1.28,332.0,99610.0
1990-01-01 03:00:00+00:00,15.9,67.13,441.35,465.7,162.3,360.24,1.18,332.0,99600.0
1990-01-01 04:00:00+00:00,17.0,67.04,546.5,533.22,184.55,363.58,1.08,331.0,99570.0
1990-01-01 05:00:00+00:00,18.1,66.96,478.95,422.22,182.55,366.92,0.98,355.0,99440.0
1990-01-01 06:00:00+00:00,19.2,66.88,383.35,346.89,151.9,370.25,0.88,327.0,99330.0
1990-01-01 07:00:00+00:00,20.29,66.79,242.95,194.52,130.75,373.59,0.78,325.0,99290.0
1990-01-01 08:00:00+00:00,19.04,65.75,131.15,158.25,62.0,374.45,0.69,307.0,99270.0
1990-01-01 09:00:00+00:00,18.66,68.05,45.6,79.9,25.05,381.05,0.62,288.0,99250.0
1990-01-01 10:00:00+00:00,18.01,72.9,0.9,0.0,0.9,371.95,0.83,319.0,99240.0
1990-01-01 11:00:00+00:00,17.47,75.4,0.0,0.0,0.0,377.95,0.97,341.0,99250.0
1990-01-01 12:00:00+00:00,16.87,80.8,0.0,0.0,0.0,373.9,1.31,320.0,99290.0
1990-01-01 13:00:00+00:00,16.43,83.6,0.0,0.0,0.0,376.6,1.52,311.0,99340.0
1990-01-01 14:00:00+00:00,15.93,86.5,0.0,0.0,0.0,367.9,1.45,307.0,99390.0
1990-01-01 15:00:00+00:00,15.5,89.55,0.0,0.0,0.0,366.55,1.03,300.0,99380.0
1990-01-01 16:00:00+00:00,15.24,96.0,0.0,0.0,0.0,365.75,0.69,246.0,99370.0
1990-01-01 17:00:00+00:00,15.21,96.0,0.0,0.0,0.0,373.5,0.62,243.0,99320.0
1990-01-01 18:00:00+00:00,14.98,92.7,0.0,0.0,0.0,361.9,0.69,251.0,99310.0
1990-01-01 19:00:00+00:00,14.46,92.7,0.0,0.0,0.0,363.05,0.97,291.0,99290.0
1990-01-01 20:00:00+00:00,14.43,92.7,0.0,0.0,0.0,361.7,0.83,301.0,99260.0
1990-01-01 21:00:00+00:00,14.36,92.7,0.0,0.0,0.0,363.65,0.9,323.0,99250.0
1990-01-01 22:00:00+00:00,14.55,92.7,0.0,0.0,0.0,356.5,0.69,353.0,99290.0
1990-01-01 23:00:00+00:00,14.86,92.7,0.0,0.0,0.0,354.75,0.41,105.0,99310.0
1990-01-02 00:00:00+00:00,13.76,95.95,90.55,451.67,48.95,355.7,1.1,117.0,99370.0
1990-01-02 01:00:00+00:00,15.59,96.0,244.05,461.11,107.85,360.05,0.97,114.0,99440.0
1990-01-02 02:00:00+00:00,17.4,83.7,337.85,461.99,121.45,359.2,1.17,99.0,99490.0
1990-01-02 03:00:00+00:00,18.81,78.25,485.7,550.37,155.8,377.95,1.38,80.0,99500.0
1990-01-02 04:00:00+00:00,20.4,70.8,596.75,656.33,150.8,373.5,1.59,69.0,99420.0
1990-01-02 05:00:00+00:00,21.81,66.25,542.1,550.77,154.85,375.85,1.72,71.0,99330.0
1990-01-02 06:00:00+00:00,22.59,62.05,236.8,101.99,168.6,381.05,1.52,76.0,99240.0
1990-01-02 07:00:00+00:00,21.98,64.1,155.6,52.36,125.3,401.55,1.31,64.0,99210.0
