time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,4.25,59.54,245.7,885.83,75.65,223.13,2.17,296.0,103170.0
1990-01-01 01:00:00+00:00,4.3,54.4,419.95,898.38,98.2,221.21,2.51,307.0,103230.0
1990-01-01 02:00:00+00:00,4.34,49.25,550.4,903.83,110.7,219.3,2.84,320.0,103260.0
1990-01-01 03:00:00+00:00,4.39,44.11,619.65,885.44,116.5,217.39,3.17,325.0,103230.0
1990-01-01 04:00:00+00:00,4.44,38.97,621.0,843.42,116.75,215.48,3.5,327.0,103120.0
1990-01-01 05:00:00+00:00,4.49,33.83,554.4,773.24,111.1,213.57,3.83,327.0,103020.0
1990-01-01 06:00:00+00:00,4.53,28.69,426.8,660.97,98.8,211.66,4.16,326.0,102960.0
1990-01-01 07:00:00+00:00,4.58,23.54,255.45,479.11,77.25,209.75,4.49,328.0,102960.0
1990-01-01 08:00:00+00:00,5.89,30.85,77.15,201.81,35.0,222.15,3.86,328.0,102980.0
1990-01-01 09:00:00+00:00,4.61,35.9,0.25,0.0,0.25,221.6,2.69,329.0,103000.0
1990-01-01 10:00:00+00:00,3.19,43.6,0.0,0.0,0.0,219.25,2.21,327.0,103050.0
1990-01-01 11:00:00+00:00,2.02,49.0,0.0,0.0,0.0,217.5,2.14,324.0,103080.0
1990-01-01 12:00:00+00:00,0.75,57.2,0.0,0.0,0.0,216.35,2.07,323.0,103130.0
1990-01-01 13:00:00+00:00,-0.51,61.8,0.0,0.0,0.0,214.6,2.0,328.0,103140.0
1990-01-01 14:00:00+00:00,-1.51,66.8,0.0,0.0,0.0,213.85,2.0,334.0,103150.0
1990-01-01 15:00:00+00:00,-1.98,69.45,0.0,0.0,0.0,212.5,1.86,340.0,103150.0
1990-01-01 16:00:00+00:00,-1.98,69.45,0.0,0.0,0.0,211.5,1.72,343.0,103120.0
1990-01-01 17:00:00+00:00,-1.68,66.8,0.0,0.0,0.0,210.35,1.52,341.0,103120.0
1990-01-01 18:00:00+00:00,-1.67,66.8,0.0,0.0,0.0,209.6,1.45,337.0,103090.0
1990-01-01 19:00:00+00:00,-1.9,69.45,0.0,0.0,0.0,209.0,1.59,330.0,103160.0
1990-01-01 20:00:00+00:00,-1.5,66.8,0.0,0.0,0.0,208.05,1.38,326.0,103130.0
1990-01-01 21:00:00+00:00,-1.39,66.8,0.0,0.0,0.0,206.85,1.31,324.0,103120.0
1990-01-01 22:00:00+00:00,-1.56,66.8,0.0,0.0,0.0,206.3,1.31,320.0,103190.0
1990-01-01 23:00:00+00:00,-1.39,66.8,0.0,0.0,0.0,205.5,1.24,317.0,103200.0
1990-01-02 00:00:00+00:00,-0.33,64.35,244.2,882.51,75.15,205.7,0.76,316.0,103240.0
1990-01-02 01:00:00+00:00,1.27,48.7,419.35,897.7,97.9,207.75,1.1,330.0,103230.0
