time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-5.47,56.78,0.0,0.0,0.0,188.57,1.3,53.0,89350.0
1990-01-01 01:00:00+00:00,-5.16,56.39,192.55,857.03,61.7,189.31,1.45,60.0,89380.0
1990-01-01 02:00:00+00:00,-4.85,56.0,326.5,864.92,80.2,190.06,1.59,151.0,89380.0
1990-01-01 03:00:00+00:00,-4.55,55.61,418.3,863.36,90.2,190.8,1.73,196.0,89330.0
1990-01-01 04:00:00+00:00,-4.24,55.21,454.2,834.32,93.8,191.54,1.88,211.0,89290.0
1990-01-01 05:00:00+00:00,-3.93,54.82,429.45,774.16,91.1,192.29,2.02,216.0,89200.0
1990-01-01 06:00:00+00:00,-3.62,54.43,347.1,669.98,82.5,193.03,2.16,218.0,89110.0
1990-01-01 07:00:00+00:00,-3.31,54.04,218.55,495.65,65.65,193.77,2.31,217.0,89050.0
1990-01-01 08:00:00+00:00,-1.14,44.3,73.3,217.88,33.3,196.05,2.21,211.0,89060.0
1990-01-01 09:00:00+00:00,-2.75,49.8,0.85,0.0,0.85,194.5,1.66,194.0,89100.0
1990-01-01 10:00:00+00:00,-3.07,45.65,0.0,0.0,0.0,193.5,1.17,173.0,89090.0
1990-01-01 11:00:00+00:00,-3.25,45.65,0.0,0.0,0.0,192.75,0.83,148.0,89110.0
1990-01-01 12:00:00+00:00,-3.68,45.5,0.0,0.0,0.0,191.95,0.83,119.0,89120.0
1990-01-01 13:00:00+00:00,-4.24,47.35,0.0,0.0,0.0,194.3,0.97,108.0,89100.0
1990-01-01 14:00:00+00:00,-4.63,47.2,0.0,0.0,0.0,198.15,0.9,108.0,89100.0
1990-01-01 15:00:00+00:00,-4.82,47.2,0.0,0.0,0.0,197.6,0.62,104.0,89120.0
1990-01-01 16:00:00+00:00,-5.08,51.25,0.0,0.0,0.0,196.6,0.55,94.0,89090.0
1990-01-01 17:00:00+00:00,-5.32,51.25,0.0,0.0,0.0,199.15,0.69,95.0,89090.0
1990-01-01 18:00:00+00:00,-5.6,53.35,0.0,0.0,0.0,206.1,0.76,90.0,89060.0
1990-01-01 19:00:00+00:00,-6.32,55.55,0.0,0.0,0.0,196.2,1.03,52.0,89060.0
1990-01-01 20:00:00+00:00,-7.71,60.25,0.0,0.0,0.0,193.15,1.38,37.0,89030.0
1990-01-01 21:00:00+00:00,-8.87,62.65,0.0,0.0,0.0,192.95,1.66,34.0,89010.0
1990-01-01 22:00:00+00:00,-10.28,67.9,0.0,0.0,0.0,192.15,1.86,35.0,89000.0
1990-01-01 23:00:00+00:00,-11.98,73.75,0.0,0.0,0.0,191.2,2.0,30.0,89040.0
1990-01-02 00:00:00+00:00,-13.1,76.75,0.0,0.0,0.0,190.8,2.07,30.0,89110.0
1990-01-02 01:00:00+00:00,-11.3,70.7,191.95,855.06,61.35,191.1,1.66,32.0,89120.0
1990-01-02 02:00:00+00:00,-6.17,53.25,325.4,861.12,79.85,192.95,1.17,36.0,89150.0
1990-01-02 03:00:00+00:00,-2.63,43.85,416.7,858.12,89.95,196.4,0.55,61.0,89110.0
1990-01-02 04:00:00+00:00,-0.75,39.15,452.35,828.35,93.6,199.3,0.48,190.0,89070.0
1990-01-02 05:00:00+00:00,0.34,37.8,428.05,768.7,90.95,200.85,1.17,214.0,89000.0
1990-01-02 06:00:00+00:00,0.88,36.4,345.65,664.68,81.95,202.05,1.59,215.0,88920.0
1990-01-02 07:00:00+00:00,1.07,37.95,218.65,493.5,65.4,202.4,1.79,226.0,88870.0
1990-01-02 08:00:00+00:00,0.56,39.45,74.5,219.56,33.7,201.45,1.72,215.0,88870.0
1990-01-02 09:00:00+00:00,-0.77,42.6,0.95,0.0,0.95,198.95,1.66,201.0,88910.0
1990-01-02 10:00:00+00:00,-2.77,49.8,0.0,0.0,0.0,197.4,1.17,189.0,88960.0
1990-01-02 11:00:00+00:00,-2.56,49.8,0.0,0.0,0.0,197.2,0.9,158.0,88950.0
1990-01-02 12:00:00+00:00,-3.22,51.8,0.0,0.0,0.0,196.8,1.03,132.0,88960.0
1990-01-02 13:00:00+00:00,-4.24,56.1,0.0,0.0,0.0,195.85,1.1,129.0,88950.0
1990-01-02 14:00:00+00:00,-4.3,56.1,0.0,0.0,0.0,194.85,0.97,138.0,88960.0
1990-01-02 15:00:00+00:00,-4.6,58.35,0.0,0.0,0.0,193.5,0.76,164.0,88940.0
1990-01-02 16:00:00+00:00,-4.82,55.95,0.0,0.0,0.0,195.25,0.76,197.0,88900.0
1990-01-02 17:00:00+00:00,-5.04,58.2,0.0,0.0,0.0,199.5,0.83,216.0,88900.0
1990-01-02 18:00:00+00:00,-5.24,58.2,0.0,0.0,0.0,198.55,0.69,242.0,88900.0
1990-01-02 19:00:00+00:00,-5.93,55.7,0.0,0.0,0.0,190.2,0.69,297.0,88950.0
1990-01-02 20:00:00+00:00,-7.15,62.9,0.0,0.0,0.0,185.75,0.76,333.0,88990.0
1990-01-02 21:00:00+00:00,-8.35,62.75,0.0,0.0,0.0,182.3,0.9,358.0,89000.0
1990-01-02 22:00:00+00:00,-9.45,65.25,0.0,0.0,0.0,181.15,1.1,6.0,89050.0
1990-01-02 23:00:00+00:00,-10.73,73.9,0.0,0.0,0.0,180.15,1.24,2.0,89080.0
1990-01-03 00:00:00+00:00,-11.63,77.0,0.0,0.0,0.0,179.4,1.38,357.0,89120.0
1990-01-03 01:00:00+00:00,-10.79,70.8,194.6,867.5,61.95,179.5,1.17,355.0,89180.0
1990-01-03 02:00:00+00:00,-7.1,60.25,329.8,873.08,80.4,181.3,0.69,329.0,89200.0
1990-01-03 03:00:00+00:00,-3.98,49.4,423.35,873.33,90.05,184.2,1.03,271.0,89190.0
1990-01-03 04:00:00+00:00,-2.17,44.0,458.6,842.33,92.75,187.3,2.0,256.0,89140.0
1990-01-03 05:00:00+00:00,-0.92,40.7,428.95,752.51,97.75,189.65,2.9,258.0,89050.0
1990-01-03 06:00:00+00:00,-0.18,39.3,344.7,640.55,89.35,193.9,3.52,268.0,89000.0
1990-01-03 07:00:00+00:00,0.23,39.45,210.8,458.59,67.4,204.15,3.31,280.0,88970.0
1990-01-03 08:00:00+00:00,-0.11,41.0,72.45,203.3,34.2,199.5,2.76,290.0,89010.0
1990-01-03 09:00:00+00:00,-1.48,48.05,1.1,0.0,1.1,203.0,1.59,304.0,89040.0
1990-01-03 10:00:00+00:00,-4.09,56.1,0.0,0.0,0.0,195.45,1.38,334.0,89120.0
1990-01-03 11:00:00+00:00,-6.29,65.8,0.0,0.0,0.0,190.4,2.28,354.0,89210.0
1990-01-03 12:00:00+00:00,-7.3,68.45,0.0,0.0,0.0,186.55,2.9,2.0,89310.0
1990-01-03 13:00:00+00:00,-8.43,68.35,0.0,0.0,0.0,184.05,2.97,3.0,89380.0
1990-01-03 14:00:00+00:00,-9.49,68.15,0.0,0.0,0.0,182.1,3.03,5.0,89450.0
1990-01-03 15:00:00+00:00,-10.33,70.9,0.0,0.0,0.0,183.25,2.83,8.0,89470.0
1990-01-03 16:00:00+00:00,-11.02,73.8,0.0,0.0,0.0,182.85,2.69,10.0,89510.0
1990-01-03 17:00:00+00:00,-11.68,77.0,0.0,0.0,0.0,180.55,2.55,12.0,89530.0
1990-01-03 18:00:00+00:00,-12.29,76.9,0.0,0.0,0.0,178.6,2.48,14.0,89550.0
1990-01-03 19:00:00+00:00,-12.48,76.9,0.0,0.0,0.0,184.05,2.41,14.0,89520.0
1990-01-03 20:00:00+00:00,-12.94,76.85,0.0,0.0,0.0,177.85,2.34,13.0,89540.0
1990-01-03 21:00:00+00:00,-13.53,80.1,0.0,0.0,0.0,174.75,2.21,14.0,89550.0
1990-01-03 22:00:00+00:00,-13.88,80.1,0.0,0.0,0.0,179.0,2.28,16.0,89580.0
1990-01-03 23:00:00+00:00,-14.14,80.0,0.0,0.0,0.0,181.15,2.41,17.0,89610.0
1990-01-04 00:00:00+00:00,-14.05,76.6,0.0,0.0,0.0,191.4,2.34,16.0,89660.0
1990-01-04 01:00:00+00:00,-13.56,70.2,150.95,431.48,84.85,194.4,2.28,14.0,89690.0
1990-01-04 02:00:00+00:00,-11.84,59.25,255.05,438.39,129.55,200.85,2.48,9.0,89690.0
1990-01-04 03:00:00+00:00,-10.44,47.85,392.95,710.09,121.25,193.5,2.55,6.0,89700.0
1990-01-04 04:00:00+00:00,-8.92,40.4,430.45,718.18,117.55,186.35,0.0,0.0,89610.0
1990-01-04 05:00:00+00:00,-7.92,35.6,432.1,745.87,102.55,182.85,0.0,0.0,89530.0
1990-01-04 06:00:00+00:00,-7.34,35.6,319.0,495.32,120.55,178.25,2.97,349.0,89470.0
1990-01-04 07:00:00+00:00,-7.69,34.05,190.6,323.38,88.75,192.55,3.1,352.0,89460.0
1990-01-04 08:00:00+00:00,-8.29,35.45,68.7,131.19,43.7,193.7,3.31,353.0,89490.0
1990-01-04 09:00:00+00:00,-9.52,40.1,1.35,0.0,1.35,187.5,2.48,0.0,89520.0
1990-01-04 10:00:00+00:00,-10.99,43.6,0.0,0.0,0.0,179.0,2.21,6.0,89540.0
1990-01-04 11:00:00+00:00,-12.08,47.25,0.0,0.0,0.0,177.65,2.0,9.0,89570.0
1990-01-04 12:00:00+00:00,-13.11,49.15,0.0,0.0,0.0,175.3,2.14,9.0,89610.0
1990-01-04 13:00:00+00:00,-14.36,51.15,0.0,0.0,0.0,159.45,2.34,9.0,89640.0
1990-01-04 14:00:00+00:00,-15.45,53.25,0.0,0.0,0.0,151.9,2.48,9.0,89680.0
1990-01-04 15:00:00+00:00,-16.37,53.0,0.0,0.0,0.0,147.65,2.41,10.0,89700.0
1990-01-04 16:00:00+00:00,-17.15,55.2,0.0,0.0,0.0,145.5,2.34,10.0,89740.0
1990-01-04 17:00:00+00:00,-17.78,55.1,0.0,0.0,0.0,144.15,2.21,11.0,89710.0
1990-01-04 18:00:00+00:00,-18.25,52.6,0.0,0.0,0.0,144.15,2.14,12.0,89700.0
1990-01-04 19:00:00+00:00,-18.57,52.6,0.0,0.0,0.0,145.5,2.14,12.0,89660.0
1990-01-04 20:00:00+00:00,-18.88,52.45,0.0,0.0,0.0,145.15,2.0,13.0,89630.0
1990-01-04 21:00:00+00:00,-19.2,54.8,0.0,0.0,0.0,145.5,1.93,14.0,89610.0
1990-01-04 22:00:00+00:00,-19.52,52.3,0.0,0.0,0.0,145.3,1.86,16.0,89590.0
1990-01-04 23:00:00+00:00,-19.79,54.7,0.0,0.0,0.0,145.15,1.86,18.0,89610.0
1990-01-05 00:00:00+00:00,-20.02,54.7,0.0,0.0,0.0,145.3,1.86,20.0,89630.0
1990-01-05 01:00:00+00:00,-18.94,50.0,203.45,925.2,61.35,146.2,1.52,18.0,89660.0
1990-01-05 02:00:00+00:00,-15.85,42.1,343.0,918.79,79.3,148.6,1.03,20.0,89660.0
1990-01-05 03:00:00+00:00,-13.52,35.6,438.55,911.06,88.95,151.3,0.28,296.0,89640.0
1990-01-05 04:00:00+00:00,-11.76,32.85,476.65,878.86,92.45,153.05,1.17,240.0,89570.0
1990-01-05 05:00:00+00:00,-10.47,30.35,452.8,817.19,90.25,155.0,1.72,238.0,89480.0
1990-01-05 06:00:00+00:00,-9.63,30.5,369.55,713.67,82.1,156.35,1.93,237.0,89400.0
1990-01-05 07:00:00+00:00,-9.67,31.95,238.45,542.69,66.25,156.55,1.86,235.0,89350.0
1990-01-05 08:00:00+00:00,-9.78,33.45,86.2,258.97,36.2,157.15,1.79,233.0,89360.0
1990-01-05 09:00:00+00:00,-10.6,36.35,1.6,0.0,1.6,155.95,1.59,215.0,89380.0
1990-01-05 10:00:00+00:00,-11.89,37.75,0.0,0.0,0.0,155.0,1.52,208.0,89430.0
1990-01-05 11:00:00+00:00,-13.35,42.85,0.0,0.0,0.0,155.2,1.1,204.0,89480.0
1990-01-05 12:00:00+00:00,-12.94,41.1,0.0,0.0,0.0,154.8,0.55,200.0,89540.0
1990-01-05 13:00:00+00:00,-13.23,42.85,0.0,0.0,0.0,155.0,0.07,145.0,89580.0
1990-01-05 14:00:00+00:00,-13.59,44.75,0.0,0.0,0.0,154.6,0.41,42.0,89630.0
1990-01-05 15:00:00+00:00,-14.07,48.85,0.0,0.0,0.0,154.6,0.83,42.0,89670.0
1990-01-05 16:00:00+00:00,-15.93,55.65,0.0,0.0,0.0,155.2,1.24,42.0,89670.0
1990-01-05 17:00:00+00:00,-17.51,63.45,0.0,0.0,0.0,155.0,1.52,36.0,89670.0
1990-01-05 18:00:00+00:00,-18.37,66.3,0.0,0.0,0.0,155.0,1.66,31.0,89680.0
1990-01-05 19:00:00+00:00,-18.94,69.3,0.0,0.0,0.0,154.25,1.59,28.0,89690.0
1990-01-05 20:00:00+00:00,-19.28,69.2,0.0,0.0,0.0,153.85,1.59,23.0,89670.0
1990-01-05 21:00:00+00:00,-19.53,66.05,0.0,0.0,0.0,152.85,1.59,18.0,89700.0
1990-01-05 22:00:00+00:00,-19.69,65.95,0.0,0.0,0.0,152.3,1.66,17.0,89720.0
1990-01-05 23:00:00+00:00,-19.76,62.95,0.0,0.0,0.0,151.5,1.72,16.0,89770.0
1990-01-06 00:00:00+00:00,-19.85,60.1,0.0,0.0,0.0,150.35,1.79,15.0,89840.0
1990-01-06 01:00:00+00:00,-18.39,52.6,203.6,924.76,61.1,150.45,1.66,11.0,89870.0
1990-01-06 02:00:00+00:00,-14.54,38.75,343.8,919.9,79.0,151.3,1.31,357.0,89910.0
1990-01-06 03:00:00+00:00,-12.11,35.9,439.5,910.78,88.9,153.25,1.24,327.0,89920.0
1990-01-06 04:00:00+00:00,-10.44,31.8,477.3,876.71,92.65,155.2,1.59,314.0,89890.0
1990-01-06 05:00:00+00:00,-9.22,30.65,452.95,813.32,90.55,157.7,2.14,317.0,89820.0
1990-01-06 06:00:00+00:00,-8.44,30.95,368.15,703.7,83.15,160.4,2.55,322.0,89770.0
1990-01-06 07:00:00+00:00,-8.58,35.3,236.55,526.33,68.25,164.1,3.03,325.0,89730.0
1990-01-06 08:00:00+00:00,-8.93,36.95,86.2,252.47,36.8,165.85,3.45,338.0,89810.0
1990-01-06 09:00:00+00:00,-10.22,43.75,2.05,7.28,1.75,162.55,3.17,347.0,89870.0
