time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,2.14,58.14,199.5,825.22,69.05,224.4,2.21,152.0,101850.0
1990-01-01 01:00:00+00:00,3.35,56.62,365.5,833.91,95.3,229.75,2.25,158.0,101850.0
1990-01-01 02:00:00+00:00,4.56,55.1,490.55,821.63,117.75,235.1,2.28,166.0,101840.0
1990-01-01 03:00:00+00:00,5.77,53.58,568.15,841.3,115.2,240.46,2.32,178.0,101750.0
1990-01-01 04:00:00+00:00,6.98,52.06,574.1,800.73,115.9,245.81,2.36,190.0,101620.0
1990-01-01 05:00:00+00:00,8.19,50.54,514.45,720.34,116.15,251.16,2.4,198.0,101500.0
1990-01-01 06:00:00+00:00,9.4,49.01,320.3,280.71,185.05,256.52,2.44,203.0,101420.0
1990-01-01 07:00:00+00:00,10.62,47.49,184.75,168.67,123.4,261.87,2.47,201.0,101360.0
1990-01-01 08:00:00+00:00,10.95,47.45,50.75,41.12,42.25,299.4,2.07,197.0,101350.0
1990-01-01 09:00:00+00:00,9.22,56.9,0.25,0.0,0.25,297.25,2.48,195.0,101370.0
1990-01-01 10:00:00+00:00,7.82,61.1,0.0,0.0,0.0,300.75,2.62,202.0,101410.0
1990-01-01 11:00:00+00:00,7.29,63.35,0.0,0.0,0.0,307.7,2.9,214.0,101450.0
1990-01-01 12:00:00+00:00,6.65,61.0,0.0,0.0,0.0,298.4,3.38,220.0,101490.0
1990-01-01 13:00:00+00:00,5.94,63.25,0.0,0.0,0.0,294.75,3.52,220.0,101470.0
1990-01-01 14:00:00+00:00,5.37,70.85,0.0,0.0,0.0,293.75,3.52,218.0,101480.0
1990-01-01 15:00:00+00:00,5.09,73.55,0.0,0.0,0.0,298.05,3.31,220.0,101480.0
1990-01-01 16:00:00+00:00,4.36,79.3,0.0,0.0,0.0,274.8,3.1,225.0,101500.0
1990-01-01 17:00:00+00:00,3.49,85.45,0.0,0.0,0.0,261.85,2.83,232.0,101530.0
1990-01-01 18:00:00+00:00,2.64,88.65,0.0,0.0,0.0,252.35,2.62,234.0,101550.0
1990-01-01 19:00:00+00:00,1.89,92.1,0.0,0.0,0.0,248.1,2.34,243.0,101480.0
1990-01-01 20:00:00+00:00,1.1,95.65,0.0,0.0,0.0,245.0,2.34,238.0,101460.0
1990-01-01 21:00:00+00:00,0.42,95.65,0.0,0.0,0.0,241.9,2.34,237.0,101450.0
1990-01-01 22:00:00+00:00,-0.14,95.6,0.0,0.0,0.0,240.15,2.28,241.0,101490.0
1990-01-01 23:00:00+00:00,-0.59,95.6,0.0,0.0,0.0,239.0,2.34,240.0,101540.0
1990-01-02 00:00:00+00:00,0.13,99.4,195.05,794.87,69.7,238.05,2.14,239.0,101600.0
1990-01-02 01:00:00+00:00,4.05,85.5,360.0,816.9,95.35,240.85,2.41,242.0,101660.0
1990-01-02 02:00:00+00:00,7.01,73.8,488.3,834.22,109.5,246.35,2.76,246.0,101700.0
1990-01-02 03:00:00+00:00,9.34,66.25,560.25,823.15,116.45,252.95,3.1,254.0,101670.0
1990-01-02 04:00:00+00:00,10.98,55.3,567.65,785.58,117.2,259.1,3.59,266.0,101610.0
1990-01-02 05:00:00+00:00,11.93,51.5,510.0,717.78,112.0,263.75,3.72,278.0,101560.0
1990-01-02 06:00:00+00:00,12.33,53.5,394.35,609.47,99.55,267.05,3.66,289.0,101550.0
1990-01-02 07:00:00+00:00,12.13,53.5,236.8,435.55,77.45,268.05,3.1,306.0,101560.0
1990-01-02 08:00:00+00:00,11.53,55.4,73.4,180.85,35.6,268.05,2.34,323.0,101640.0
1990-01-02 09:00:00+00:00,9.6,63.9,0.45,0.0,0.45,265.7,2.41,348.0,101720.0
1990-01-02 10:00:00+00:00,7.18,76.65,0.0,0.0,0.0,262.6,2.76,7.0,101850.0
1990-01-02 11:00:00+00:00,5.67,79.4,0.0,0.0,0.0,259.1,2.9,21.0,101920.0
1990-01-02 12:00:00+00:00,4.68,82.35,0.0,0.0,0.0,261.05,2.9,31.0,101980.0
1990-01-02 13:00:00+00:00,3.82,82.3,0.0,0.0,0.0,253.5,3.1,41.0,102030.0
1990-01-02 14:00:00+00:00,3.23,88.7,0.0,0.0,0.0,251.75,3.38,50.0,102060.0
1990-01-02 15:00:00+00:00,2.73,88.65,0.0,0.0,0.0,252.55,3.31,56.0,102060.0
1990-01-02 16:00:00+00:00,2.19,92.1,0.0,0.0,0.0,247.15,3.1,60.0,102060.0
1990-01-02 17:00:00+00:00,1.72,95.65,0.0,0.0,0.0,244.4,2.97,61.0,102030.0
1990-01-02 18:00:00+00:00,1.36,92.05,0.0,0.0,0.0,244.6,2.9,61.0,102020.0
1990-01-02 19:00:00+00:00,1.01,95.65,0.0,0.0,0.0,246.35,2.69,69.0,101980.0
1990-01-02 20:00:00+00:00,0.84,95.65,0.0,0.0,0.0,249.85,2.62,77.0,101930.0
1990-01-02 21:00:00+00:00,0.55,95.65,0.0,0.0,0.0,242.85,2.62,82.0,101930.0
1990-01-02 22:00:00+00:00,0.34,95.65,0.0,0.0,0.0,241.5,2.69,86.0,101940.0
1990-01-02 23:00:00+00:00,0.29,95.65,0.0,0.0,0.0,242.5,2.9,92.0,101970.0
1990-01-03 00:00:00+00:00,1.05,95.65,175.55,620.02,77.95,244.6,3.03,103.0,101950.0
1990-01-03 01:00:00+00:00,3.31,82.25,335.8,689.61,112.35,243.35,3.59,111.0,101940.0
1990-01-03 02:00:00+00:00,5.79,73.65,472.45,772.13,121.5,248.3,4.34,120.0,101930.0
1990-01-03 03:00:00+00:00,7.86,68.6,544.4,756.37,135.95,257.6,4.62,129.0,101850.0
1990-01-03 04:00:00+00:00,9.89,61.65,556.2,745.99,127.5,269.4,4.83,140.0,101690.0
1990-01-03 05:00:00+00:00,10.86,61.75,502.55,691.28,118.1,268.8,4.34,140.0,101540.0
1990-01-03 06:00:00+00:00,11.57,59.7,395.5,608.33,100.05,265.7,4.41,141.0,101410.0
1990-01-03 07:00:00+00:00,12.19,59.85,239.0,437.95,77.8,269.0,3.59,152.0,101270.0
1990-01-03 08:00:00+00:00,11.85,62.0,75.35,184.99,36.25,269.75,2.69,154.0,101250.0
1990-01-03 09:00:00+00:00,10.11,69.0,0.55,0.0,0.55,268.6,2.48,143.0,101300.0
1990-01-03 10:00:00+00:00,7.87,79.7,0.0,0.0,0.0,264.55,2.69,141.0,101290.0
1990-01-03 11:00:00+00:00,6.62,82.6,0.0,0.0,0.0,263.4,2.76,145.0,101300.0
1990-01-03 12:00:00+00:00,5.72,88.9,0.0,0.0,0.0,262.6,2.76,152.0,101280.0
1990-01-03 13:00:00+00:00,5.0,88.85,0.0,0.0,0.0,262.05,2.55,162.0,101270.0
1990-01-03 14:00:00+00:00,4.23,92.2,0.0,0.0,0.0,261.05,2.41,178.0,101260.0
1990-01-03 15:00:00+00:00,3.63,92.15,0.0,0.0,0.0,260.85,2.41,196.0,101230.0
1990-01-03 16:00:00+00:00,3.43,92.15,0.0,0.0,0.0,264.55,2.41,219.0,101210.0
1990-01-03 17:00:00+00:00,3.36,92.15,0.0,0.0,0.0,262.2,2.62,247.0,101220.0
1990-01-03 18:00:00+00:00,3.4,92.15,0.0,0.0,0.0,260.1,2.83,261.0,101250.0
1990-01-03 19:00:00+00:00,3.01,92.15,0.0,0.0,0.0,260.5,2.62,289.0,101330.0
1990-01-03 20:00:00+00:00,2.53,95.7,0.0,0.0,0.0,257.75,2.62,306.0,101330.0
1990-01-03 21:00:00+00:00,2.27,95.65,0.0,0.0,0.0,254.3,2.97,326.0,101380.0
1990-01-03 22:00:00+00:00,2.12,95.65,0.0,0.0,0.0,255.05,3.38,338.0,101470.0
1990-01-03 23:00:00+00:00,1.5,95.65,0.0,0.0,0.0,245.95,3.79,339.0,101610.0
1990-01-04 00:00:00+00:00,1.37,92.05,173.1,587.05,80.8,244.6,3.86,339.0,101770.0
1990-01-04 01:00:00+00:00,2.11,82.05,287.4,383.11,163.2,253.6,4.97,345.0,101890.0
1990-01-04 02:00:00+00:00,3.03,70.4,412.6,483.54,192.55,285.45,4.9,345.0,101990.0
1990-01-04 03:00:00+00:00,3.77,57.95,515.65,644.29,167.1,249.85,4.83,341.0,102030.0
1990-01-04 04:00:00+00:00,4.47,47.7,531.55,587.88,192.9,248.65,4.97,339.0,102010.0
1990-01-04 05:00:00+00:00,4.74,40.6,509.5,665.72,138.1,245.6,4.9,339.0,101990.0
1990-01-04 06:00:00+00:00,4.69,37.4,389.0,528.36,131.3,235.7,4.83,340.0,102000.0
1990-01-04 07:00:00+00:00,4.42,35.9,249.0,444.42,84.4,231.45,4.55,348.0,102010.0
1990-01-04 08:00:00+00:00,3.61,37.15,81.6,206.27,37.5,228.15,4.28,349.0,102090.0
1990-01-04 09:00:00+00:00,2.32,40.05,0.75,0.0,0.75,222.35,3.38,349.0,102180.0
1990-01-04 10:00:00+00:00,0.94,44.85,0.0,0.0,0.0,220.8,3.1,350.0,102290.0
1990-01-04 11:00:00+00:00,-0.06,48.45,0.0,0.0,0.0,217.5,2.97,350.0,102350.0
1990-01-04 12:00:00+00:00,-0.86,52.35,0.0,0.0,0.0,215.75,2.9,350.0,102420.0
1990-01-04 13:00:00+00:00,-1.54,54.4,0.0,0.0,0.0,214.2,2.9,352.0,102470.0
1990-01-04 14:00:00+00:00,-2.08,56.6,0.0,0.0,0.0,214.8,2.97,356.0,102530.0
1990-01-04 15:00:00+00:00,-2.52,58.85,0.0,0.0,0.0,215.95,3.17,360.0,102580.0
1990-01-04 16:00:00+00:00,-2.85,56.35,0.0,0.0,0.0,220.8,3.24,4.0,102630.0
1990-01-04 17:00:00+00:00,-3.13,51.8,0.0,0.0,0.0,227.6,3.17,7.0,102680.0
1990-01-04 18:00:00+00:00,-3.34,51.65,0.0,0.0,0.0,236.85,3.17,10.0,102720.0
1990-01-04 19:00:00+00:00,-3.37,53.9,0.0,0.0,0.0,246.95,3.1,23.0,102720.0
1990-01-04 20:00:00+00:00,-3.8,53.9,0.0,0.0,0.0,234.95,2.97,28.0,102680.0
1990-01-04 21:00:00+00:00,-4.17,51.65,0.0,0.0,0.0,230.1,2.9,29.0,102670.0
1990-01-04 22:00:00+00:00,-4.36,53.75,0.0,0.0,0.0,234.35,2.9,31.0,102680.0
1990-01-04 23:00:00+00:00,-4.62,56.1,0.0,0.0,0.0,226.8,2.76,30.0,102720.0
1990-01-05 00:00:00+00:00,-4.59,56.1,197.45,790.08,73.3,208.2,3.03,29.0,102810.0
1990-01-05 01:00:00+00:00,-3.65,56.2,368.6,841.74,95.5,207.0,3.1,34.0,102860.0
1990-01-05 02:00:00+00:00,-2.39,54.15,497.3,854.77,107.75,208.2,2.83,36.0,102930.0
1990-01-05 03:00:00+00:00,-1.19,48.15,496.65,518.02,215.85,211.5,2.62,37.0,102870.0
1990-01-05 04:00:00+00:00,-0.37,46.35,420.85,327.08,231.95,239.2,2.48,33.0,102780.0
1990-01-05 05:00:00+00:00,0.09,44.6,388.15,282.72,229.9,257.2,2.34,32.0,102670.0
1990-01-05 06:00:00+00:00,0.5,42.9,386.5,523.28,130.15,247.15,2.14,31.0,102610.0
1990-01-05 07:00:00+00:00,0.59,42.9,213.95,261.17,116.6,235.7,2.28,34.0,102530.0
1990-01-05 08:00:00+00:00,0.38,42.9,62.5,41.15,53.6,239.0,3.03,34.0,102520.0
1990-01-05 09:00:00+00:00,-0.29,46.35,0.75,0.0,0.75,253.15,2.97,38.0,102510.0
1990-01-05 10:00:00+00:00,-0.85,50.2,0.0,0.0,0.0,262.8,2.48,33.0,102580.0
1990-01-05 11:00:00+00:00,-1.11,50.2,0.0,0.0,0.0,272.1,2.07,30.0,102660.0
1990-01-05 12:00:00+00:00,-1.42,54.4,0.0,0.0,0.0,271.3,2.21,35.0,102640.0
1990-01-05 13:00:00+00:00,-1.62,54.4,0.0,0.0,0.0,274.2,2.28,34.0,102660.0
1990-01-05 14:00:00+00:00,-1.81,56.6,0.0,0.0,0.0,272.85,2.34,31.0,102680.0
1990-01-05 15:00:00+00:00,-1.95,56.6,0.0,0.0,0.0,273.05,2.41,30.0,102690.0
1990-01-05 16:00:00+00:00,-2.08,56.6,0.0,0.0,0.0,271.5,2.55,28.0,102710.0
1990-01-05 17:00:00+00:00,-2.27,61.35,0.0,0.0,0.0,265.3,2.55,32.0,102740.0
1990-01-05 18:00:00+00:00,-2.44,61.35,0.0,0.0,0.0,265.7,2.34,37.0,102720.0
1990-01-05 19:00:00+00:00,-2.47,61.35,0.0,0.0,0.0,269.4,2.21,37.0,102700.0
1990-01-05 20:00:00+00:00,-2.56,61.35,0.0,0.0,0.0,272.1,2.28,42.0,102700.0
1990-01-05 21:00:00+00:00,-2.74,63.9,0.0,0.0,0.0,265.5,2.14,42.0,102690.0
1990-01-05 22:00:00+00:00,-3.0,66.45,0.0,0.0,0.0,255.85,2.07,41.0,102690.0
1990-01-05 23:00:00+00:00,-3.36,72.05,0.0,0.0,0.0,243.25,1.93,42.0,102750.0
1990-01-06 00:00:00+00:00,-3.17,69.25,198.65,832.36,67.85,230.3,2.0,46.0,102800.0
1990-01-06 01:00:00+00:00,-1.91,61.45,366.5,837.25,94.55,215.3,2.28,53.0,102870.0
1990-01-06 02:00:00+00:00,-0.47,54.7,498.15,852.46,109.0,217.5,2.28,50.0,102920.0
1990-01-06 03:00:00+00:00,0.77,50.65,573.35,840.97,116.5,220.4,2.07,44.0,102920.0
1990-01-06 04:00:00+00:00,1.75,46.9,584.0,805.96,117.25,223.5,1.86,37.0,102800.0
1990-01-06 05:00:00+00:00,2.54,43.45,528.6,741.51,112.1,225.45,1.86,31.0,102720.0
1990-01-06 06:00:00+00:00,3.08,41.85,413.55,637.93,99.6,227.6,2.0,27.0,102650.0
1990-01-06 07:00:00+00:00,3.14,41.85,254.0,467.87,78.45,229.15,1.66,30.0,102610.0
1990-01-06 08:00:00+00:00,2.9,40.15,84.15,208.12,38.6,229.3,2.07,30.0,102650.0
1990-01-06 09:00:00+00:00,1.8,47.05,1.0,0.0,1.0,227.95,2.0,29.0,102700.0
1990-01-06 10:00:00+00:00,0.22,54.8,0.0,0.0,0.0,226.05,2.34,31.0,102780.0
1990-01-06 11:00:00+00:00,-0.86,59.2,0.0,0.0,0.0,223.9,2.41,36.0,102830.0
1990-01-06 12:00:00+00:00,-1.77,64.0,0.0,0.0,0.0,222.35,2.41,37.0,102860.0
1990-01-06 13:00:00+00:00,-2.51,66.6,0.0,0.0,0.0,220.8,2.34,37.0,102870.0
1990-01-06 14:00:00+00:00,-3.07,69.25,0.0,0.0,0.0,220.05,2.28,39.0,102850.0
1990-01-06 15:00:00+00:00,-3.44,72.05,0.0,0.0,0.0,218.65,2.28,41.0,102850.0
1990-01-06 16:00:00+00:00,-3.7,72.05,0.0,0.0,0.0,218.3,2.34,45.0,102840.0
1990-01-06 17:00:00+00:00,-3.92,72.05,0.0,0.0,0.0,217.7,2.41,50.0,102820.0
1990-01-06 18:00:00+00:00,-4.16,72.05,0.0,0.0,0.0,217.15,2.34,52.0,102840.0
1990-01-06 19:00:00+00:00,-4.44,74.95,0.0,0.0,0.0,215.95,2.07,48.0,102850.0
1990-01-06 20:00:00+00:00,-4.73,74.95,0.0,0.0,0.0,215.6,1.86,47.0,102850.0
1990-01-06 21:00:00+00:00,-4.93,78.0,0.0,0.0,0.0,215.6,1.86,46.0,102880.0
1990-01-06 22:00:00+00:00,-5.06,78.0,0.0,0.0,0.0,215.6,1.86,51.0,102900.0
1990-01-06 23:00:00+00:00,-5.12,78.0,0.0,0.0,0.0,215.6,1.86,52.0,102940.0
1990-01-07 00:00:00+00:00,-4.19,72.05,197.6,820.05,68.65,215.75,1.86,49.0,102980.0
1990-01-07 01:00:00+00:00,-2.0,58.95,366.8,838.97,93.9,217.6,2.28,50.0,103010.0
1990-01-07 02:00:00+00:00,-0.14,50.5,498.45,853.02,108.3,220.6,2.41,53.0,103040.0
1990-01-07 03:00:00+00:00,1.18,44.85,571.9,830.35,119.75,224.1,2.28,51.0,102980.0
1990-01-07 04:00:00+00:00,2.18,43.3,583.05,798.97,119.0,227.2,2.14,43.0,102870.0
1990-01-07 05:00:00+00:00,2.94,40.15,526.25,728.0,115.85,229.5,2.14,32.0,102760.0
1990-01-07 06:00:00+00:00,3.39,40.3,397.75,555.44,123.1,232.2,2.34,24.0,102720.0
1990-01-07 07:00:00+00:00,3.11,41.85,229.65,319.0,109.15,237.85,2.34,23.0,102710.0
1990-01-07 08:00:00+00:00,2.69,43.45,76.1,118.28,49.9,243.45,2.34,20.0,102700.0
1990-01-07 09:00:00+00:00,1.65,48.85,1.15,0.0,1.15,241.5,1.86,23.0,102720.0
1990-01-07 10:00:00+00:00,0.41,54.95,0.0,0.0,0.0,249.05,2.07,31.0,102710.0
1990-01-07 11:00:00+00:00,-0.29,59.35,0.0,0.0,0.0,255.85,2.0,33.0,102690.0
1990-01-07 12:00:00+00:00,-0.79,61.65,0.0,0.0,0.0,260.1,1.93,30.0,102700.0
1990-01-07 13:00:00+00:00,-1.13,61.65,0.0,0.0,0.0,264.15,1.93,27.0,102690.0
1990-01-07 14:00:00+00:00,-1.52,66.8,0.0,0.0,0.0,260.65,1.72,20.0,102710.0
1990-01-07 15:00:00+00:00,-1.74,69.45,0.0,0.0,0.0,262.6,1.72,24.0,102690.0
1990-01-07 16:00:00+00:00,-1.73,66.8,0.0,0.0,0.0,268.05,1.72,24.0,102670.0
1990-01-07 17:00:00+00:00,-1.79,69.45,0.0,0.0,0.0,266.5,1.86,29.0,102660.0
1990-01-07 18:00:00+00:00,-1.83,72.3,0.0,0.0,0.0,268.4,1.79,40.0,102600.0
1990-01-07 19:00:00+00:00,-1.94,69.45,0.0,0.0,0.0,265.5,1.66,45.0,102590.0
1990-01-07 20:00:00+00:00,-2.15,72.3,0.0,0.0,0.0,263.95,1.45,51.0,102550.0
1990-01-07 21:00:00+00:00,-2.73,78.3,0.0,0.0,0.0,245.95,1.72,52.0,102540.0
1990-01-07 22:00:00+00:00,-3.36,84.7,0.0,0.0,0.0,231.25,1.79,78.0,102530.0
1990-01-07 23:00:00+00:00,-3.85,84.7,0.0,0.0,0.0,223.5,1.93,99.0,102550.0
1990-01-08 00:00:00+00:00,-3.25,88.2,195.05,801.21,68.9,223.3,1.52,84.0,102610.0
1990-01-08 01:00:00+00:00,-0.78,69.65,363.4,823.39,95.1,224.6,1.86,88.0,102680.0
1990-01-08 02:00:00+00:00,1.1,59.7,495.4,841.5,109.7,227.0,2.28,113.0,102660.0
1990-01-08 03:00:00+00:00,2.63,53.25,571.45,832.72,116.85,231.05,2.21,129.0,102570.0
1990-01-08 04:00:00+00:00,3.77,49.4,582.7,797.9,117.85,235.3,1.72,135.0,102450.0
1990-01-08 05:00:00+00:00,4.71,47.7,528.45,734.97,112.55,238.4,1.52,144.0,102340.0
1990-01-08 06:00:00+00:00,5.45,46.1,415.35,633.94,100.35,240.75,1.59,144.0,102230.0
1990-01-08 07:00:00+00:00,5.44,46.1,257.35,467.98,79.35,241.7,1.17,147.0,102200.0
1990-01-08 08:00:00+00:00,5.28,47.85,87.85,213.19,40.05,241.7,0.97,128.0,102200.0
1990-01-08 09:00:00+00:00,4.61,51.7,1.35,0.0,1.35,240.15,1.52,95.0,102200.0
1990-01-08 10:00:00+00:00,2.75,60.05,0.0,0.0,0.0,237.25,2.28,95.0,102210.0
1990-01-08 11:00:00+00:00,1.23,67.3,0.0,0.0,0.0,235.7,2.41,106.0,102210.0
1990-01-08 12:00:00+00:00,0.25,72.65,0.0,0.0,0.0,234.55,2.62,120.0,102220.0
1990-01-08 13:00:00+00:00,-0.31,75.55,0.0,0.0,0.0,234.15,2.83,129.0,102220.0
1990-01-08 14:00:00+00:00,-0.75,75.45,0.0,0.0,0.0,233.2,2.83,133.0,102190.0
1990-01-08 15:00:00+00:00,-1.13,72.5,0.0,0.0,0.0,233.0,2.69,134.0,102160.0
1990-01-08 16:00:00+00:00,-1.44,75.35,0.0,0.0,0.0,233.2,2.62,131.0,102140.0
1990-01-08 17:00:00+00:00,-1.71,75.35,0.0,0.0,0.0,233.4,2.48,126.0,102100.0
1990-01-08 18:00:00+00:00,-1.97,81.55,0.0,0.0,0.0,233.4,2.34,119.0,102070.0
1990-01-08 19:00:00+00:00,-2.42,84.85,0.0,0.0,0.0,233.0,2.14,115.0,102090.0
1990-01-08 20:00:00+00:00,-2.7,84.85,0.0,0.0,0.0,232.8,2.07,111.0,102030.0
1990-01-08 21:00:00+00:00,-2.92,91.8,0.0,0.0,0.0,233.0,1.93,107.0,102010.0
1990-01-08 22:00:00+00:00,-3.05,91.8,0.0,0.0,0.0,233.6,1.93,106.0,102050.0
1990-01-08 23:00:00+00:00,-3.18,91.8,0.0,0.0,0.0,233.75,1.86,103.0,102080.0
1990-01-09 00:00:00+00:00,-2.17,91.85,194.25,796.83,68.55,234.55,1.31,96.0,102170.0
1990-01-09 01:00:00+00:00,1.39,75.85,361.75,818.48,94.5,237.55,1.31,93.0,102220.0
1990-01-09 02:00:00+00:00,3.97,70.6,492.95,836.48,108.65,242.1,1.24,90.0,102270.0
1990-01-09 03:00:00+00:00,6.35,61.0,567.85,826.07,115.65,247.9,1.17,85.0,102240.0
1990-01-09 04:00:00+00:00,8.12,58.9,559.5,705.24,147.3,253.5,1.17,74.0,102150.0
1990-01-09 05:00:00+00:00,9.13,56.9,493.0,585.28,160.5,262.2,1.24,64.0,102060.0
1990-01-09 06:00:00+00:00,9.67,54.9,408.2,601.22,107.95,269.95,1.45,51.0,102010.0
1990-01-09 07:00:00+00:00,9.36,56.9,239.4,364.45,99.8,262.05,1.31,16.0,102010.0
1990-01-09 08:00:00+00:00,8.99,54.8,81.75,160.37,45.35,267.65,2.28,33.0,102040.0
1990-01-09 09:00:00+00:00,7.48,63.5,1.6,1.2,1.55,266.5,2.34,34.0,102100.0
1990-01-09 10:00:00+00:00,5.45,68.2,0.0,0.0,0.0,265.5,2.69,36.0,102180.0
