time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,13.72,68.98,126.8,668.8,57.5,330.42,1.7,7.0,101460.0
1990-01-01 01:00:00+00:00,14.0,66.11,293.35,596.06,111.95,327.44,1.75,13.0,101510.0
1990-01-01 02:00:00+00:00,14.27,63.25,427.9,599.61,143.7,324.46,1.8,16.0,101530.0
1990-01-01 03:00:00+00:00,14.55,60.38,580.3,691.44,164.75,321.48,1.85,16.0,101530.0
1990-01-01 04:00:00+00:00,14.82,57.52,660.0,763.25,143.5,318.5,1.9,14.0,101420.0
1990-01-01 05:00:00+00:00,15.09,54.65,591.35,567.68,196.25,315.52,1.95,16.0,101300.0
1990-01-01 06:00:00+00:00,15.37,51.79,597.8,713.23,128.85,312.54,2.0,18.0,101170.0
1990-01-01 07:00:00+00:00,15.64,48.92,429.55,556.14,115.95,309.55,2.05,20.0,101040.0
1990-01-01 08:00:00+00:00,18.99,49.45,220.2,340.21,76.8,323.2,1.79,33.0,101030.0
1990-01-01 09:00:00+00:00,18.68,47.65,60.55,128.72,29.65,339.45,1.52,49.0,101010.0
1990-01-01 10:00:00+00:00,17.9,52.9,0.35,0.0,0.35,349.7,1.38,53.0,101060.0
1990-01-01 11:00:00+00:00,17.09,56.6,0.0,0.0,0.0,366.95,1.59,46.0,101110.0
1990-01-01 12:00:00+00:00,16.58,58.6,0.0,0.0,0.0,374.85,1.66,50.0,101220.0
1990-01-01 13:00:00+00:00,16.15,58.6,0.0,0.0,0.0,376.4,1.79,51.0,101280.0
1990-01-01 14:00:00+00:00,15.87,60.65,0.0,0.0,0.0,379.1,1.86,45.0,101320.0
1990-01-01 15:00:00+00:00,15.59,60.5,0.0,0.0,0.0,377.0,2.0,34.0,101330.0
1990-01-01 16:00:00+00:00,15.36,60.5,0.0,0.0,0.0,377.2,2.07,27.0,101340.0
1990-01-01 17:00:00+00:00,15.15,60.5,0.0,0.0,0.0,378.55,2.14,30.0,101320.0
