time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,2.07,34.05,82.05,527.79,55.65,235.31,2.25,337.0,102520.0
1990-01-01 01:00:00+00:00,2.0,35.12,202.9,389.21,120.4,237.63,2.0,344.0,102570.0
1990-01-01 02:00:00+00:00,1.94,36.2,301.15,367.0,175.25,239.95,1.74,0.0,102620.0
1990-01-01 03:00:00+00:00,1.87,37.28,363.7,351.33,211.1,242.28,1.48,6.0,102630.0
1990-01-01 04:00:00+00:00,1.8,38.36,367.0,298.67,223.75,244.6,1.22,14.0,102620.0
1990-01-01 05:00:00+00:00,1.74,39.44,338.3,263.55,212.9,246.92,0.96,30.0,102540.0
1990-01-01 06:00:00+00:00,1.67,40.52,233.6,124.19,181.05,249.24,0.7,51.0,102470.0
1990-01-01 07:00:00+00:00,1.61,41.6,140.2,48.27,124.5,251.56,0.44,70.0,102380.0
1990-01-01 08:00:00+00:00,3.77,38.7,45.05,22.25,40.85,264.15,0.97,68.0,102440.0
1990-01-01 09:00:00+00:00,2.5,45.15,0.35,0.0,0.35,258.95,1.17,68.0,102490.0
1990-01-01 10:00:00+00:00,0.87,50.65,0.0,0.0,0.0,260.3,1.03,65.0,102590.0
1990-01-01 11:00:00+00:00,0.8,50.65,0.0,0.0,0.0,258.15,0.9,41.0,102640.0
1990-01-01 12:00:00+00:00,-0.98,54.7,0.0,0.0,0.0,255.85,1.24,14.0,102680.0
1990-01-01 13:00:00+00:00,-2.34,61.45,0.0,0.0,0.0,251.0,1.59,359.0,102720.0
1990-01-01 14:00:00+00:00,-2.87,63.9,0.0,0.0,0.0,255.25,1.66,347.0,102750.0
1990-01-01 15:00:00+00:00,-3.06,66.45,0.0,0.0,0.0,254.5,1.59,346.0,102770.0
1990-01-01 16:00:00+00:00,-3.39,63.8,0.0,0.0,0.0,246.75,1.52,347.0,102770.0
1990-01-01 17:00:00+00:00,-3.63,66.35,0.0,0.0,0.0,245.4,1.45,345.0,102750.0
1990-01-01 18:00:00+00:00,-3.79,63.7,0.0,0.0,0.0,244.4,1.38,340.0,102740.0
1990-01-01 19:00:00+00:00,-4.61,68.95,0.0,0.0,0.0,227.6,1.45,332.0,102690.0
1990-01-01 20:00:00+00:00,-4.88,68.95,0.0,0.0,0.0,219.85,1.24,342.0,102710.0
1990-01-01 21:00:00+00:00,-5.19,71.75,0.0,0.0,0.0,216.55,1.17,354.0,102690.0
1990-01-01 22:00:00+00:00,-5.42,68.85,0.0,0.0,0.0,215.2,1.17,6.0,102760.0
1990-01-01 23:00:00+00:00,-5.77,71.65,0.0,0.0,0.0,217.3,1.45,14.0,102820.0
1990-01-02 00:00:00+00:00,-5.85,65.95,92.4,1003.83,42.45,213.45,1.79,17.0,102870.0
1990-01-02 01:00:00+00:00,-3.49,51.8,240.5,782.79,74.55,211.8,1.59,15.0,102920.0
1990-01-02 02:00:00+00:00,-1.24,39.0,368.95,807.87,91.5,213.05,1.79,18.0,102910.0
1990-01-02 03:00:00+00:00,0.39,33.3,451.2,806.24,100.4,215.4,1.52,15.0,102890.0
1990-01-02 04:00:00+00:00,1.7,30.85,476.4,777.18,102.75,218.3,1.24,12.0,102780.0
1990-01-02 05:00:00+00:00,2.67,29.85,441.25,716.71,99.15,220.2,0.9,23.0,102650.0
1990-01-02 06:00:00+00:00,3.19,28.75,351.75,618.5,88.9,222.15,0.69,59.0,102540.0
1990-01-02 07:00:00+00:00,3.31,28.75,216.85,448.03,70.2,222.15,0.83,90.0,102480.0
1990-01-02 08:00:00+00:00,2.81,31.15,69.85,189.26,33.7,221.4,0.97,111.0,102420.0
1990-01-02 09:00:00+00:00,1.62,35.05,0.55,0.0,0.55,218.3,1.66,125.0,102460.0
1990-01-02 10:00:00+00:00,-0.46,39.3,0.0,0.0,0.0,217.15,1.93,136.0,102480.0
1990-01-02 11:00:00+00:00,-2.43,45.9,0.0,0.0,0.0,216.35,1.72,147.0,102510.0
1990-01-02 12:00:00+00:00,-2.58,49.8,0.0,0.0,0.0,215.75,1.17,164.0,102530.0
1990-01-02 13:00:00+00:00,-1.89,46.05,0.0,0.0,0.0,215.2,0.48,177.0,102540.0
