time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-2.65,58.45,99.4,650.25,53.75,219.38,2.21,60.0,102520.0
1990-01-01 01:00:00+00:00,-1.6,62.52,232.5,599.98,97.5,225.33,1.83,27.0,102550.0
1990-01-01 02:00:00+00:00,-0.56,66.59,352.4,699.09,109.35,231.28,1.45,177.0,102580.0
1990-01-01 03:00:00+00:00,0.49,70.66,433.75,763.57,105.55,237.23,1.08,191.0,102540.0
1990-01-01 04:00:00+00:00,1.54,74.73,446.1,721.97,109.75,243.18,0.7,204.0,102440.0
1990-01-01 05:00:00+00:00,2.59,78.8,383.1,550.87,133.35,249.12,0.32,232.0,102310.0
1990-01-01 06:00:00+00:00,3.64,82.87,291.25,455.66,112.1,255.07,-0.06,259.0,102240.0
1990-01-01 07:00:00+00:00,4.69,86.94,153.1,233.46,85.55,261.02,-0.43,334.0,102230.0
1990-01-01 08:00:00+00:00,4.52,76.25,32.05,20.81,28.95,268.05,0.41,343.0,102240.0
1990-01-01 09:00:00+00:00,3.58,79.15,0.0,0.0,0.0,267.65,0.14,230.0,102250.0
1990-01-01 10:00:00+00:00,2.23,85.35,0.0,0.0,0.0,256.6,0.55,255.0,102280.0
1990-01-01 11:00:00+00:00,0.79,88.55,0.0,0.0,0.0,257.2,1.17,264.0,102280.0
1990-01-01 12:00:00+00:00,-1.0,95.6,0.0,0.0,0.0,251.75,1.79,286.0,102300.0
1990-01-01 13:00:00+00:00,-1.85,95.55,0.0,0.0,0.0,248.85,2.07,303.0,102340.0
1990-01-01 14:00:00+00:00,-2.28,95.55,0.0,0.0,0.0,246.75,2.14,314.0,102340.0
1990-01-01 15:00:00+00:00,-2.69,95.55,0.0,0.0,0.0,238.05,2.21,321.0,102360.0
1990-01-01 16:00:00+00:00,-3.0,95.55,0.0,0.0,0.0,232.8,2.34,326.0,102360.0
1990-01-01 17:00:00+00:00,-3.33,91.8,0.0,0.0,0.0,223.9,2.41,323.0,102370.0
1990-01-01 18:00:00+00:00,-3.64,91.8,0.0,0.0,0.0,221.0,2.34,319.0,102390.0
1990-01-01 19:00:00+00:00,-3.66,88.2,0.0,0.0,0.0,218.7,2.48,330.0,102440.0
1990-01-01 20:00:00+00:00,-3.5,84.7,0.0,0.0,0.0,215.6,2.69,343.0,102420.0
1990-01-01 21:00:00+00:00,-3.38,78.15,0.0,0.0,0.0,213.25,2.83,356.0,102440.0
1990-01-01 22:00:00+00:00,-3.38,72.05,0.0,0.0,0.0,212.5,2.97,7.0,102470.0
1990-01-01 23:00:00+00:00,-3.55,66.35,0.0,0.0,0.0,211.9,2.9,14.0,102530.0
1990-01-02 00:00:00+00:00,-3.89,69.05,113.4,917.5,49.15,211.9,2.55,19.0,102600.0
1990-01-02 01:00:00+00:00,-1.54,56.7,262.3,813.08,79.25,213.35,1.59,23.0,102680.0
1990-01-02 02:00:00+00:00,2.09,51.0,383.55,828.68,95.05,216.55,1.17,31.0,102740.0
1990-01-02 03:00:00+00:00,4.15,40.45,454.5,817.09,102.6,221.75,0.76,35.0,102760.0
1990-01-02 04:00:00+00:00,5.36,36.05,468.55,780.65,103.9,226.05,0.41,17.0,102700.0
1990-01-02 05:00:00+00:00,6.03,34.75,422.9,711.71,99.1,229.15,0.28,323.0,102610.0
1990-01-02 06:00:00+00:00,6.32,33.5,323.3,596.63,87.6,230.85,0.34,240.0,102540.0
1990-01-02 07:00:00+00:00,5.99,36.2,184.8,408.1,65.85,231.65,0.97,252.0,102480.0
1990-01-02 08:00:00+00:00,5.22,40.75,44.6,141.13,23.25,230.65,1.79,217.0,102490.0
1990-01-02 09:00:00+00:00,3.03,49.25,0.0,0.0,0.0,227.4,2.62,210.0,102490.0
1990-01-02 10:00:00+00:00,0.64,59.6,0.0,0.0,0.0,225.85,2.55,211.0,102510.0
1990-01-02 11:00:00+00:00,-0.88,66.9,0.0,0.0,0.0,224.5,2.41,217.0,102510.0
1990-01-02 12:00:00+00:00,-2.0,72.3,0.0,0.0,0.0,223.5,2.34,218.0,102510.0
1990-01-02 13:00:00+00:00,-2.69,75.2,0.0,0.0,0.0,223.5,2.41,218.0,102530.0
1990-01-02 14:00:00+00:00,-3.06,75.1,0.0,0.0,0.0,223.3,2.62,218.0,102510.0
1990-01-02 15:00:00+00:00,-3.18,78.2,0.0,0.0,0.0,222.15,2.83,220.0,102490.0
1990-01-02 16:00:00+00:00,-3.34,81.45,0.0,0.0,0.0,222.35,2.76,222.0,102450.0
1990-01-02 17:00:00+00:00,-3.61,84.7,0.0,0.0,0.0,224.85,2.48,223.0,102380.0
1990-01-02 18:00:00+00:00,-3.95,91.75,0.0,0.0,0.0,223.3,2.34,221.0,102370.0
1990-01-02 19:00:00+00:00,-4.29,91.75,0.0,0.0,0.0,223.15,2.34,211.0,102330.0
1990-01-02 20:00:00+00:00,-4.54,95.5,0.0,0.0,0.0,223.15,2.21,209.0,102280.0
1990-01-02 21:00:00+00:00,-4.74,95.5,0.0,0.0,0.0,224.65,2.14,212.0,102240.0
1990-01-02 22:00:00+00:00,-4.77,95.5,0.0,0.0,0.0,232.8,2.07,218.0,102210.0
1990-01-02 23:00:00+00:00,-4.8,95.5,0.0,0.0,0.0,233.6,2.07,224.0,102250.0
1990-01-03 00:00:00+00:00,-4.44,99.4,90.15,501.75,55.05,246.95,1.93,229.0,102260.0
1990-01-03 01:00:00+00:00,-2.57,95.55,176.05,186.59,134.0,257.7,1.93,236.0,102300.0
1990-01-03 02:00:00+00:00,-1.31,91.95,274.9,223.24,197.05,281.95,2.34,251.0,102320.0
1990-01-03 03:00:00+00:00,-0.19,88.45,365.05,373.8,203.7,283.7,1.93,267.0,102310.0
1990-01-03 04:00:00+00:00,1.14,85.2,423.9,554.05,164.35,281.4,1.52,277.0,102230.0
