time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-12.05,62.28,0.0,0.0,0.0,191.78,2.93,152.0,89830.0
1990-01-01 01:00:00+00:00,-11.47,60.72,0.0,0.0,0.0,191.26,2.79,150.0,89830.0
1990-01-01 02:00:00+00:00,-10.89,59.16,21.4,0.0,21.4,190.75,2.66,149.0,89800.0
1990-01-01 03:00:00+00:00,-10.31,57.61,202.55,957.13,38.3,190.23,2.53,149.0,89770.0
1990-01-01 04:00:00+00:00,-9.74,56.05,294.55,788.15,70.15,189.71,2.4,150.0,89730.0
1990-01-01 05:00:00+00:00,-9.16,54.49,369.25,828.52,71.0,189.2,2.27,151.0,89700.0
1990-01-01 06:00:00+00:00,-8.58,52.94,329.15,542.24,116.45,188.68,2.14,145.0,89640.0
1990-01-01 07:00:00+00:00,-8.0,51.38,305.55,556.98,94.25,188.16,2.01,154.0,89650.0
1990-01-01 08:00:00+00:00,-4.12,51.65,239.2,554.84,60.45,197.95,0.76,155.0,89610.0
1990-01-01 09:00:00+00:00,-4.31,51.55,110.3,347.78,32.2,196.05,0.55,163.0,89640.0
1990-01-01 10:00:00+00:00,-5.58,63.35,15.55,95.47,6.65,192.75,0.83,154.0,89680.0
1990-01-01 11:00:00+00:00,-7.4,68.45,0.0,0.0,0.0,197.95,1.93,154.0,89690.0
1990-01-01 12:00:00+00:00,-9.95,67.9,0.0,0.0,0.0,187.5,2.62,147.0,89690.0
1990-01-01 13:00:00+00:00,-11.79,61.95,0.0,0.0,0.0,186.15,3.03,141.0,89660.0
1990-01-01 14:00:00+00:00,-12.97,61.55,0.0,0.0,0.0,189.25,3.31,140.0,89630.0
1990-01-01 15:00:00+00:00,-13.38,61.45,0.0,0.0,0.0,192.75,3.31,139.0,89630.0
1990-01-01 16:00:00+00:00,-13.5,61.45,0.0,0.0,0.0,192.95,3.17,141.0,89640.0
1990-01-01 17:00:00+00:00,-13.71,58.75,0.0,0.0,0.0,194.1,3.24,144.0,89650.0
1990-01-01 18:00:00+00:00,-14.14,58.6,0.0,0.0,0.0,190.05,3.38,143.0,89660.0
1990-01-01 19:00:00+00:00,-11.49,51.85,0.0,0.0,0.0,192.35,2.21,143.0,89730.0
1990-01-01 20:00:00+00:00,-13.93,58.6,0.0,0.0,0.0,189.85,2.83,142.0,89710.0
1990-01-01 21:00:00+00:00,-14.63,56.05,0.0,0.0,0.0,194.1,3.17,140.0,89700.0
1990-01-01 22:00:00+00:00,-14.76,56.05,0.0,0.0,0.0,193.3,3.24,138.0,89660.0
1990-01-01 23:00:00+00:00,-14.14,56.05,0.0,0.0,0.0,196.8,2.97,135.0,89650.0
1990-01-02 00:00:00+00:00,-13.2,51.45,0.0,0.0,0.0,197.2,2.69,132.0,89690.0
1990-01-02 01:00:00+00:00,-12.72,51.6,0.0,0.0,0.0,206.2,2.69,132.0,89740.0
1990-01-02 02:00:00+00:00,-13.05,53.8,26.35,0.0,26.35,204.55,2.83,131.0,89760.0
1990-01-02 03:00:00+00:00,-11.66,51.85,192.9,873.89,42.7,204.35,2.69,130.0,89780.0
1990-01-02 04:00:00+00:00,-7.19,46.6,311.35,903.21,53.65,201.25,1.93,129.0,89780.0
1990-01-02 05:00:00+00:00,-2.54,40.3,375.95,873.17,60.8,199.9,0.9,115.0,89770.0
1990-01-02 06:00:00+00:00,-1.01,37.4,391.7,854.0,55.6,199.15,0.48,80.0,89720.0
1990-01-02 07:00:00+00:00,-1.21,42.45,347.75,776.78,51.8,197.75,0.34,331.0,89690.0
1990-01-02 08:00:00+00:00,-1.7,48.05,252.9,647.22,43.15,196.4,0.14,341.0,89700.0
1990-01-02 09:00:00+00:00,-2.3,51.95,123.95,408.69,31.3,193.9,0.0,351.0,89720.0
1990-01-02 10:00:00+00:00,-3.19,54.0,16.75,101.06,7.1,194.5,0.34,147.0,89730.0
1990-01-02 11:00:00+00:00,-4.82,55.95,0.0,0.0,0.0,191.4,1.31,150.0,89750.0
1990-01-02 12:00:00+00:00,-6.59,55.55,0.0,0.0,0.0,191.0,2.0,152.0,89790.0
1990-01-02 13:00:00+00:00,-8.46,57.5,0.0,0.0,0.0,190.05,2.41,148.0,89780.0
