time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-0.1,58.16,147.35,527.67,85.95,310.48,1.1,282.0,103320.0
1990-01-01 01:00:00+00:00,-0.08,55.29,256.4,257.35,180.8,313.92,1.05,298.0,103390.0
1990-01-01 02:00:00+00:00,-0.07,52.43,368.0,303.83,235.05,317.36,0.99,335.0,103420.0
1990-01-01 03:00:00+00:00,-0.05,49.57,419.9,298.03,259.55,320.8,0.93,56.0,103330.0
1990-01-01 04:00:00+00:00,-0.04,46.71,453.9,313.3,269.6,324.24,0.87,62.0,103160.0
1990-01-01 05:00:00+00:00,-0.02,43.85,470.25,436.36,215.05,327.69,0.81,75.0,103030.0
1990-01-01 06:00:00+00:00,-0.01,40.99,457.8,642.51,118.55,331.13,0.75,88.0,102930.0
1990-01-01 07:00:00+00:00,0.01,38.12,313.9,528.53,91.05,334.57,0.7,254.0,102940.0
1990-01-01 08:00:00+00:00,1.72,39.9,132.2,258.99,61.5,217.9,0.69,269.0,102890.0
1990-01-01 09:00:00+00:00,1.34,43.2,10.55,30.38,7.75,218.5,0.69,260.0,102870.0
1990-01-01 10:00:00+00:00,0.46,50.65,0.0,0.0,0.0,217.9,0.62,217.0,102830.0
1990-01-01 11:00:00+00:00,-1.16,59.2,0.0,0.0,0.0,217.7,1.24,194.0,102830.0
1990-01-01 12:00:00+00:00,-2.26,66.65,0.0,0.0,0.0,215.2,1.45,188.0,102800.0
1990-01-01 13:00:00+00:00,-2.68,72.25,0.0,0.0,0.0,214.05,1.52,188.0,102760.0
1990-01-01 14:00:00+00:00,-3.07,75.1,0.0,0.0,0.0,212.85,1.66,187.0,102730.0
1990-01-01 15:00:00+00:00,-3.46,78.2,0.0,0.0,0.0,212.5,1.79,186.0,102700.0
1990-01-01 16:00:00+00:00,-3.9,81.4,0.0,0.0,0.0,211.3,1.86,181.0,102660.0
1990-01-01 17:00:00+00:00,-4.19,81.3,0.0,0.0,0.0,210.35,2.0,174.0,102650.0
1990-01-01 18:00:00+00:00,-4.29,81.3,0.0,0.0,0.0,212.3,2.0,166.0,102580.0
1990-01-01 19:00:00+00:00,-4.48,81.3,0.0,0.0,0.0,209.95,2.28,160.0,102540.0
1990-01-01 20:00:00+00:00,-4.46,81.3,0.0,0.0,0.0,208.8,2.34,157.0,102460.0
1990-01-01 21:00:00+00:00,-4.49,84.6,0.0,0.0,0.0,208.8,2.34,153.0,102390.0
1990-01-01 22:00:00+00:00,-4.52,84.6,0.0,0.0,0.0,209.4,2.34,146.0,102340.0
1990-01-01 23:00:00+00:00,-4.5,84.6,0.0,0.0,0.0,209.95,2.41,142.0,102340.0
1990-01-02 00:00:00+00:00,-4.02,84.65,164.1,871.42,63.15,211.3,2.34,139.0,102310.0
1990-01-02 01:00:00+00:00,-0.94,64.35,342.8,848.37,93.75,214.35,2.41,144.0,102290.0
1990-01-02 02:00:00+00:00,1.59,51.0,490.9,867.47,111.15,218.5,2.69,156.0,102280.0
1990-01-02 03:00:00+00:00,3.56,45.4,585.0,861.91,120.75,222.95,2.9,172.0,102210.0
1990-01-02 04:00:00+00:00,4.95,42.3,614.15,832.8,123.4,226.8,2.97,186.0,102090.0
1990-01-02 05:00:00+00:00,5.98,40.9,575.6,778.49,119.2,229.9,3.1,190.0,101970.0
1990-01-02 06:00:00+00:00,6.76,38.0,469.4,680.75,108.75,232.8,3.17,188.0,101850.0
1990-01-02 07:00:00+00:00,7.14,38.1,315.1,531.63,89.85,237.25,3.38,183.0,101730.0
1990-01-02 08:00:00+00:00,7.28,38.1,136.95,292.12,56.55,238.8,3.1,172.0,101690.0
1990-01-02 09:00:00+00:00,6.24,48.15,11.2,35.98,7.8,240.35,2.41,142.0,101650.0
1990-01-02 10:00:00+00:00,4.07,57.95,0.0,0.0,0.0,239.0,2.9,121.0,101630.0
1990-01-02 11:00:00+00:00,2.52,64.9,0.0,0.0,0.0,238.8,3.24,113.0,101640.0
1990-01-02 12:00:00+00:00,1.89,64.9,0.0,0.0,0.0,240.75,3.72,114.0,101630.0
1990-01-02 13:00:00+00:00,1.51,67.4,0.0,0.0,0.0,241.3,3.86,119.0,101630.0
1990-01-02 14:00:00+00:00,1.17,70.1,0.0,0.0,0.0,241.9,3.66,124.0,101640.0
1990-01-02 15:00:00+00:00,0.78,72.85,0.0,0.0,0.0,240.95,3.31,127.0,101640.0
1990-01-02 16:00:00+00:00,0.32,75.7,0.0,0.0,0.0,240.55,2.97,127.0,101640.0
1990-01-02 17:00:00+00:00,-0.15,78.65,0.0,0.0,0.0,244.4,2.55,122.0,101660.0
1990-01-02 18:00:00+00:00,-0.78,81.75,0.0,0.0,0.0,241.3,2.28,113.0,101670.0
1990-01-02 19:00:00+00:00,-1.45,85.0,0.0,0.0,0.0,241.15,2.07,97.0,101640.0
1990-01-02 20:00:00+00:00,-1.76,84.95,0.0,0.0,0.0,241.15,2.21,106.0,101600.0
1990-01-02 21:00:00+00:00,-1.93,84.95,0.0,0.0,0.0,241.9,2.21,118.0,101570.0
1990-01-02 22:00:00+00:00,-2.08,88.3,0.0,0.0,0.0,242.3,2.07,131.0,101610.0
1990-01-02 23:00:00+00:00,-2.25,88.3,0.0,0.0,0.0,242.65,1.93,135.0,101690.0
1990-01-03 00:00:00+00:00,-2.01,91.85,148.15,713.91,65.75,244.8,1.66,130.0,101760.0
1990-01-03 01:00:00+00:00,1.15,78.9,321.25,781.35,91.95,249.35,0.69,106.0,101850.0
1990-01-03 02:00:00+00:00,3.88,73.3,463.15,804.46,110.75,251.2,0.69,21.0,101940.0
1990-01-03 03:00:00+00:00,6.44,60.85,554.9,806.27,120.05,255.45,0.69,345.0,101970.0
1990-01-03 04:00:00+00:00,8.24,52.6,583.65,780.14,123.05,260.5,0.9,296.0,101910.0
1990-01-03 05:00:00+00:00,9.45,50.85,547.2,727.9,119.35,263.75,1.52,286.0,101840.0
1990-01-03 06:00:00+00:00,10.27,49.2,445.05,630.86,109.65,265.7,2.0,296.0,101800.0
1990-01-03 07:00:00+00:00,10.38,51.1,297.5,485.05,90.95,268.2,2.34,317.0,101860.0
1990-01-03 08:00:00+00:00,10.33,51.1,130.1,268.07,55.7,268.2,2.21,332.0,101930.0
1990-01-03 09:00:00+00:00,9.42,57.05,11.2,34.06,7.9,270.75,1.86,344.0,101970.0
1990-01-03 10:00:00+00:00,7.68,63.6,0.0,0.0,0.0,261.05,2.34,351.0,102040.0
1990-01-03 11:00:00+00:00,5.77,70.85,0.0,0.0,0.0,258.15,2.83,355.0,102110.0
