time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-5.11,35.92,0.0,0.0,0.0,201.74,0.61,240.0,75380.0
1990-01-01 01:00:00+00:00,-4.88,34.74,148.5,1163.14,44.0,199.58,0.64,233.0,75390.0
1990-01-01 02:00:00+00:00,-4.65,33.56,315.3,983.26,68.7,197.42,0.68,248.0,75390.0
1990-01-01 03:00:00+00:00,-4.42,32.39,452.5,982.39,80.4,195.25,0.71,345.0,75380.0
1990-01-01 04:00:00+00:00,-4.19,31.21,528.15,937.55,92.15,193.09,0.75,357.0,75320.0
1990-01-01 05:00:00+00:00,-3.96,30.03,541.35,888.37,93.85,190.93,0.79,354.0,75200.0
1990-01-01 06:00:00+00:00,-3.74,28.86,501.95,852.9,82.15,188.77,0.82,353.0,75100.0
1990-01-01 07:00:00+00:00,-3.51,27.68,390.4,728.7,76.15,186.61,0.86,358.0,75000.0
1990-01-01 08:00:00+00:00,1.56,21.8,228.5,502.3,65.25,196.4,0.9,15.0,74990.0
1990-01-01 09:00:00+00:00,1.21,21.8,61.65,167.65,31.35,198.75,1.03,53.0,74980.0
1990-01-01 10:00:00+00:00,0.02,24.45,0.05,0.0,0.05,209.75,1.17,74.0,75010.0
1990-01-01 11:00:00+00:00,-1.48,27.45,0.0,0.0,0.0,204.35,0.97,97.0,75070.0
1990-01-01 12:00:00+00:00,-2.16,29.85,0.0,0.0,0.0,204.75,0.83,128.0,75130.0
1990-01-01 13:00:00+00:00,-3.21,32.3,0.0,0.0,0.0,202.2,0.76,138.0,75160.0
1990-01-01 14:00:00+00:00,-4.34,36.5,0.0,0.0,0.0,191.95,0.62,147.0,75180.0
1990-01-01 15:00:00+00:00,-5.38,39.55,0.0,0.0,0.0,199.15,0.62,162.0,75210.0
1990-01-01 16:00:00+00:00,-6.59,44.65,0.0,0.0,0.0,193.15,0.62,167.0,75200.0
1990-01-01 17:00:00+00:00,-7.72,48.4,0.0,0.0,0.0,186.55,0.55,186.0,75170.0
1990-01-01 18:00:00+00:00,-9.1,52.55,0.0,0.0,0.0,185.6,0.48,208.0,75180.0
1990-01-01 19:00:00+00:00,-9.58,52.4,0.0,0.0,0.0,205.15,0.48,239.0,75110.0
1990-01-01 20:00:00+00:00,-9.58,50.15,0.0,0.0,0.0,215.0,0.55,250.0,75120.0
1990-01-01 21:00:00+00:00,-10.03,50.0,0.0,0.0,0.0,200.3,0.62,252.0,75080.0
