time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,-5.27,20.67,0.0,0.0,0.0,199.68,1.44,215.0,87940.0
1990-01-01 01:00:00+00:00,-4.1,21.11,172.15,966.98,55.1,199.08,1.38,205.0,88010.0
1990-01-01 02:00:00+00:00,-2.93,21.54,326.8,933.21,75.3,198.48,1.32,199.0,88080.0
1990-01-01 03:00:00+00:00,-1.76,21.98,443.05,931.83,86.15,197.88,1.26,198.0,88090.0
1990-01-01 04:00:00+00:00,-0.59,22.41,504.05,909.91,91.1,197.28,1.2,202.0,88060.0
1990-01-01 05:00:00+00:00,0.58,22.85,502.85,863.44,90.85,196.67,1.13,208.0,87940.0
1990-01-01 06:00:00+00:00,1.75,23.28,439.7,787.24,84.35,196.07,1.07,212.0,87860.0
1990-01-01 07:00:00+00:00,2.92,23.72,319.2,642.13,76.3,195.47,1.01,169.0,87810.0
1990-01-01 08:00:00+00:00,4.31,18.05,158.8,375.57,60.1,198.55,0.76,134.0,87810.0
1990-01-01 09:00:00+00:00,3.5,19.55,22.9,64.25,15.65,197.4,1.31,126.0,87800.0
1990-01-01 10:00:00+00:00,1.36,23.65,0.0,0.0,0.0,201.05,1.03,126.0,87830.0
1990-01-01 11:00:00+00:00,0.78,24.6,0.0,0.0,0.0,205.5,0.34,126.0,87870.0
1990-01-01 12:00:00+00:00,-0.64,27.6,0.0,0.0,0.0,209.95,0.41,212.0,87920.0
1990-01-01 13:00:00+00:00,-2.13,29.85,0.0,0.0,0.0,210.15,0.76,223.0,87990.0
1990-01-01 14:00:00+00:00,-2.9,31.05,0.0,0.0,0.0,209.6,0.83,230.0,88040.0
1990-01-01 15:00:00+00:00,-3.8,32.15,0.0,0.0,0.0,214.2,0.9,238.0,88050.0
1990-01-01 16:00:00+00:00,-4.78,34.8,0.0,0.0,0.0,221.2,1.03,233.0,88050.0
1990-01-01 17:00:00+00:00,-5.47,36.2,0.0,0.0,0.0,227.4,1.1,231.0,88060.0
1990-01-01 18:00:00+00:00,-5.32,34.65,0.0,0.0,0.0,239.4,1.24,230.0,88070.0
1990-01-01 19:00:00+00:00,-5.02,31.85,0.0,0.0,0.0,245.0,1.03,226.0,88030.0
1990-01-01 20:00:00+00:00,-5.73,33.0,0.0,0.0,0.0,224.5,1.45,226.0,88050.0
1990-01-01 21:00:00+00:00,-5.76,33.0,0.0,0.0,0.0,232.2,1.38,225.0,88030.0
1990-01-01 22:00:00+00:00,-5.58,31.7,0.0,0.0,0.0,237.25,1.52,225.0,88040.0
1990-01-01 23:00:00+00:00,-5.21,31.7,0.0,0.0,0.0,248.1,1.52,227.0,88090.0
1990-01-02 00:00:00+00:00,-5.01,31.85,0.0,0.0,0.0,253.5,1.52,228.0,88140.0
1990-01-02 01:00:00+00:00,-4.7,33.3,115.0,279.93,81.15,252.05,1.52,227.0,88230.0
1990-01-02 02:00:00+00:00,-3.24,30.9,279.45,591.4,119.95,243.05,1.86,235.0,88300.0
1990-01-02 03:00:00+00:00,-1.36,26.4,413.95,787.34,111.95,223.9,2.62,249.0,88330.0
1990-01-02 04:00:00+00:00,0.37,24.45,490.25,865.36,96.7,218.3,2.76,257.0,88300.0
1990-01-02 05:00:00+00:00,1.58,22.75,493.35,843.29,89.85,205.15,3.17,262.0,88210.0
1990-01-02 06:00:00+00:00,2.21,21.9,432.95,768.45,84.8,201.65,4.0,270.0,88140.0
1990-01-02 07:00:00+00:00,2.07,20.95,317.55,638.82,74.65,199.3,3.79,273.0,88090.0
1990-01-02 08:00:00+00:00,1.7,21.8,164.35,417.21,53.8,197.4,3.86,275.0,88130.0
1990-01-02 09:00:00+00:00,0.57,22.5,25.05,97.27,13.85,195.05,3.38,265.0,88160.0
1990-01-02 10:00:00+00:00,-1.58,24.15,0.0,0.0,0.0,192.75,3.45,255.0,88240.0
1990-01-02 11:00:00+00:00,-3.14,27.05,0.0,0.0,0.0,188.7,3.31,250.0,88300.0
1990-01-02 12:00:00+00:00,-4.16,29.25,0.0,0.0,0.0,188.5,3.24,249.0,88370.0
1990-01-02 13:00:00+00:00,-4.82,31.85,0.0,0.0,0.0,189.25,3.03,246.0,88410.0
1990-01-02 14:00:00+00:00,-5.21,33.15,0.0,0.0,0.0,189.85,3.03,244.0,88430.0
1990-01-02 15:00:00+00:00,-5.43,34.65,0.0,0.0,0.0,190.05,2.97,247.0,88460.0
1990-01-02 16:00:00+00:00,-5.82,36.05,0.0,0.0,0.0,189.05,2.83,248.0,88450.0
1990-01-02 17:00:00+00:00,-6.28,37.55,0.0,0.0,0.0,187.7,2.69,247.0,88440.0
1990-01-02 18:00:00+00:00,-6.8,39.1,0.0,0.0,0.0,186.55,2.55,245.0,88420.0
1990-01-02 19:00:00+00:00,-7.65,40.7,0.0,0.0,0.0,184.8,2.14,236.0,88400.0
1990-01-02 20:00:00+00:00,-8.13,42.4,0.0,0.0,0.0,183.65,2.0,234.0,88420.0
1990-01-02 21:00:00+00:00,-8.61,44.2,0.0,0.0,0.0,183.05,1.79,232.0,88380.0
1990-01-02 22:00:00+00:00,-9.0,46.05,0.0,0.0,0.0,182.3,1.59,227.0,88370.0
1990-01-02 23:00:00+00:00,-9.3,48.0,0.0,0.0,0.0,182.85,1.52,223.0,88390.0
1990-01-03 00:00:00+00:00,-9.52,48.0,0.0,0.0,0.0,182.5,1.59,220.0,88420.0
1990-01-03 01:00:00+00:00,-8.82,46.05,171.9,970.16,54.6,183.35,1.59,216.0,88510.0
1990-01-03 02:00:00+00:00,-5.41,34.65,326.5,932.39,74.75,185.6,1.79,219.0,88560.0
1990-01-03 03:00:00+00:00,-2.29,27.3,442.7,929.62,85.5,188.5,2.55,229.0,88570.0
1990-01-03 04:00:00+00:00,0.03,23.4,503.9,907.0,90.45,191.2,3.1,236.0,88520.0
1990-01-03 05:00:00+00:00,1.5,20.85,503.3,860.46,90.35,193.7,3.17,242.0,88410.0
1990-01-03 06:00:00+00:00,2.32,20.95,441.45,784.02,84.85,195.25,3.17,243.0,88320.0
1990-01-03 07:00:00+00:00,2.9,19.3,324.05,654.99,73.65,196.6,3.72,250.0,88230.0
1990-01-03 08:00:00+00:00,2.69,18.5,161.25,373.25,61.5,195.85,3.79,254.0,88280.0
1990-01-03 09:00:00+00:00,1.57,19.95,23.6,52.33,17.45,200.1,3.38,243.0,88270.0
1990-01-03 10:00:00+00:00,-0.7,23.1,0.0,0.0,0.0,201.45,3.66,236.0,88310.0
1990-01-03 11:00:00+00:00,-2.02,24.05,0.0,0.0,0.0,205.9,3.52,238.0,88350.0
1990-01-03 12:00:00+00:00,-2.58,25.0,0.0,0.0,0.0,214.4,3.52,242.0,88380.0
1990-01-03 13:00:00+00:00,-2.82,26.0,0.0,0.0,0.0,219.05,3.52,242.0,88390.0
