csi_case,single_case,context,viable,single_selected,tandem_selected,uniform_ratio_choices_changed,information_loss_usd,reference_npv_usd,information_loss_pct
Baseline,Baseline,cap,258,135,0,59,478171.849559575,30615326.904990323,1.5618707944667827
Baseline,Baseline,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Baseline,Rs 0.8,cap,254,111,0,24,92467.39538315227,29974576.01442769,0.3084860828011207
Baseline,Rs 0.8,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Baseline,Rs 1.2,cap,267,162,0,102,721244.8690806235,31433955.09179228,2.2944769978021244
Baseline,Rs 1.2,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Baseline,Rsh 0.5,cap,258,135,0,61,496928.77716178587,30631162.09014689,1.6222981540802615
Baseline,Rsh 0.5,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Baseline,Rsh 2.0,cap,258,135,0,58,465422.0152552768,30607410.06731277,1.5206187463483718
Baseline,Rsh 2.0,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Baseline,Ideality low,cap,260,142,0,81,667092.397538147,30844043.083544727,2.1627916798431666
Baseline,Ideality low,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Baseline,Ideality high,cap,258,130,0,45,396815.99361499224,30391405.51601195,1.3056849029437834
Baseline,Ideality high,area,337,0,133,14,42731.72751147079,308817476.75422394,0.013837211533685102
Rs 0.8,Baseline,cap,258,153,0,99,761646.1032102277,30071458.873300824,2.532787339713874
Rs 0.8,Baseline,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 0.8,Rs 0.8,cap,254,131,0,61,461882.1643138163,29337840.390234537,1.5743563880985578
Rs 0.8,Rs 0.8,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 0.8,Rs 1.2,cap,267,189,0,90,524209.227440601,30993138.343507975,1.6913718824812243
Rs 0.8,Rs 1.2,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 0.8,Rsh 0.5,cap,258,153,0,99,753603.5703081514,30089239.470798895,2.5045617089774272
Rs 0.8,Rsh 0.5,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 0.8,Rsh 2.0,cap,258,153,0,99,765668.7330000757,30062569.292449765,2.546917149867074
Rs 0.8,Rsh 2.0,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 0.8,Ideality low,cap,260,160,0,99,702310.9688028729,30325161.70327906,2.3159347860193997
Rs 0.8,Ideality low,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 0.8,Ideality high,cap,258,146,0,91,690337.3583390592,29819010.86841001,2.3150914072418023
Rs 0.8,Ideality high,area,337,0,167,9,55300.68510208349,306143270.65738755,0.01806366182190947
Rs 1.2,Baseline,cap,258,114,0,19,90920.63087424517,31302077.522497535,0.29046196952549996
Rs 1.2,Baseline,area,337,0,89,8,13973.749885665486,312359181.0916837,0.004473615866461089
Rs 1.2,Rs 0.8,cap,254,83,0,41,153039.56930592703,30798223.201451957,0.4969103844234498
Rs 1.2,Rs 0.8,area,337,0,89,8,13973.749885665486,312359181.0916837,0.004473615866461089
Rs 1.2,Rs 1.2,cap,267,144,0,62,479198.9462862227,32013146.525593057,1.4968817448266916
Rs 1.2,Rs 1.2,area,337,0,89,8,13973.749885665486,312359181.0916837,0.004473615866461089
Rs 1.2,Rsh 0.5,cap,258,114,0,21,94464.80197012296,31315634.830582313,0.30165379843384255
Rs 1.2,Rsh 0.5,area,337,0,89,8,13973.749885665486,312359181.0916837,0.004473615866461089
Rs 1.2,Rsh 2.0,cap,258,113,0,20,90366.95332210444,31295313.62856919,0.28875554466279363
Rs 1.2,Rsh 2.0,area,337,0,89,8,13973.749885665486,312359181.0916837,0.004473615866461089
