technology,electrical_case,mask,max_coarse_vs_fine_yield_pct,min_hourly_geff,max_hourly_geff,min_temperature,max_temperature
csi,Baseline,0,0.0015283010851963041,0.0,1259.3104086887074,25.0,25.0
csi,Baseline,7,0.0018173745791605356,0.0,1230.6318782305657,-45.82,75.00369143282586
csi,Rs 0.8,0,0.0015710829530224402,0.0,1259.3104086887074,25.0,25.0
csi,Rs 0.8,7,0.0018490588837405397,0.0,1230.6318782305657,-45.82,75.00369143282586
csi,Rs 1.2,0,0.0015020078527827607,0.0,1259.3104086887074,25.0,25.0
csi,Rs 1.2,7,0.001769035746779224,0.0,1230.6318782305657,-45.82,75.00369143282586
csi,Rsh 0.5,0,0.0015204389839151844,0.0,1259.3104086887074,25.0,25.0
csi,Rsh 0.5,7,0.0018106872182066525,0.0,1230.6318782305657,-45.82,75.00369143282586
csi,Rsh 2.0,0,0.0015322124221173183,0.0,1259.3104086887074,25.0,25.0
csi,Rsh 2.0,7,0.0018207117530977257,0.0,1230.6318782305657,-45.82,75.00369143282586
csi,Ideality low,0,0.0014992405387603824,0.0,1259.3104086887074,25.0,25.0
csi,Ideality low,7,0.0017823788708959398,0.0,1230.6318782305657,-45.82,75.00369143282586
csi,Ideality high,0,0.0017118963740569981,0.0,1259.3104086887074,25.0,25.0
csi,Ideality high,7,0.002008203720715862,0.0,1230.6318782305657,-45.82,75.00369143282586
single,Baseline,0,0.0013503756070898376,0.0,1259.3104086887074,25.0,25.0
single,Baseline,7,0.0014976857825699241,0.0,1258.418726082882,-45.82,75.00369143282586
single,Rs 0.8,0,0.0014124508472157515,0.0,1259.3104086887074,25.0,25.0
single,Rs 0.8,7,0.0015485271611437312,0.0,1258.418726082882,-45.82,75.00369143282586
single,Rs 1.2,0,0.001285619849666908,0.0,1259.3104086887074,25.0,25.0
single,Rs 1.2,7,0.0014650323870046833,0.0,1258.418726082882,-45.82,75.00369143282586
single,Rsh 0.5,0,0.0013409284637777574,0.0,1259.3104086887074,25.0,25.0
single,Rsh 0.5,7,0.001490472456211478,0.0,1258.418726082882,-45.82,75.00369143282586
single,Rsh 2.0,0,0.0013550451547716946,0.0,1259.3104086887074,25.0,25.0
single,Rsh 2.0,7,0.0015013391004625731,0.0,1258.418726082882,-45.82,75.00369143282586
single,Ideality low,0,0.0011764976209693856,0.0,1259.3104086887074,25.0,25.0
single,Ideality low,7,0.0013423916249033496,0.0,1258.418726082882,-45.82,75.00369143282586
single,Ideality high,0,0.0015139049028833895,0.0,1259.3104086887074,25.0,25.0
single,Ideality high,7,0.0016738113065573046,0.0,1258.418726082882,-45.82,75.00369143282586
