technology,electrical_case,maximum_scalar_relative_pmax_error_pct
csi,Baseline,0.00014072543106369295
csi,Rs 0.8,0.00017699832616235867
csi,Rs 1.2,0.0001688885428841047
csi,Rsh 0.5,0.00014336821453353465
csi,Rsh 2.0,0.00013934839036000568
csi,Ideality low,0.00017777977880939488
csi,Ideality high,0.00011377181804439473
single,Baseline,0.00019967229702988476
single,Rs 0.8,0.00020806492349034755
single,Rs 1.2,0.00017549276889461396
single,Rsh 0.5,0.00019624914887605982
single,Rsh 2.0,0.00020115088688044125
single,Ideality low,0.0002826991323257033
single,Ideality high,0.0001470477563381145
