spatial_case,accounting,context,viable,csi,single,tandem,choices_changed_from_primary,uniform_ratio_choices_changed,reference_npv_usd,information_loss_usd,information_loss_pct
Primary,Central,cap,258,123,135,0,0,59,30615326.90499036,478171.8495595821,1.561870794466804
Primary,Central,area,337,204,0,133,0,14,308817476.75422394,42731.727511511184,0.013837211533698185
Primary,Half replacement cost,cap,306,0,306,0,0,2,48542963.15822594,6043.583752330733,0.012449968768143907
Primary,Half replacement cost,area,337,195,9,133,0,17,309028272.2751542,59829.18533211615,0.019360424498262453
Primary,Remaining-life salvage,cap,323,0,323,0,0,5,57246854.30551541,14863.88637020724,0.025964546961622637
Primary,Remaining-life salvage,area,337,162,42,133,0,26,309936359.6841799,138984.71251596592,0.04484298410731451
Alternative area estimator,Central,cap,258,130,128,0,7,48,30562211.086180877,448689.27093383175,1.4681178324061532
Alternative area estimator,Central,area,337,204,0,133,0,14,308818315.6574989,42754.10995087761,0.013844421714382677
Alternative area estimator,Half replacement cost,cap,306,0,306,0,0,2,48063813.242816165,2897.0959840472688,0.006027603281103132
Alternative area estimator,Half replacement cost,area,337,195,9,133,0,18,308998508.1749524,68560.8515184068,0.022188084959810943
Alternative area estimator,Remaining-life salvage,cap,322,0,322,0,1,4,56757225.41656447,10160.218334685453,0.01790118924967783
Alternative area estimator,Remaining-life salvage,area,337,166,38,133,4,24,309830417.7011484,133118.00238377787,0.04296479453872694
Alternative ratios with primary c-Si,Central,cap,258,130,128,0,7,48,30559367.87128733,448563.43356136204,1.4678426446864394
Alternative ratios with primary c-Si,Central,area,337,204,0,133,0,14,308807072.6870662,42778.020438963315,0.013852668614981172
Alternative ratios with primary c-Si,Half replacement cost,cap,306,0,306,0,0,2,48060731.65480684,2881.23130565009,0.005994980114627366
Alternative ratios with primary c-Si,Half replacement cost,area,337,195,9,133,0,18,308987305.45421106,68603.58662010616,0.022202720114750003
Alternative ratios with primary c-Si,Remaining-life salvage,cap,322,0,322,0,1,4,56754014.40232827,10128.02981667869,0.01784548621509177
Alternative ratios with primary c-Si,Remaining-life salvage,area,337,166,38,133,4,24,309819357.6657865,133190.76445090404,0.04298981363023217
