spatial_case,accounting,context,strategy,support_fraction,before_viable,after_viable,new_viable,before_target,after_target,new_target,supported_projects,baseline_adopters_paid,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,public_cost_usd,extra_mwh,full_instrument_ceiling_usd,matched_set_is_global_rank_prefix,all_choices_match_uniform,objective_support_usd,other_switch_support_usd,baseline_adopter_support_usd,public_cost_usd_uniform,saving_pct
Primary,Central,cap,Uniform,0.5,258,306,48,135,306,171,306,135,30615326.90499036,48542963.15822591,17927636.253235552,20633943.181823507,1031697.1590911754,21665640.34091468,421361.4180779278,134862.37373740855,1,1,3236696.969697805,8294035.984850625,9103210.227275074,21665640.34091468,0.0
Primary,Central,cap,Matched additions,0.5,258,306,48,135,183,48,48,0,30615326.90499036,30615374.90499036,48.0,1215507.6753661013,60775.383768305066,1276283.0591344065,691119.3924434278,134862.37373740855,1,0,1215507.6753661013,0.0,0.0,21665640.34091468,94.10918376262252
Primary,Central,cap,Strict selections,0.5,258,306,48,135,306,171,171,0,30615326.90499036,30615497.90499036,171.0,2706477.9285879564,135323.89642939784,2841801.8250173545,421361.4180779278,134862.37373740855,1,1,1215507.6753661013,1490970.253221855,0.0,21665640.34091468,86.88337025677137
Primary,Central,area,Uniform,0.5,337,337,0,133,337,204,337,133,308817476.75422394,348992934.49194896,40175457.73772495,50285089.81324729,2514254.4906623648,52799344.30390966,795501.041413649,298427.83271956845,1,1,30439638.93739599,0.0,19845450.875851303,52799344.30390966,0.0
Primary,Central,area,Matched additions,0.5,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0,52799344.30390966,79.89496267567773
Primary,Central,area,Strict selections,0.5,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0,52799344.30390966,79.89496267567773
Primary,Half replacement cost,cap,Uniform,0.5,306,325,19,306,325,19,325,306,48542963.15822594,59178883.06741397,10635919.909188043,10957567.866164444,547878.3933082222,11505446.259472666,245525.06652595592,67431.18686870427,1,1,640596.2752526908,0.0,10316971.590911753,11505446.259472666,0.0
Primary,Half replacement cost,cap,Matched additions,0.5,306,325,19,306,325,19,19,0,48542963.15822594,48542982.15822594,19.0,321666.95697640185,16083.347848820093,337750.30482522195,245525.06652595592,67431.18686870427,1,1,321666.95697640185,0.0,0.0,11505446.259472666,97.06443107717664
Primary,Half replacement cost,cap,Strict selections,0.5,306,325,19,306,325,19,19,0,48542963.15822594,48542982.15822594,19.0,321666.95697640185,16083.347848820093,337750.30482522195,245525.06652595592,67431.18686870427,1,1,321666.95697640185,0.0,0.0,11505446.259472666,97.06443107717664
Primary,Half replacement cost,area,Uniform,0.5,337,337,0,133,333,200,333,133,309028272.2751542,349090995.13511395,40062722.859959766,49688234.14780816,2484411.707390408,52172645.85519857,802141.3122251285,298427.83271956845,0,1,29842783.271956854,0.0,19845450.875851303,52172645.85519857,0.0
Primary,Half replacement cost,area,Matched additions,0.5,337,337,0,133,333,200,200,0,309028272.2751542,309028472.2751542,200.0,9625711.287848393,481285.56439241965,10106996.852240812,802141.3122251285,298427.83271956845,0,1,9625711.287848393,0.0,0.0,52172645.85519857,80.6277855252117
Primary,Half replacement cost,area,Strict selections,0.5,337,337,0,133,333,200,200,0,309028272.2751542,309028472.2751542,200.0,9625711.287848393,481285.56439241965,10106996.852240812,802141.3122251285,298427.83271956845,0,1,9625711.287848393,0.0,0.0,52172645.85519857,80.6277855252117
