context,om,sj_cost_multiplier,sj_degradation,sj_lifetime,replacement_rule,price,rate,policy,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
cap,proportional,0.8,0.005,18.0,full,0.03,0.1,General,241,284,43,0,698484.7105735822,1235862.2978020792,698484.7105735823,0.0,1235862.2978020792,0.0,9184560.0,8154682.736652075,0,284,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.03,0.1,New,241,284,43,0,698484.7105735822,1235862.2978020792,698484.7105735823,0.0,1235862.2978020792,0.0,9184560.0,8154682.736652075,0,284,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.03,0.2,General,241,304,63,0,1002846.0483011956,1774383.3226893335,1002846.0483011956,0.0,1774383.3226893335,0.0,19662720.0,17242835.156594243,0,304,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.03,0.2,New,241,304,63,0,1002846.0483011956,1774383.3226893335,1002846.0483011956,0.0,1774383.3226893335,0.0,19662720.0,17242835.156594243,0,304,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.03,0.3,General,241,324,83,0,1285102.1411912804,2273792.4840456718,1285102.1411912807,0.0,2273792.484045672,0.0,31434480.0,26899830.23141056,0,324,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.03,0.3,New,241,324,83,0,1285102.1411912804,2273792.4840456718,1285102.1411912807,0.0,2273792.484045672,0.0,31434480.0,26899830.23141056,0,324,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.04,0.1,General,333,336,3,0,36606.128206126086,64768.96778643895,36606.128206126086,0.0,64768.96778643895,0.0,10866240.0,10309761.97146211,0,336,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.04,0.1,New,333,336,3,0,36606.128206126086,64768.96778643895,36606.128206126086,0.0,64768.96778643895,0.0,10866240.0,10309761.97146211,0,336,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.04,0.2,General,333,337,4,0,48237.03813699253,85348.09121619278,48237.03813699253,0.0,85348.09121619278,0.0,21797160.0,20684303.98310246,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.04,0.2,New,333,337,4,0,48237.03813699253,85348.09121619278,48237.03813699253,0.0,85348.09121619278,0.0,21797160.0,20684303.98310246,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.04,0.3,General,333,337,4,0,48237.03813699253,85348.09121619278,48237.03813699253,0.0,85348.09121619278,0.0,32695740.0,31063903.983102467,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.04,0.3,New,333,337,4,0,48237.03813699253,85348.09121619278,48237.03813699253,0.0,85348.09121619278,0.0,32695740.0,31063903.983102467,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999998,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999998,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,full,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.03,0.1,General,305,326,21,0,294818.422014334,521636.2891691883,294818.422014334,0.0,521636.2891691883,0.0,10542840.0,9706164.360790921,0,326,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.03,0.1,New,305,326,21,0,294818.422014334,521636.2891691883,294818.422014334,0.0,521636.2891691883,0.0,10542840.0,9706164.360790921,0,326,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.03,0.2,General,305,333,28,0,387057.72765982203,684839.6900411851,387057.727659822,0.0,684839.6900411851,0.0,21538440.0,19885614.09694253,0,333,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.03,0.2,New,305,333,28,0,387057.72765982203,684839.6900411851,387057.727659822,0.0,684839.6900411851,0.0,21538440.0,19885614.09694253,0,333,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.03,0.3,General,305,337,32,0,435294.7657968146,770187.7812573779,435294.7657968146,0.0,770187.7812573779,0.0,32695740.0,30210308.42207342,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.03,0.3,New,305,337,32,0,435294.7657968146,770187.7812573779,435294.7657968146,0.0,770187.7812573779,0.0,32695740.0,30210308.42207342,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.04,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.05,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.05,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379599.999999994,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.05,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.05,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000007,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.05,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,half,0.05,0.3,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138799.999999996,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.1,General,301,320,19,0,271583.3050730225,480525.28905981046,271583.3050730225,0.0,480525.2890598104,0.0,10348800.0,9538774.16032811,0,320,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.1,New,301,320,19,0,271583.3050730225,480525.28905981046,271583.3050730225,0.0,480525.2890598104,0.0,10348800.0,9538774.16032811,0,320,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.2,General,301,333,32,0,446038.46332474763,789197.1174858809,446038.4633247476,0.0,789197.117485881,0.0,21538440.0,19637574.966079164,0,333,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.2,New,301,333,32,0,446038.46332474763,789197.1174858809,446038.4633247476,0.0,789197.117485881,0.0,21538440.0,19637574.966079164,0,333,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.3,General,301,336,35,0,482644.5915308737,853966.0852723198,482644.5915308736,0.0,853966.08527232,0.0,32598720.0,29932823.287232008,0,336,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.03,0.3,New,301,336,35,0,482644.5915308737,853966.0852723198,482644.5915308736,0.0,853966.08527232,0.0,32598720.0,29932823.287232008,0,336,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.1,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.1,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10898580.0,10379600.000000002,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.2,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.2,New,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21797160.0,20759200.000000004,0,337,0,False,False
cap,proportional,0.8,0.005,18.0,salvage,0.04,0.3,General,337,337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32695740.0,31138800.000000015,0,337,0,False,False
