sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.005,-0.1,full,298,324,26,275,-277911.96876053285,-429316.31014528347,332252.49812748196,-610164.4668880148,586004.4602086841,-1015320.7703539677,24335850.0,8062287.098152399,23,301,0,True,True
0.005,-0.1,half,319,336,17,86,-42562.235891966455,-53240.36739559463,201046.95652810123,-243609.19242006767,354593.00953591184,-407833.3769315064,27165600.0,24853857.775007833,0,336,0,True,True
0.005,-0.1,salvage,330,337,7,0,77584.21460659383,136837.7846893039,77584.21460659381,0.0,136837.78468930387,0.0,27246450.0,25763913.07284846,0,337,0,False,False
0.005,-0.1,stop_option,330,337,7,24,-39541.585873320604,-126941.32506302129,71317.20831127181,-110858.7941845924,116935.67091543152,-243876.9959784528,27246450.0,25635649.975596752,0,337,0,True,True
0.005,-0.0975,full,298,324,26,284,-290040.893062636,-448387.9339466444,333175.4217333916,-623216.3147960276,587632.2503759305,-1036020.1843225749,25063500.0,8620010.976187438,14,310,0,True,True
0.005,-0.0975,half,319,336,17,70,4648.261877627883,26087.409472042666,201605.4202962348,-196957.15841860697,355577.99011795607,-329490.58064591326,27165600.0,25041368.29568048,0,336,0,False,False
0.005,-0.0975,salvage,330,337,7,0,77799.72631383436,137217.88964677416,77799.72631383436,0.0,137217.88964677416,0.0,27246450.0,25772533.541138086,0,337,0,False,False
0.005,-0.0975,stop_option,330,337,7,18,-11616.847997637975,-66160.61390021764,71515.311667692,-83132.15966533,117260.49222352995,-183421.1061237476,27246450.0,25689055.503192414,0,337,0,True,True
0.005,-0.095,full,298,325,27,288,-275112.19769176916,-420995.7773580473,346331.1047387142,-621443.3024304835,610835.3533222105,-1031831.1306802576,25467750.0,9192698.394726325,10,315,0,True,True
0.005,-0.095,half,320,336,16,57,30658.51184115249,68777.08795300458,189708.25862859946,-159049.74678744696,334594.58189574577,-265817.4939427412,27165600.0,25197321.22423622,0,336,0,False,False
0.005,-0.095,salvage,330,337,7,0,78015.23802107491,137597.99460424448,78015.2380210749,0.0,137597.99460424448,0.0,27246450.0,25781154.009427708,0,337,0,False,False
0.005,-0.095,stop_option,330,337,7,14,7152.348724089701,-25210.24714402914,71713.41502411221,-64561.0663000225,117585.31353162837,-142795.56067565753,27246450.0,25730767.380440418,0,337,0,False,True
0.005,-0.0925,full,298,326,28,293,-262859.9827662326,-398028.943504142,359498.6623207167,-622358.6450869493,634059.3998428404,-1032088.3433469823,25952850.0,9774202.245465243,5,321,0,True,True
0.005,-0.0925,half,320,336,16,38,84314.10448954262,158674.23676449188,190232.31459166188,-105918.2101021193,335518.8763208721,-176844.63955638022,27165600.0,25323715.029414866,0,336,0,False,False
0.005,-0.0925,salvage,330,337,7,0,78230.74972831542,137978.09956171474,78230.74972831542,0.0,137978.09956171474,0.0,27246450.0,25789774.47771733,0,337,0,False,False
0.005,-0.0925,stop_option,331,337,6,12,6244.81203846214,-21428.11932430944,61241.111126556825,-54996.29908809468,100414.3401959071,-121842.45952021655,27246450.0,25766512.56566148,0,337,0,False,True
0.005,-0.09,full,298,328,30,295,-229472.48399544094,-338586.52050496987,384909.0938559023,-614381.5778513433,678876.5985076124,-1017463.1190125821,26276250.0,10365527.503625887,3,325,0,True,True
