adcode,province_code,tech,gamma_target_pct_per_c,response_parameter,response_parameter_name,efficiency_ratio_scale,capacity_advantage_pct,area_advantage_pct,yield_kwh_per_kwp,csi_yield_kwh_per_kwp,ghi_kwh_m2,scan_definition
130100,130000,single,-0.25,0.7,Spectral deviation multiplier,0.9,2.3526473276045623,-19.236877030150236,1677.8098184526311,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,0.7,Spectral deviation multiplier,1.0,2.3526473276045623,-10.263196700166933,1677.8098184526311,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,0.7,Spectral deviation multiplier,1.1,2.3526473276045623,-1.2895163701836188,1677.8098184526311,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,1.0,Spectral deviation multiplier,0.9,2.4283347462171756,-19.177154566137013,1679.050520060232,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,1.0,Spectral deviation multiplier,1.0,2.4283347462171756,-10.196838406818909,1679.050520060232,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,1.0,Spectral deviation multiplier,1.1,2.4283347462171756,-1.2165222475007953,1679.050520060232,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,1.3,Spectral deviation multiplier,0.9,2.503638638058736,-19.117734730542136,1680.2849347275446,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,1.3,Spectral deviation multiplier,1.0,2.503638638058736,-10.130816367269036,1680.2849347275446,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.25,1.3,Spectral deviation multiplier,1.1,2.503638638058736,-1.1438980039959357,1680.2849347275446,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,0.7,Spectral deviation multiplier,0.9,3.2514007437950188,-18.527700134715065,1692.5425815557257,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,0.7,Spectral deviation multiplier,1.0,3.2514007437950188,-9.475222371905634,1692.5425815557257,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,0.7,Spectral deviation multiplier,1.1,3.2514007437950188,-0.4227446090961928,1692.5425815557257,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,1.0,Spectral deviation multiplier,0.9,3.3244511297607415,-18.470058466826778,1693.740055759033,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,1.0,Spectral deviation multiplier,1.0,3.3244511297607415,-9.411176074251982,1693.740055759033,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,1.0,Spectral deviation multiplier,1.1,3.3244511297607415,-0.3522936816771738,1693.740055759033,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,1.3,Spectral deviation multiplier,0.9,3.396877121699382,-18.41290948782254,1694.9272946195667,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,1.3,Spectral deviation multiplier,1.0,3.396877121699382,-9.347677208691707,1694.9272946195667,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.15,1.3,Spectral deviation multiplier,1.1,3.396877121699382,-0.28244492956086553,1694.9272946195667,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.1,0.7,Spectral deviation multiplier,0.9,3.684079643336746,-18.186287381039044,1699.6352452517099,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
