cost_multiplier,tandem_degradation,replacement_rule,context,policy,viable,si,sj,t,public_usd,new_projects,additional_discounted_mwh,additional_undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh
0.8,0.005,full,cap,None,330,0,330,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,full,cap,General20,337,0,334,3,21903673.881255936,7,84785.13088284282,148419.84884953493,79902.82589532618,4882.304987516623
0.8,0.005,full,cap,New20,337,0,334,3,21903673.881255936,7,84785.13088284282,148419.84884953493,79902.82589532618,4882.304987516623
0.8,0.005,full,cap,New30,337,0,221,116,38873545.11284429,7,237850.02209093556,433291.7254096941,79902.82589532618,157947.19619560934
0.8,0.005,full,area,None,337,0,0,337,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,full,area,General20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,full,area,New20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,full,area,New30,337,0,0,337,93197722.53865078,0,0.0,0.0,0.0,0.0
0.8,0.005,half,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,half,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.005,half,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.005,half,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.005,half,area,None,337,0,0,337,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,half,area,General20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,half,area,New20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,half,area,New30,337,0,0,337,93197722.53865078,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,area,None,337,0,0,337,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,area,General20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,area,New20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,salvage,area,New30,337,0,0,337,93197722.53865078,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,area,None,337,0,0,337,0.0,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,area,General20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,area,New20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.005,stop_option,area,New30,337,0,0,337,93197722.53865078,0,0.0,0.0,0.0,0.0
0.8,0.012,full,cap,None,330,0,330,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.012,full,cap,General20,337,0,337,0,21797160.0,7,79902.82589532617,139373.18833449323,79902.82589532618,0.0
0.8,0.012,full,cap,New20,337,0,337,0,21797160.0,7,79902.82589532617,139373.18833449323,79902.82589532618,0.0
0.8,0.012,full,cap,New30,337,0,337,0,32695739.999999996,7,79902.82589532617,139373.18833449323,79902.82589532618,0.0
0.8,0.012,full,area,None,337,0,0,337,0.0,0,0.0,0.0,0.0,0.0
0.8,0.012,full,area,General20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.012,full,area,New20,337,0,0,337,62131815.02576722,0,0.0,0.0,0.0,0.0
0.8,0.012,full,area,New30,337,0,0,337,93197722.53865078,0,0.0,0.0,0.0,0.0
0.8,0.012,half,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.012,half,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.012,half,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.012,half,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.012,half,area,None,337,0,6,331,0.0,0,0.0,0.0,0.0,0.0
0.8,0.012,half,area,General20,337,0,0,337,62131815.02576722,0,37348.89645665652,62425.69920335306,0.0,37348.89645665652
0.8,0.012,half,area,New20,337,0,0,337,62131815.02576722,0,37348.89645665652,62425.69920335306,0.0,37348.89645665652
