cost_multiplier,tandem_degradation,replacement_rule,context,policy,decision_changes,npv_loss_usd,npv_loss_pct
0.8,0.005,full,cap,None,0,0.0,0.0
0.8,0.005,full,cap,General20,3,5966.105642920127,0.0069330985195058025
0.8,0.005,full,cap,New20,3,5966.105642920127,0.0069330985195058025
0.8,0.005,full,cap,New30,84,574133.4186171032,0.5895523603181458
0.8,0.005,full,area,None,0,0.0,0.0
0.8,0.005,full,area,General20,0,0.0,0.0
0.8,0.005,full,area,New20,0,0.0,0.0
0.8,0.005,full,area,New30,0,0.0,0.0
0.8,0.005,half,cap,None,1,1227.1879807180994,0.0014702708463621916
0.8,0.005,half,cap,General20,0,0.0,0.0
0.8,0.005,half,cap,New20,0,0.0,0.0
0.8,0.005,half,cap,New30,0,0.0,0.0
0.8,0.005,half,area,None,0,0.0,0.0
0.8,0.005,half,area,General20,0,0.0,0.0
0.8,0.005,half,area,New20,0,0.0,0.0
0.8,0.005,half,area,New30,0,0.0,0.0
0.8,0.005,salvage,cap,None,0,0.0,0.0
0.8,0.005,salvage,cap,General20,0,0.0,0.0
0.8,0.005,salvage,cap,New20,0,0.0,0.0
0.8,0.005,salvage,cap,New30,0,0.0,0.0
0.8,0.005,salvage,area,None,0,0.0,0.0
0.8,0.005,salvage,area,General20,0,0.0,0.0
0.8,0.005,salvage,area,New20,0,0.0,0.0
0.8,0.005,salvage,area,New30,0,0.0,0.0
0.8,0.012,full,cap,None,0,0.0,0.0
0.8,0.012,full,cap,General20,0,0.0,0.0
0.8,0.012,full,cap,New20,0,0.0,0.0
0.8,0.012,full,cap,New30,0,0.0,0.0
0.8,0.012,full,area,None,0,0.0,0.0
0.8,0.012,full,area,General20,0,0.0,0.0
0.8,0.012,full,area,New20,0,0.0,0.0
0.8,0.012,full,area,New30,0,0.0,0.0
0.8,0.012,half,cap,None,1,1227.1879807180994,0.0014702708463621916
0.8,0.012,half,cap,General20,0,0.0,0.0
0.8,0.012,half,cap,New20,0,0.0,0.0
0.8,0.012,half,cap,New30,0,0.0,0.0
0.8,0.012,half,area,None,2,14028.541285094281,0.0036110217208864853
0.8,0.012,half,area,General20,0,0.0,0.0
0.8,0.012,half,area,New20,0,0.0,0.0
0.8,0.012,half,area,New30,0,0.0,0.0
0.8,0.012,salvage,cap,None,0,0.0,0.0
0.8,0.012,salvage,cap,General20,0,0.0,0.0
0.8,0.012,salvage,cap,New20,0,0.0,0.0
0.8,0.012,salvage,cap,New30,0,0.0,0.0
0.8,0.012,salvage,area,None,5,29236.431476376485,0.007521331669511321
0.8,0.012,salvage,area,General20,0,0.0,0.0
0.8,0.012,salvage,area,New20,0,0.0,0.0
0.8,0.012,salvage,area,New30,0,0.0,0.0
0.8,0.02,full,cap,None,0,0.0,0.0
0.8,0.02,full,cap,General20,0,0.0,0.0
0.8,0.02,full,cap,New20,0,0.0,0.0
0.8,0.02,full,cap,New30,0,0.0,0.0
0.8,0.02,full,area,None,8,53144.59344639402,0.016001044758930463
0.8,0.02,full,area,General20,0,0.0,0.0
0.8,0.02,full,area,New20,0,0.0,0.0
0.8,0.02,full,area,New30,0,0.0,0.0
0.8,0.02,half,cap,None,1,1227.1879807180994,0.0014702708463621916
0.8,0.02,half,cap,General20,0,0.0,0.0
0.8,0.02,half,cap,New20,0,0.0,0.0
0.8,0.02,half,cap,New30,0,0.0,0.0
0.8,0.02,half,area,None,20,152378.97110790177,0.04535703405183333
0.8,0.02,half,area,General20,3,16116.82071208657,0.004125805138214429
0.8,0.02,half,area,New20,3,16116.82071208657,0.004125805138214429
0.8,0.02,half,area,New30,1,6276.219988411816,0.0014945366146507752
0.8,0.02,salvage,cap,None,0,0.0,0.0
0.8,0.02,salvage,cap,General20,0,0.0,0.0
0.8,0.02,salvage,cap,New20,0,0.0,0.0
0.8,0.02,salvage,cap,New30,0,0.0,0.0
0.8,0.02,salvage,area,None,13,83505.87234001583,0.024639581917986715
0.8,0.02,salvage,area,General20,7,42365.22084229626,0.010829173089828116
0.8,0.02,salvage,area,New20,7,42365.22084229626,0.010829173089828116
0.8,0.02,salvage,area,New30,2,9375.177145891823,0.002231866713251582
1.0,0.005,full,cap,None,59,478171.8495595821,1.561870794466804
1.0,0.005,full,cap,General20,0,0.0,0.0
1.0,0.005,full,cap,New20,4,8619.736126115185,0.016741609427118553
1.0,0.005,full,cap,New30,26,61896.591696084855,0.09678550512993736
1.0,0.005,full,area,None,1,1836.4671762656071,0.0005186414167629424
1.0,0.005,full,area,General20,0,0.0,0.0
1.0,0.005,full,area,New20,0,0.0,0.0
1.0,0.005,full,area,New30,0,0.0,0.0
1.0,0.005,half,cap,None,2,6043.583752330733,0.012449968768143907
1.0,0.005,half,cap,General20,0,0.0,0.0
1.0,0.005,half,cap,New20,0,0.0,0.0
1.0,0.005,half,cap,New30,0,0.0,0.0
1.0,0.005,half,area,None,2,4165.806501323124,0.0011758251803223071
1.0,0.005,half,area,General20,0,0.0,0.0
1.0,0.005,half,area,New20,0,0.0,0.0
1.0,0.005,half,area,New30,0,0.0,0.0
1.0,0.005,salvage,cap,None,5,14863.88637020724,0.025964546961622637
1.0,0.005,salvage,cap,General20,0,0.0,0.0
1.0,0.005,salvage,cap,New20,0,0.0,0.0
1.0,0.005,salvage,cap,New30,0,0.0,0.0
1.0,0.005,salvage,area,None,5,30945.334206320404,0.008723712788533285
1.0,0.005,salvage,area,General20,0,0.0,0.0
1.0,0.005,salvage,area,New20,0,0.0,0.0
1.0,0.005,salvage,area,New30,0,0.0,0.0
1.0,0.012,full,cap,None,59,478171.8495595821,1.561870794466804
1.0,0.012,full,cap,General20,0,0.0,0.0
1.0,0.012,full,cap,New20,4,8619.736126115185,0.016741609427118553
1.0,0.012,full,cap,New30,0,0.0,0.0
1.0,0.012,full,area,None,14,42731.727511512116,0.013837211533698485
1.0,0.012,full,area,General20,10,25411.02256618149,0.006783160698708057
1.0,0.012,full,area,New20,0,0.0,0.0
1.0,0.012,full,area,New30,0,0.0,0.0
1.0,0.012,half,cap,None,2,6043.583752330733,0.012449968768143907
1.0,0.012,half,cap,General20,0,0.0,0.0
1.0,0.012,half,cap,New20,0,0.0,0.0
1.0,0.012,half,cap,New30,0,0.0,0.0
1.0,0.012,half,area,None,17,59829.18533211737,0.01936042449826285
1.0,0.012,half,area,General20,10,25411.02256618149,0.006783160698708057
1.0,0.012,half,area,New20,1,6198.564430760744,0.0016621886713986543
1.0,0.012,half,area,New30,1,4391.742738001922,0.0010720407908318811
1.0,0.012,salvage,cap,None,5,14863.88637020724,0.025964546961622637
1.0,0.012,salvage,cap,General20,0,0.0,0.0
1.0,0.012,salvage,cap,New20,0,0.0,0.0
1.0,0.012,salvage,cap,New30,0,0.0,0.0
1.0,0.012,salvage,area,None,26,138984.71251596586,0.04484298410731449
1.0,0.012,salvage,area,General20,13,52273.540859061875,0.013952205341882976
1.0,0.012,salvage,area,New20,7,51696.16542021587,0.013847238411799145
1.0,0.012,salvage,area,New30,1,12203.16237083159,0.002978168492268724
1.0,0.02,full,cap,None,59,478171.8495595821,1.561870794466804
1.0,0.02,full,cap,General20,0,0.0,0.0
1.0,0.02,full,cap,New20,4,8619.736126115185,0.016741609427118553
1.0,0.02,full,cap,New30,0,0.0,0.0
1.0,0.02,full,area,None,0,0.0,0.0
1.0,0.02,full,area,General20,0,0.0,0.0
1.0,0.02,full,area,New20,22,119110.4812921054,0.03765504334763755
1.0,0.02,full,area,New30,2,16185.142427894898,0.004590645385558128
1.0,0.02,half,cap,None,2,6043.583752330733,0.012449968768143907
1.0,0.02,half,cap,General20,0,0.0,0.0
1.0,0.02,half,cap,New20,0,0.0,0.0
1.0,0.02,half,cap,New30,0,0.0,0.0
1.0,0.02,half,area,None,3,17097.457820605254,0.0055964074239639875
1.0,0.02,half,area,General20,0,0.0,0.0
