elapsed_days,ambient_temperature_c,tandem_cell_temperature_c,irradiance_suns,jsc_a,voc_v,fill_factor,power_density_w_m2,pce_pct,day_cluster,model_lumped_power_w,model_matched_power_w,measured_relative_efficiency,model_relative_efficiency,sensitivity_relative_efficiency
0.0,32.9,47.5,0.91781,0.02225,1.65698,0.66677,21.05144,22.9367,0,5.915004387548125,5.863022903759639,0.9547995152883562,1.00871908624926,1.0100279011421651
0.0,32.5,46.9,0.90841,0.02194,1.66004,0.66771,20.82689,22.92688,0,5.867696378363495,5.817457675111991,0.9543907323666574,1.0112365508522447,1.0119025651268414
0.00694,32.8,46.4,0.88433,0.02127,1.65866,0.67721,20.46478,23.14154,0,5.726066641780895,5.678059418820466,0.9633265105715342,1.0138810536362524,1.0128603204402242
0.01389,32.2,46.4,0.87179,0.02097,1.65844,0.67662,20.15401,23.11783,0,5.647223022965808,5.599830509269842,0.9623395204418518,1.0142953444242035,1.012377370318791
0.02083,32.6,46.4,0.82806,0.02001,1.65435,0.66968,18.9909,22.93413,0,5.371418093268853,5.326187343143426,0.9546925323852232,1.0156780449404288,1.0105280119792819
0.02778,33.3,46.5,0.78832,0.01895,1.64999,0.6719,17.99052,22.82138,0,5.117989470300491,5.074559819710266,0.9499990217516638,1.0164763166776045,1.008243154475522
0.03472,32.6,45.8,0.76496,0.01847,1.65116,0.6685,17.46399,22.83002,0,4.980751567998189,4.939777612098386,0.9503586841186169,1.0196945637010546,1.0095507713539844
0.04167,32.8,44.2,0.72949,0.01791,1.65119,0.66661,16.88398,23.14501,0,4.778623179976643,4.742219522217162,0.9634709583045581,1.0265113223598417,1.0133125073460347
0.04861,32.9,43.7,0.70185,0.01734,1.65075,0.66829,16.38835,23.35015,0,4.607946110045831,4.573680866020252,0.9720104418643664,1.0290180350383038,1.0133572834143674
0.0625,32.9,44.0,0.64601,0.0162,1.64487,0.66246,15.11877,23.40327,0,4.242120944312964,4.209936512805538,0.9742216993797072,1.029052989392235,1.008196142669335
0.06944,32.9,44.0,0.62194,0.0154,1.64013,0.65909,14.26062,22.92936,0,4.085744020267007,4.054690078402853,0.9544939687868013,1.029462681496312,1.00622585921116
0.07639,32.6,42.8,0.58048,0.01427,1.63595,0.65553,13.1048,22.57565,0,3.8303047505313095,3.802937943690321,0.9397698743637742,1.0345069446047592,1.0068405090504182
