amplitude,tech,basis,mean_gain_low_pct,mean_gain_high_pct,guaranteed_positive_cities,possible_positive_cities
0.01,sj,capacity,1.3159354243442278,5.450857796524411,259,337
0.01,sj,aperture,-11.172124945507777,-7.54686731651103,0,0
0.01,t,capacity,-2.722316203557873,1.2477963888895216,0,337
0.01,t,aperture,25.18700551971007,30.296157872315344,337,337
0.02,sj,capacity,-0.6907180798020218,7.581608610760093,123,337
0.02,sj,aperture,-12.931441147814994,-5.678749864834143,0,0
0.02,t,capacity,-4.648988491069106,3.2936197145894575,0,337
0.02,t,aperture,22.70756393682809,32.928935360137416,337,337
0.05,sj,capacity,-6.481346763195495,14.243008524739054,0,337
0.05,sj,aperture,-18.008325045901596,0.16157522093465104,0,200
0.05,t,capacity,-10.208814235030095,9.689509480198733,0,337
0.05,t,aperture,15.552603940511611,41.159829190486484,337,337
0.1,sj,capacity,-15.430500182985396,26.332215776034175,0,337
0.1,sj,aperture,-25.854418342944506,10.760683709922446,0,337
0.1,t,capacity,-18.801272202969777,21.296864980748854,0,337
0.1,t,aperture,4.494938491658806,56.09737725297184,337,337
