adcode,city,province,ghi_kwh_m2,ghi_quartile,plot_order
520300,遵义,贵州,1082.059980658043,Q1,1
511500,宜宾,四川,1109.3088091483291,Q1,2
511100,乐山,四川,1123.507369932016,Q1,3
510500,泸州,四川,1131.7156001639194,Q1,4
511600,广安,四川,1151.41864476644,Q1,5
520600,铜仁,贵州,1173.042495253287,Q1,6
520100,贵阳,贵州,1178.1285375431166,Q1,7
500000,重庆,重庆,1188.3982845505996,Q1,8
422800,恩施,湖北,1203.3134135448677,Q1,9
520400,安顺,贵州,1204.514402605409,Q1,10
520500,毕节,贵州,1212.7815571169283,Q1,11
511900,巴中,四川,1213.6092297016835,Q1,12
511700,达州,四川,1222.3085861909058,Q1,13
511400,眉山,四川,1223.958649374658,Q1,14
433100,湘西,湖南,1228.5639471105442,Q1,15
522600,黔东南,贵州,1232.7550998904608,Q1,16
430800,张家界,湖南,1233.9775891817258,Q1,17
510300,自贡,四川,1234.6706274231683,Q1,18
510600,德阳,四川,1238.481182138925,Q1,19
510800,广元,四川,1238.8367300385114,Q1,20
530600,昭通,云南,1239.6202215619742,Q1,21
511300,南充,四川,1241.068464017794,Q1,22
522700,黔南,贵州,1241.693833176592,Q1,23
510100,成都,四川,1254.1261648472948,Q1,24
431200,怀化,湖南,1258.5394244156105,Q1,25
512000,资阳,四川,1260.1449123932043,Q1,26
510900,遂宁,四川,1261.2782882234158,Q1,27
520200,六盘水,贵州,1265.798544550987,Q1,28
511000,内江,四川,1271.753904632168,Q1,29
232700,大兴安岭,黑龙江,1275.2705511969114,Q1,30
510700,绵阳,四川,1276.9171116794369,Q1,31
451200,河池,广西,1289.9549894064637,Q1,32
450300,桂林,广西,1294.0025213020797,Q1,33
511800,雅安,四川,1296.2968377132863,Q1,34
450200,柳州,广西,1303.9186434390745,Q1,35
431300,娄底,湖南,1306.0917566709618,Q1,36
522300,黔西南,贵州,1309.1692997611783,Q1,37
431000,郴州,湖南,1312.4716748616424,Q1,38
430500,邵阳,湖南,1318.0042874717935,Q1,39
430900,益阳,湖南,1322.902422985212,Q1,40
430700,常德,湖南,1326.4911930249662,Q1,41
610700,汉中,陕西,1331.4060917537784,Q1,42
431100,永州,湖南,1334.3002836741784,Q1,43
610900,安康,陕西,1343.6213584270822,Q1,44
330600,绍兴,浙江,1345.0819342862758,Q1,45
420300,十堰,湖北,1349.683970196473,Q1,46
231100,黑河,黑龙江,1353.5501769643597,Q1,47
330100,杭州,浙江,1354.0543724159952,Q1,48
451100,贺州,广西,1355.5191849445516,Q1,49
361000,抚州,江西,1357.4425727481578,Q1,50
331000,台州,浙江,1360.6121700354602,Q1,51
230500,双鸭山,黑龙江,1361.2721600448967,Q1,52
420500,宜昌,湖北,1361.6892865504462,Q1,53
451400,崇左,广西,1365.5209433604532,Q1,54
430400,衡阳,湖南,1365.8733447923073,Q1,55
430300,湘潭,湖南,1367.9509904795786,Q1,56
621200,陇南,甘肃,1368.583828895678,Q1,57
430100,长沙,湖南,1369.1281483797095,Q1,58
230700,伊春,黑龙江,1369.7830454466523,Q1,59
440200,韶关,广东,1370.108572205095,Q1,60
430200,株洲,湖南,1370.661229366538,Q1,61
230800,佳木斯,黑龙江,1374.0752652219462,Q1,62
451000,百色,广西,1376.9056799624652,Q1,63
330800,衢州,浙江,1377.6247836047469,Q1,64
430600,岳阳,湖南,1378.1098060854383,Q1,65
230400,鹤岗,黑龙江,1378.9184026612477,Q1,66
360500,新余,江西,1379.3376582877834,Q1,67
150700,呼伦贝尔,内蒙古,1380.5424359033027,Q1,68
360600,鹰潭,江西,1381.3044846903158,Q1,69
451300,来宾,广西,1382.136150366715,Q1,70
450800,贵港,广西,1383.2724532963578,Q1,71
331100,丽水,浙江,1383.562460664181,Q1,72
360800,吉安,江西,1383.593742855386,Q1,73
350900,宁德,福建,1385.176196258874,Q1,74
450100,南宁,广西,1387.4070789624882,Q1,75
441800,清远,广东,1389.5899325116422,Q1,76
341000,黄山,安徽,1392.2004096820342,Q1,77
230900,七台河,黑龙江,1392.5584277760777,Q1,78
230100,哈尔滨,黑龙江,1393.3259273111717,Q1,79
360900,宜春,江西,1394.805586738404,Q1,80
231000,牡丹江,黑龙江,1395.5513625454396,Q1,81
231200,绥化,黑龙江,1396.4516158557874,Q1,82
330200,宁波,浙江,1399.2802530383708,Q1,83
360300,萍乡,江西,1402.2042322087443,Q1,84
330700,金华,浙江,1403.19132835223,Q1,85
350400,三明,福建,1404.5233921732474,Q2,86
420700,鄂州,湖北,1405.638311472904,Q2,87
420200,黄石,湖北,1406.092703699968,Q2,88
230200,齐齐哈尔,黑龙江,1410.7139207534472,Q2,89
441200,肇庆,广东,1411.1108215364234,Q2,90
350100,福州,福建,1411.580313500721,Q2,91
230300,鸡西,黑龙江,1415.1652402696564,Q2,92
350700,南平,福建,1417.0233320734317,Q2,93
361100,上饶,江西,1418.3468298617115,Q2,94
222400,延边,吉林,1419.390939573914,Q2,95
330300,温州,浙江,1420.9125476163144,Q2,96
421000,荆州,湖北,1425.2500029320615,Q2,97
360200,景德镇,江西,1425.9267544053675,Q2,98
360700,赣州,江西,1427.0648699018498,Q2,99
341500,六安,安徽,1432.254574960332,Q2,100
450400,梧州,广西,1435.1321359193269,Q2,101
220200,吉林,吉林,1436.1734975523366,Q2,102
421200,咸宁,湖北,1438.375772135401,Q2,103
341800,宣城,安徽,1439.7044841162424,Q2,104
440600,佛山,广东,1441.363001435404,Q2,105
