context,strategy,share,adcode,city,province,before_choice,after_choice,before_npv_usd,after_npv_usd,support_usd,admin_usd,private_gain_usd,before_discounted_mwh,after_discounted_mwh,additional_discounted_mwh,new_viable,switch,support_si_usd,support_sj_usd,support_t_usd
cap,General,0.0,110000,北京,北京,0,0,186959.8729208932,186959.8729208932,0.0,0.0,0.0,21595.505941919713,21595.505941919713,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,120000,天津,天津,0,0,185219.0154967135,185219.0154967135,0.0,0.0,0.0,21551.98450631522,21551.98450631522,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130100,石家庄,河北,0,0,147091.99720783535,147091.99720783535,0.0,0.0,0.0,20598.809049093266,20598.809049093266,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130200,唐山,河北,0,0,156663.74109063667,156663.74109063667,0.0,0.0,0.0,20838.1026461633,20838.1026461633,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130300,秦皇岛,河北,0,0,173753.6849441625,173753.6849441625,0.0,0.0,0.0,21265.351242501445,21265.351242501445,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130400,邯郸,河北,1,1,122316.60173925354,122316.60173925354,0.0,0.0,0.0,18089.287633639262,18089.287633639262,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130500,邢台,河北,1,1,131074.05879818895,131074.05879818895,0.0,0.0,0.0,18308.224060112647,18308.224060112647,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130600,保定,河北,0,0,156427.7186415402,156427.7186415402,0.0,0.0,0.0,20832.20208493589,20832.20208493589,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130700,张家口,河北,0,0,186423.4937789596,186423.4937789596,0.0,0.0,0.0,21582.096463371374,21582.096463371374,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130800,承德,河北,0,0,168434.51391941265,168434.51391941265,0.0,0.0,0.0,21132.3719668827,21132.3719668827,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,130900,沧州,河北,0,0,163883.54445451306,163883.54445451306,0.0,0.0,0.0,21018.59773026021,21018.59773026021,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,131000,廊坊,河北,0,0,163247.3569975365,163247.3569975365,0.0,0.0,0.0,21002.693043835796,21002.693043835796,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,131100,衡水,河北,0,0,148724.96364214306,148724.96364214306,0.0,0.0,0.0,20639.63320995096,20639.63320995096,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140100,太原,山西,0,0,163935.81679855345,163935.81679855345,0.0,0.0,0.0,21019.90453886122,21019.90453886122,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140200,大同,山西,0,0,210080.11104504773,210080.11104504773,0.0,0.0,0.0,22173.511895023577,22173.511895023577,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140300,阳泉,山西,0,0,151275.76609506208,151275.76609506208,0.0,0.0,0.0,20703.403271273935,20703.403271273935,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140400,长治,山西,0,0,149926.98866582022,149926.98866582022,0.0,0.0,0.0,20669.683835542888,20669.683835542888,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140500,晋城,山西,1,1,127762.42538246071,127762.42538246071,0.0,0.0,0.0,18225.43322471944,18225.43322471944,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140600,朔州,山西,0,0,219823.00685368956,219823.00685368956,0.0,0.0,0.0,22417.08429023962,22417.08429023962,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140700,晋中,山西,0,0,156021.30507416348,156021.30507416348,0.0,0.0,0.0,20822.04174575147,20822.04174575147,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140800,运城,山西,1,1,138262.00363870818,138262.00363870818,0.0,0.0,0.0,18487.922681125627,18487.922681125627,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,140900,忻州,山西,0,0,192590.82693560323,192590.82693560323,0.0,0.0,0.0,21736.279792287467,21736.279792287467,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,141000,临汾,山西,1,1,141948.46750333658,141948.46750333658,0.0,0.0,0.0,18580.084277741338,18580.084277741338,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,141100,吕梁,山西,0,0,178507.18546650637,178507.18546650637,0.0,0.0,0.0,21384.188755560044,21384.188755560044,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150100,呼和浩特,内蒙古,0,0,199698.80315723526,199698.80315723526,0.0,0.0,0.0,21913.979197828266,21913.979197828266,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150200,包头,内蒙古,0,0,213215.56102955923,213215.56102955923,0.0,0.0,0.0,22251.898144636365,22251.898144636365,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150300,乌海,内蒙古,0,0,224952.16733686448,224952.16733686448,0.0,0.0,0.0,22545.313302318995,22545.313302318995,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150400,赤峰,内蒙古,0,0,188096.88519442896,188096.88519442896,0.0,0.0,0.0,21623.93124875811,21623.93124875811,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150500,通辽,内蒙古,0,0,188029.66141957347,188029.66141957347,0.0,0.0,0.0,21622.25065438672,21622.25065438672,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150600,鄂尔多斯,内蒙古,0,0,207234.40212713217,207234.40212713217,0.0,0.0,0.0,22102.369172075683,22102.369172075683,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150700,呼伦贝尔,内蒙古,0,0,121993.55462891173,121993.55462891173,0.0,0.0,0.0,19971.347984620177,19971.347984620177,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150800,巴彦淖尔,内蒙古,0,0,243879.9857095961,243879.9857095961,0.0,0.0,0.0,23018.508761637288,23018.508761637288,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,150900,乌兰察布,内蒙古,0,0,212114.22204693907,212114.22204693907,0.0,0.0,0.0,22224.36467007086,22224.36467007086,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,152200,兴安,内蒙古,0,0,176685.18192627313,176685.18192627313,0.0,0.0,0.0,21338.638667054212,21338.638667054212,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,152500,锡林郭勒,内蒙古,0,0,206059.36490154715,206059.36490154715,0.0,0.0,0.0,22072.993241436063,22072.993241436063,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,152900,阿拉善,内蒙古,0,0,260741.1595781799,260741.1595781799,0.0,0.0,0.0,23440.03810835188,23440.03810835188,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210100,沈阳,辽宁,0,0,166448.8974545487,166448.8974545487,0.0,0.0,0.0,21082.731555261103,21082.731555261103,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210200,大连,辽宁,0,0,174656.3023425075,174656.3023425075,0.0,0.0,0.0,21287.91667746007,21287.91667746007,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210300,鞍山,辽宁,0,0,154490.45640303017,154490.45640303017,0.0,0.0,0.0,20783.77052897314,20783.77052897314,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210400,抚顺,辽宁,0,0,125540.34359035642,125540.34359035642,0.0,0.0,0.0,20060.017708656294,20060.017708656294,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210500,本溪,辽宁,0,0,124231.744066818,124231.744066818,0.0,0.0,0.0,20027.302720567834,20027.302720567834,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210600,丹东,辽宁,0,0,125269.94020885536,125269.94020885536,0.0,0.0,0.0,20053.257624118767,20053.257624118767,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210700,锦州,辽宁,0,0,177877.6708096499,177877.6708096499,0.0,0.0,0.0,21368.450889138632,21368.450889138632,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210800,营口,辽宁,0,0,174018.3355995648,174018.3355995648,0.0,0.0,0.0,21271.967508886504,21271.967508886504,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,210900,阜新,辽宁,0,0,182389.12238016326,182389.12238016326,0.0,0.0,0.0,21481.237178401465,21481.237178401465,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,211000,辽阳,辽宁,0,0,155921.91099894172,155921.91099894172,0.0,0.0,0.0,20819.556893870926,20819.556893870926,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,211100,盘锦,辽宁,0,0,178298.6376450964,178298.6376450964,0.0,0.0,0.0,21378.975060024793,21378.975060024793,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,211200,铁岭,辽宁,0,0,147091.39635788745,147091.39635788745,0.0,0.0,0.0,20598.79402784457,20598.79402784457,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,211300,朝阳,辽宁,0,0,199833.93896573683,199833.93896573683,0.0,0.0,0.0,21917.357593040804,21917.357593040804,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,211400,葫芦岛,辽宁,0,0,194824.53599789971,194824.53599789971,0.0,0.0,0.0,21792.122518844877,21792.122518844877,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220100,长春,吉林,0,0,167975.0753458361,167975.0753458361,0.0,0.0,0.0,21120.886002543288,21120.886002543288,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220200,吉林,吉林,0,0,133984.00245405547,133984.00245405547,0.0,0.0,0.0,20271.10918024877,20271.10918024877,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220300,四平,吉林,0,0,162173.06444506766,162173.06444506766,0.0,0.0,0.0,20975.835730024075,20975.835730024075,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220400,辽源,吉林,0,0,137507.59851820304,137507.59851820304,0.0,0.0,0.0,20359.19908185246,20359.19908185246,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220500,通化,吉林,0,0,119404.71054914952,119404.71054914952,0.0,0.0,0.0,19906.626882626122,19906.626882626122,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220600,白山,吉林,0,0,135398.91668601855,135398.91668601855,0.0,0.0,0.0,20306.482036047844,20306.482036047844,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220700,松原,吉林,0,0,190205.83906342063,190205.83906342063,0.0,0.0,0.0,21676.6550954829,21676.6550954829,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,220800,白城,吉林,0,0,220012.89909761318,220012.89909761318,0.0,0.0,0.0,22421.831596337714,22421.831596337714,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,222400,延边,吉林,0,0,129920.65785666557,129920.65785666557,0.0,0.0,0.0,20169.525565314023,20169.525565314023,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230100,哈尔滨,黑龙江,0,0,126537.04950956182,126537.04950956182,0.0,0.0,0.0,20084.93535663643,20084.93535663643,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230200,齐齐哈尔,黑龙江,0,0,162553.45064090955,162553.45064090955,0.0,0.0,0.0,20985.34538492012,20985.34538492012,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230300,鸡西,黑龙江,0,0,139157.79957913116,139157.79957913116,0.0,0.0,0.0,20400.454108375663,20400.454108375663,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230400,鹤岗,黑龙江,0,0,133999.40224947032,133999.40224947032,0.0,0.0,0.0,20271.494175134143,20271.494175134143,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230500,双鸭山,黑龙江,0,0,117805.43987593171,117805.43987593171,0.0,0.0,0.0,19866.645115795676,19866.645115795676,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230600,大庆,黑龙江,0,0,170040.29213846376,170040.29213846376,0.0,0.0,0.0,21172.516422358978,21172.516422358978,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230700,伊春,黑龙江,0,0,126407.79775609463,126407.79775609463,0.0,0.0,0.0,20081.70406279975,20081.70406279975,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230800,佳木斯,黑龙江,0,0,131202.23685793587,131202.23685793587,0.0,0.0,0.0,20201.56504034578,20201.56504034578,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,230900,七台河,黑龙江,0,0,135625.01342877647,135625.01342877647,0.0,0.0,0.0,20312.134454616797,20312.134454616797,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,231000,牡丹江,黑龙江,0,0,115099.4078204584,115099.4078204584,0.0,0.0,0.0,19798.994314408843,19798.994314408843,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,231100,黑河,黑龙江,0,0,128154.49730492491,128154.49730492491,0.0,0.0,0.0,20125.371551520508,20125.371551520508,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,231200,绥化,黑龙江,0,0,139532.48993842804,139532.48993842804,0.0,0.0,0.0,20409.821367358087,20409.821367358087,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,232700,大兴安岭,黑龙江,0,0,109229.76885622427,109229.76885622427,0.0,0.0,0.0,19652.253340302992,19652.253340302992,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,310000,上海,上海,1,1,63865.18875209686,63865.18875209686,0.0,0.0,0.0,16628.002308960346,16628.002308960346,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320100,南京,江苏,1,1,61151.95882321518,61151.95882321518,0.0,0.0,0.0,16560.1715607383,16560.1715607383,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320200,无锡,江苏,1,1,72853.25369075917,72853.25369075917,0.0,0.0,0.0,16852.703932426903,16852.703932426903,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320300,徐州,江苏,1,1,101570.65765748177,101570.65765748177,0.0,0.0,0.0,17570.63903159497,17570.63903159497,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320400,常州,江苏,1,1,62310.96403739298,62310.96403739298,0.0,0.0,0.0,16589.14669109275,16589.14669109275,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320500,苏州,江苏,1,1,53031.39624237417,53031.39624237417,0.0,0.0,0.0,16357.157496217278,16357.157496217278,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320600,南通,江苏,1,1,72326.91868686823,72326.91868686823,0.0,0.0,0.0,16839.545557329628,16839.545557329628,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320700,连云港,江苏,1,1,91105.68053291661,91105.68053291661,0.0,0.0,0.0,17309.01460348084,17309.01460348084,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320800,淮安,江苏,1,1,94224.13325843001,94224.13325843001,0.0,0.0,0.0,17386.975921618672,17386.975921618672,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,320900,盐城,江苏,1,1,98230.18094546888,98230.18094546888,0.0,0.0,0.0,17487.127113794646,17487.127113794646,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,321000,扬州,江苏,1,1,84383.43882847483,84383.43882847483,0.0,0.0,0.0,17140.958560869793,17140.958560869793,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,321100,镇江,江苏,1,1,70888.77725308372,70888.77725308372,0.0,0.0,0.0,16803.592021485016,16803.592021485016,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,321200,泰州,江苏,1,1,79201.5425429555,79201.5425429555,0.0,0.0,0.0,17011.41115373181,17011.41115373181,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,321300,宿迁,江苏,1,1,92671.4893321423,92671.4893321423,0.0,0.0,0.0,17348.15982346148,17348.15982346148,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330100,杭州,浙江,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330200,宁波,浙江,1,1,5121.882887471543,5121.882887471543,0.0,0.0,0.0,15159.419662344711,15159.419662344711,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330300,温州,浙江,1,1,9414.000999884138,9414.000999884138,0.0,0.0,0.0,15266.722615155026,15266.722615155026,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330400,嘉兴,浙江,1,1,60538.69176129592,60538.69176129592,0.0,0.0,0.0,16544.83988419032,16544.83988419032,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330500,湖州,浙江,1,1,35479.151928293846,35479.151928293846,0.0,0.0,0.0,15918.35138836527,15918.35138836527,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330600,绍兴,浙江,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330700,金华,浙江,1,1,3504.8200810964545,3504.8200810964545,0.0,0.0,0.0,15118.993092185334,15118.993092185334,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330800,衢州,浙江,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,330900,舟山,浙江,1,1,26893.17240023479,26893.17240023479,0.0,0.0,0.0,15703.701900163793,15703.701900163793,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,331000,台州,浙江,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,331100,丽水,浙江,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340100,合肥,安徽,1,1,52736.45105995581,52736.45105995581,0.0,0.0,0.0,16349.783866656817,16349.783866656817,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340200,芜湖,安徽,1,1,51000.451088093316,51000.451088093316,0.0,0.0,0.0,16306.383867360255,16306.383867360255,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340300,蚌埠,安徽,1,1,56851.143329007304,56851.143329007304,0.0,0.0,0.0,16452.651173383107,16452.651173383107,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340400,淮南,安徽,1,1,69546.43186046177,69546.43186046177,0.0,0.0,0.0,16770.033386669467,16770.033386669467,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340500,马鞍山,安徽,1,1,50989.40579314967,50989.40579314967,0.0,0.0,0.0,16306.107734986665,16306.107734986665,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340600,淮北,安徽,1,1,96089.41061815029,96089.41061815029,0.0,0.0,0.0,17433.60785561168,17433.60785561168,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340700,铜陵,安徽,1,1,50968.26818934983,50968.26818934983,0.0,0.0,0.0,16305.57929489167,16305.57929489167,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,340800,安庆,安徽,1,1,37315.85328783126,37315.85328783126,0.0,0.0,0.0,15964.268922353704,15964.268922353704,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341000,黄山,安徽,1,1,3411.5600317737744,3411.5600317737744,0.0,0.0,0.0,15116.661590952268,15116.661590952268,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341100,滁州,安徽,1,1,63566.838833908834,63566.838833908834,0.0,0.0,0.0,16620.543561005645,16620.543561005645,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341200,阜阳,安徽,1,1,78013.982047416,78013.982047416,0.0,0.0,0.0,16981.72214134332,16981.72214134332,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341300,宿州,安徽,1,1,94754.10960967622,94754.10960967622,0.0,0.0,0.0,17400.22533039983,17400.22533039983,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341500,六安,安徽,1,1,32793.3255541916,32793.3255541916,0.0,0.0,0.0,15851.205729012714,15851.205729012714,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341600,亳州,安徽,1,1,95714.98896815296,95714.98896815296,0.0,0.0,0.0,17424.247314361746,17424.247314361746,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341700,池州,安徽,1,1,39402.368917389365,39402.368917389365,0.0,0.0,0.0,16016.431813092657,16016.431813092657,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,341800,宣城,安徽,1,1,35451.53629738206,35451.53629738206,0.0,0.0,0.0,15917.660997592475,15917.660997592475,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350100,福州,福建,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350200,厦门,福建,1,1,81102.61691986932,81102.61691986932,0.0,0.0,0.0,17058.938013154657,17058.938013154657,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350300,莆田,福建,1,1,17724.909315161425,17724.909315161425,0.0,0.0,0.0,15474.495323036957,15474.495323036957,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350400,三明,福建,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350500,泉州,福建,1,1,31650.522894623806,31650.522894623806,0.0,0.0,0.0,15822.635662523517,15822.635662523517,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350600,漳州,福建,1,1,52324.57048997969,52324.57048997969,0.0,0.0,0.0,16339.486852407415,16339.486852407415,0.0,0,0,0.0,0.0,0.0
cap,General,0.0,350700,南平,福建,1,1,4645.287992238423,4645.287992238423,0.0,0.0,0.0,15147.504789963883,15147.504789963883,0.0,0,0,0.0,0.0,0.0
