case,context,strategy,share,admin_fraction,before_viable,after_viable,after_si,after_sj,after_t,direct_support_usd,total_public_usd,private_gain_usd,additional_discounted_mwh
Central,cap,General,0.1,0.0,258,294,212,82,0,15002246.103513775,15002246.103513775,13590172.695179444,674049.7290951391
Central,cap,General,0.1,0.05,258,294,212,82,0,15002246.103513775,15752358.408689465,13590172.695179444,674049.7290951391
Central,cap,General,0.1,0.1,258,294,212,82,0,15002246.103513775,16502470.713865153,13590172.695179444,674049.7290951391
Central,cap,New technology,0.1,0.0,258,294,0,294,0,11319000.0,11319000.0,9242228.968988221,256723.3444354371
Central,cap,New technology,0.1,0.05,258,294,0,294,0,11319000.0,11884950.0,9242228.968988221,256723.3444354371
Central,cap,New technology,0.1,0.1,258,294,0,294,0,11319000.0,12450900.000000002,9242228.968988221,256723.3444354371
Central,cap,Matched gap,0.1,0.0,258,294,212,82,0,1412197.4083343279,1412197.4083343279,124.00000000000091,674049.7290951391
Central,cap,Matched gap,0.1,0.05,258,294,212,82,0,1412197.4083343279,1482807.2787510443,124.00000000000091,674049.7290951391
Central,cap,Matched gap,0.1,0.1,258,294,212,82,0,1412197.4083343279,1553417.1491677607,124.00000000000091,674049.7290951391
Central,cap,General,0.2,0.0,258,313,313,0,0,34977000.28679067,34977000.28679067,29925854.220964156,1059572.7812735206
Central,cap,General,0.2,0.05,258,313,313,0,0,34977000.28679067,36725850.301130205,29925854.220964156,1059572.7812735206
Central,cap,General,0.2,0.1,258,313,313,0,0,34977000.28679067,38474700.31546974,29925854.220964156,1059572.7812735206
Central,cap,New technology,0.2,0.0,258,311,0,311,0,23947000.0,23947000.0,20871575.615580227,487290.344632922
Central,cap,New technology,0.2,0.05,258,311,0,311,0,23947000.0,25144350.0,20871575.615580227,487290.344632922
Central,cap,New technology,0.2,0.1,258,311,0,311,0,23947000.0,26341700.000000004,20871575.615580227,487290.344632922
Central,cap,Matched gap,0.2,0.0,258,313,313,0,0,5051336.065826515,5051336.065826515,190.00000000000182,1059572.7812735206
Central,cap,Matched gap,0.2,0.05,258,313,313,0,0,5051336.065826515,5303902.869117841,190.00000000000182,1059572.7812735206
Central,cap,Matched gap,0.2,0.1,258,313,313,0,0,5051336.065826515,5556469.672409167,190.00000000000182,1059572.7812735206
Central,cap,General,0.3,0.0,258,333,333,0,0,55817928.57268989,55817928.57268989,48143616.906057514,1332423.8236313215
Central,cap,General,0.3,0.05,258,333,333,0,0,55817928.57268989,58608825.001324385,48143616.906057514,1332423.8236313215
Central,cap,General,0.3,0.1,258,333,333,0,0,55817928.57268989,61399721.42995889,48143616.906057514,1332423.8236313215
Central,cap,New technology,0.3,0.0,258,330,0,330,0,38115000.0,38115000.0,33275112.767909054,728774.852654143
Central,cap,New technology,0.3,0.05,258,330,0,330,0,38115000.0,40020750.0,33275112.767909054,728774.852654143
Central,cap,New technology,0.3,0.1,258,330,0,330,0,38115000.0,41926500.0,33275112.767909054,728774.852654143
Central,cap,Matched gap,0.3,0.0,258,333,333,0,0,7674521.666632379,7674521.666632379,210.00000000000182,1332423.8236313215
Central,cap,Matched gap,0.3,0.05,258,333,333,0,0,7674521.666632379,8058247.749963999,210.00000000000182,1332423.8236313215
Central,cap,Matched gap,0.3,0.1,258,333,333,0,0,7674521.666632379,8441973.833295617,210.00000000000182,1332423.8236313215
Central,area,General,0.1,0.0,337,337,133,0,204,33014133.054453075,33014133.054453075,31913294.218655378,307086.92831426975
Central,area,General,0.1,0.05,337,337,133,0,204,33014133.054453075,34664839.70717573,31913294.218655378,307086.92831426975
Central,area,General,0.1,0.1,337,337,133,0,204,33014133.054453075,36315546.35989839,31913294.218655378,307086.92831426975
Central,area,New technology,0.1,0.0,337,337,8,2,327,35982336.42280606,35982336.42280606,27045061.080780827,759613.3899030751
Central,area,New technology,0.1,0.05,337,337,8,2,327,35982336.42280606,37781453.243946366,27045061.080780827,759613.3899030751
Central,area,New technology,0.1,0.1,337,337,8,2,327,35982336.42280606,39580570.06508667,27045061.080780827,759613.3899030751
Central,area,Matched gap,0.1,0.0,337,337,133,0,204,1100909.8357976978,1100909.8357976978,71.0,307086.92831426975
Central,area,Matched gap,0.1,0.05,337,337,133,0,204,1100909.8357976978,1155955.3275875826,71.0,307086.92831426975
Central,area,Matched gap,0.1,0.1,337,337,133,0,204,1100909.8357976978,1211000.8193774677,71.0,307086.92831426975
Central,area,General,0.2,0.0,337,337,70,0,267,69788456.80117272,69788456.80117272,65801726.51809957,555708.877716139
Central,area,General,0.2,0.05,337,337,70,0,267,69788456.80117272,73277879.64123136,65801726.51809957,555708.877716139
Central,area,General,0.2,0.1,337,337,70,0,267,69788456.80117272,76767302.48129,65801726.51809957,555708.877716139
Central,area,New technology,0.2,0.0,337,337,0,0,337,73966446.45924668,73966446.45924668,63856814.38372435,795501.041413649
Central,area,New technology,0.2,0.05,337,337,0,0,337,73966446.45924668,77664768.78220902,63856814.38372435,795501.041413649
Central,area,New technology,0.2,0.1,337,337,0,0,337,73966446.45924668,81363091.10517135,63856814.38372435,795501.041413649
Central,area,Matched gap,0.2,0.0,337,337,70,0,267,3986864.2830731506,3986864.2830731506,134.0,555708.877716139
Central,area,Matched gap,0.2,0.05,337,337,70,0,267,3986864.2830731506,4186207.497226808,134.0,555708.877716139
Central,area,Matched gap,0.2,0.1,337,337,70,0,267,3986864.2830731506,4385550.711380466,134.0,555708.877716139
Central,area,General,0.3,0.0,337,337,32,0,305,108084762.49476215,108084762.49476215,101414505.86664648,693885.949430518
Central,area,General,0.3,0.05,337,337,32,0,305,108084762.49476215,113489000.61950026,101414505.86664648,693885.949430518
Central,area,General,0.3,0.1,337,337,32,0,305,108084762.49476215,118893238.74423838,101414505.86664648,693885.949430518
Central,area,New technology,0.3,0.0,337,337,0,0,337,110949669.68887003,110949669.68887003,100840037.61334768,795501.041413649
Central,area,New technology,0.3,0.05,337,337,0,0,337,110949669.68887003,116497153.17331353,100840037.61334768,795501.041413649
Central,area,New technology,0.3,0.1,337,337,0,0,337,110949669.68887003,122044636.65775704,100840037.61334768,795501.041413649
Central,area,Matched gap,0.3,0.0,337,337,32,0,305,6670428.62811568,6670428.62811568,172.0,693885.949430518
Central,area,Matched gap,0.3,0.05,337,337,32,0,305,6670428.62811568,7003950.059521465,172.0,693885.949430518
Central,area,Matched gap,0.3,0.1,337,337,32,0,305,6670428.62811568,7337471.490927248,172.0,693885.949430518
Discount3%,cap,General,0.1,0.0,308,330,330,0,0,18438354.78377144,18438354.78377144,17959694.295392852,375606.8496118911
Discount3%,cap,General,0.1,0.05,308,330,330,0,0,18438354.78377144,19360272.522960015,17959694.295392852,375606.8496118911
Discount3%,cap,General,0.1,0.1,308,330,330,0,0,18438354.78377144,20282190.262148585,17959694.295392852,375606.8496118911
Discount3%,cap,New technology,0.1,0.0,308,308,308,0,0,0.0,0.0,0.0,0.0
Discount3%,cap,New technology,0.1,0.05,308,308,308,0,0,0.0,0.0,0.0,0.0
Discount3%,cap,New technology,0.1,0.1,308,308,308,0,0,0.0,0.0,0.0,0.0
Discount3%,cap,Matched gap,0.1,0.0,308,330,330,0,0,478682.48837859184,478682.48837859184,22.0,375606.8496118911
Discount3%,cap,Matched gap,0.1,0.05,308,330,330,0,0,478682.48837859184,502616.61279752146,22.0,375606.8496118911
