adcode,baseline,general20,new20,context
110000,2,2,2,area
120000,2,2,2,area
130100,2,2,2,area
130200,2,2,2,area
130300,2,2,2,area
130400,2,2,2,area
130500,2,2,2,area
130600,2,2,2,area
130700,2,2,2,area
130800,2,2,2,area
130900,2,2,2,area
131000,2,2,2,area
131100,2,2,2,area
140100,2,2,2,area
140200,2,2,2,area
140300,2,2,2,area
140400,2,2,2,area
140500,2,2,2,area
140600,2,2,2,area
140700,2,2,2,area
140800,2,2,2,area
140900,2,2,2,area
141000,2,2,2,area
141100,2,2,2,area
150100,2,2,2,area
150200,2,2,2,area
150300,2,2,2,area
150400,2,2,2,area
150500,2,2,2,area
150600,2,2,2,area
150700,0,2,2,area
150800,2,2,2,area
150900,2,2,2,area
152200,2,2,2,area
152500,2,2,2,area
152900,2,2,2,area
210100,2,2,2,area
210200,2,2,2,area
210300,2,2,2,area
210400,2,2,2,area
210500,2,2,2,area
210600,2,2,2,area
210700,2,2,2,area
210800,2,2,2,area
210900,2,2,2,area
211000,2,2,2,area
211100,2,2,2,area
211200,2,2,2,area
211300,2,2,2,area
211400,2,2,2,area
220100,2,2,2,area
220200,2,2,2,area
220300,2,2,2,area
220400,2,2,2,area
220500,0,2,2,area
220600,2,2,2,area
220700,2,2,2,area
220800,2,2,2,area
222400,2,2,2,area
230100,0,2,2,area
230200,2,2,2,area
230300,2,2,2,area
230400,2,2,2,area
230500,0,2,2,area
230600,2,2,2,area
230700,2,2,2,area
230800,2,2,2,area
230900,2,2,2,area
231000,0,2,2,area
231100,2,2,2,area
231200,2,2,2,area
232700,0,2,2,area
310000,0,2,2,area
320100,0,2,2,area
320200,0,2,2,area
320300,0,2,2,area
320400,0,2,2,area
320500,0,2,2,area
320600,0,2,2,area
320700,0,2,2,area
320800,0,2,2,area
320900,0,2,2,area
321000,0,2,2,area
321100,0,2,2,area
321200,0,2,2,area
321300,0,2,2,area
330100,0,0,2,area
330200,0,2,2,area
330300,0,2,2,area
330400,0,2,2,area
330500,0,2,2,area
330600,0,0,2,area
330700,0,2,2,area
330800,0,2,2,area
330900,0,2,2,area
331000,0,0,2,area
331100,0,2,2,area
340100,0,2,2,area
340200,0,2,2,area
340300,0,2,2,area
340400,0,2,2,area
340500,0,2,2,area
340600,0,2,2,area
340700,0,2,2,area
340800,0,2,2,area
341000,0,2,2,area
341100,0,2,2,area
341200,0,2,2,area
341300,0,2,2,area
341500,0,2,2,area
341600,0,2,2,area
341700,0,2,2,area
341800,0,2,2,area
350100,0,0,2,area
350200,0,2,2,area
350300,0,2,2,area
350400,0,2,2,area
350500,0,2,2,area
350600,0,2,2,area
350700,0,2,2,area
350800,0,2,2,area
350900,0,0,2,area
360100,0,2,2,area
360200,0,2,2,area
360300,0,2,2,area
360400,0,2,2,area
360500,0,0,2,area
360600,0,0,2,area
360700,0,2,2,area
360800,0,0,2,area
360900,0,2,2,area
361000,0,0,2,area
361100,0,2,2,area
370100,2,2,2,area
370200,2,2,2,area
370300,2,2,2,area
370400,0,2,2,area
370500,2,2,2,area
370600,2,2,2,area
370700,2,2,2,area
370800,2,2,2,area
370900,2,2,2,area
371000,2,2,2,area
371100,2,2,2,area
371300,0,2,2,area
371400,2,2,2,area
371500,2,2,2,area
371600,2,2,2,area
371700,0,2,2,area
410100,2,2,2,area
410200,2,2,2,area
410300,0,2,2,area
410400,0,2,2,area
410500,2,2,2,area
410600,2,2,2,area
410700,2,2,2,area
410800,2,2,2,area
410900,2,2,2,area
411000,2,2,2,area
411100,0,2,2,area
411200,2,2,2,area
411300,0,2,2,area
411400,0,2,2,area
411500,0,2,2,area
411600,0,2,2,area
411700,0,2,2,area
420100,0,2,2,area
420200,0,2,2,area
420300,0,0,2,area
420500,0,0,2,area
420600,0,2,2,area
420700,0,2,2,area
420800,0,2,2,area
420900,0,2,2,area
421000,0,2,2,area
421100,0,2,2,area
421200,0,2,2,area
421300,0,2,2,area
422800,0,0,2,area
430100,0,0,2,area
430200,0,0,2,area
430300,0,0,2,area
430400,0,0,2,area
430500,0,0,2,area
430600,0,2,2,area
430700,0,0,2,area
430800,0,0,2,area
430900,0,0,2,area
431000,0,0,2,area
431100,0,0,2,area
431200,0,0,2,area
431300,0,0,2,area
433100,0,0,2,area
440100,0,2,2,area
440200,0,0,2,area
440300,0,2,2,area
440400,0,2,2,area
440500,0,2,2,area
440600,0,2,2,area
440700,0,2,2,area
440800,0,2,2,area
440900,0,2,2,area
441200,0,2,2,area
441300,0,2,2,area
441400,0,2,2,area
441500,0,2,2,area
441600,0,2,2,area
441700,0,2,2,area
441800,0,0,2,area
441900,0,2,2,area
442000,0,2,2,area
445100,0,2,2,area
445200,0,2,2,area
445300,0,2,2,area
450100,0,0,2,area
450200,0,0,2,area
450300,0,0,2,area
450400,0,2,2,area
450500,0,2,2,area
450600,0,2,2,area
450700,0,2,2,area
450800,0,0,2,area
450900,0,2,2,area
451000,0,0,2,area
451100,0,0,2,area
451200,0,0,2,area
451300,0,0,2,area
451400,0,0,2,area
460100,0,2,2,area
460200,2,2,2,area
460300,2,2,2,area
460400,0,2,2,area
500000,0,0,2,area
510100,0,0,2,area
510300,0,0,2,area
510400,2,2,2,area
510500,0,0,2,area
510600,0,0,2,area
510700,0,0,2,area
510800,0,0,2,area
510900,0,0,2,area
511000,0,0,2,area
511100,0,0,2,area
511300,0,0,2,area
511400,0,0,2,area
511500,0,0,2,area
511600,0,0,2,area
511700,0,0,2,area
511800,0,0,2,area
511900,0,0,2,area
512000,0,0,2,area
513200,2,2,2,area
513300,2,2,2,area
513400,0,2,2,area
520100,0,0,2,area
520200,0,0,2,area
520300,0,0,2,area
520400,0,0,2,area
520500,0,0,2,area
520600,0,0,2,area
522300,0,0,2,area
522600,0,0,2,area
522700,0,0,2,area
530100,0,2,2,area
530300,0,0,2,area
530400,0,2,2,area
530500,0,2,2,area
530600,0,0,2,area
530700,2,2,2,area
530800,0,2,2,area
530900,0,2,2,area
532300,2,2,2,area
532500,0,2,2,area
532600,0,0,2,area
532800,0,2,2,area
532900,2,2,2,area
533100,0,2,2,area
533300,0,2,2,area
533400,2,2,2,area
540100,0,2,2,area
540200,0,2,2,area
540300,0,2,2,area
540400,0,0,2,area
540500,0,2,2,area
540600,0,2,2,area
542500,0,2,2,area
610100,0,2,2,area
610200,0,2,2,area
610300,0,2,2,area
610400,0,2,2,area
610500,0,2,2,area
610600,0,2,2,area
610700,0,0,2,area
610800,2,2,2,area
610900,0,0,2,area
611000,0,2,2,area
620100,2,2,2,area
620200,2,2,2,area
620300,2,2,2,area
620400,2,2,2,area
620500,0,2,2,area
620600,2,2,2,area
620700,2,2,2,area
620800,0,2,2,area
620900,2,2,2,area
621000,0,2,2,area
621100,0,2,2,area
621200,0,0,2,area
622900,2,2,2,area
623000,2,2,2,area
630100,2,2,2,area
630200,2,2,2,area
632200,2,2,2,area
632300,2,2,2,area
632500,2,2,2,area
632600,2,2,2,area
632700,2,2,2,area
632800,2,2,2,area
640100,2,2,2,area
640200,2,2,2,area
640300,2,2,2,area
640400,0,2,2,area
640500,2,2,2,area
650100,2,2,2,area
650200,2,2,2,area
650400,2,2,2,area
650500,2,2,2,area
652300,2,2,2,area
652700,2,2,2,area
652800,2,2,2,area
652900,2,2,2,area
653000,2,2,2,area
653100,2,2,2,area
653200,2,2,2,area
654000,2,2,2,area
654200,2,2,2,area
654300,2,2,2,area
