adcode,baseline,general20,new20,context
110000,0,0,1,cap
120000,0,0,1,cap
130100,0,0,1,cap
130200,0,0,1,cap
130300,0,0,1,cap
130400,1,0,1,cap
130500,1,0,1,cap
130600,0,0,1,cap
130700,0,0,1,cap
130800,0,0,1,cap
130900,0,0,1,cap
131000,0,0,1,cap
131100,0,0,1,cap
140100,0,0,1,cap
140200,0,0,1,cap
140300,0,0,1,cap
140400,0,0,1,cap
140500,1,0,1,cap
140600,0,0,1,cap
140700,0,0,1,cap
140800,1,0,1,cap
140900,0,0,1,cap
141000,1,0,1,cap
141100,0,0,1,cap
150100,0,0,1,cap
150200,0,0,1,cap
150300,0,0,1,cap
150400,0,0,1,cap
150500,0,0,1,cap
150600,0,0,1,cap
150700,0,0,1,cap
150800,0,0,1,cap
150900,0,0,1,cap
152200,0,0,1,cap
152500,0,0,1,cap
152900,0,0,1,cap
210100,0,0,1,cap
210200,0,0,1,cap
210300,0,0,1,cap
210400,0,0,1,cap
210500,0,0,1,cap
210600,0,0,1,cap
210700,0,0,1,cap
210800,0,0,1,cap
210900,0,0,1,cap
211000,0,0,1,cap
211100,0,0,1,cap
211200,0,0,1,cap
211300,0,0,1,cap
211400,0,0,1,cap
220100,0,0,1,cap
220200,0,0,1,cap
220300,0,0,1,cap
220400,0,0,1,cap
220500,0,0,1,cap
220600,0,0,1,cap
220700,0,0,1,cap
220800,0,0,1,cap
222400,0,0,1,cap
230100,0,0,1,cap
230200,0,0,1,cap
230300,0,0,1,cap
230400,0,0,1,cap
230500,0,0,1,cap
230600,0,0,1,cap
230700,0,0,1,cap
230800,0,0,1,cap
230900,0,0,1,cap
231000,0,0,1,cap
231100,0,0,1,cap
231200,0,0,1,cap
232700,0,0,1,cap
310000,1,0,1,cap
320100,1,0,1,cap
320200,1,0,1,cap
320300,1,0,1,cap
320400,1,0,1,cap
320500,1,0,1,cap
320600,1,0,1,cap
320700,1,0,1,cap
320800,1,0,1,cap
320900,1,0,1,cap
321000,1,0,1,cap
321100,1,0,1,cap
321200,1,0,1,cap
321300,1,0,1,cap
330100,-1,0,1,cap
330200,1,0,1,cap
330300,1,0,1,cap
330400,1,0,1,cap
330500,1,0,1,cap
330600,-1,0,1,cap
330700,1,0,1,cap
330800,-1,0,1,cap
330900,1,0,1,cap
331000,-1,0,1,cap
331100,-1,0,1,cap
340100,1,0,1,cap
340200,1,0,1,cap
340300,1,0,1,cap
340400,1,0,1,cap
340500,1,0,1,cap
340600,1,0,1,cap
340700,1,0,1,cap
340800,1,0,1,cap
341000,1,0,1,cap
341100,1,0,1,cap
341200,1,0,1,cap
341300,1,0,1,cap
341500,1,0,1,cap
341600,1,0,1,cap
341700,1,0,1,cap
341800,1,0,1,cap
350100,-1,0,1,cap
350200,1,0,1,cap
350300,1,0,1,cap
350400,-1,0,1,cap
350500,1,0,1,cap
350600,1,0,1,cap
350700,1,0,1,cap
350800,1,0,1,cap
350900,-1,0,1,cap
360100,1,0,1,cap
360200,1,0,1,cap
360300,-1,0,1,cap
360400,1,0,1,cap
360500,-1,0,1,cap
360600,-1,0,1,cap
360700,1,0,1,cap
360800,-1,0,1,cap
360900,-1,0,1,cap
361000,-1,0,1,cap
361100,1,0,1,cap
370100,0,0,1,cap
370200,0,0,1,cap
370300,1,0,1,cap
370400,1,0,1,cap
370500,0,0,1,cap
370600,0,0,1,cap
370700,0,0,1,cap
370800,1,0,1,cap
370900,1,0,1,cap
371000,0,0,1,cap
371100,0,0,1,cap
371300,1,0,1,cap
371400,0,0,1,cap
371500,0,0,1,cap
371600,0,0,1,cap
371700,1,0,1,cap
410100,1,0,1,cap
410200,1,0,1,cap
410300,1,0,1,cap
410400,1,0,1,cap
410500,1,0,1,cap
410600,1,0,1,cap
410700,1,0,1,cap
410800,1,0,1,cap
410900,1,0,1,cap
411000,1,0,1,cap
411100,1,0,1,cap
411200,1,0,1,cap
411300,1,0,1,cap
411400,1,0,1,cap
411500,1,0,1,cap
411600,1,0,1,cap
411700,1,0,1,cap
420100,1,0,1,cap
420200,-1,0,1,cap
420300,-1,0,1,cap
420500,-1,0,1,cap
420600,1,0,1,cap
420700,-1,0,1,cap
420800,1,0,1,cap
420900,1,0,1,cap
421000,1,0,1,cap
421100,1,0,1,cap
421200,1,0,1,cap
421300,1,0,1,cap
422800,-1,-1,-1,cap
430100,-1,0,1,cap
430200,-1,0,1,cap
430300,-1,0,1,cap
430400,-1,0,1,cap
430500,-1,0,1,cap
430600,-1,0,1,cap
430700,-1,0,1,cap
430800,-1,0,-1,cap
430900,-1,0,1,cap
431000,-1,0,1,cap
431100,-1,0,1,cap
431200,-1,0,1,cap
431300,-1,0,1,cap
433100,-1,-1,-1,cap
440100,1,0,1,cap
440200,-1,0,1,cap
440300,1,0,1,cap
440400,1,0,1,cap
440500,1,0,1,cap
440600,1,0,1,cap
440700,1,0,1,cap
440800,1,0,1,cap
440900,1,0,1,cap
441200,-1,0,1,cap
441300,1,0,1,cap
441400,1,0,1,cap
441500,1,0,1,cap
441600,1,0,1,cap
441700,1,0,1,cap
441800,-1,0,1,cap
441900,1,0,1,cap
442000,1,0,1,cap
445100,1,0,1,cap
445200,1,0,1,cap
445300,1,0,1,cap
450100,-1,0,1,cap
450200,-1,0,1,cap
450300,-1,0,1,cap
450400,-1,0,1,cap
450500,1,0,1,cap
450600,1,0,1,cap
450700,1,0,1,cap
450800,-1,0,1,cap
450900,1,0,1,cap
451000,-1,0,1,cap
451100,-1,0,1,cap
451200,-1,0,1,cap
451300,-1,0,1,cap
451400,-1,0,1,cap
460100,1,0,1,cap
460200,1,0,1,cap
460300,1,0,1,cap
460400,1,0,1,cap
500000,-1,-1,-1,cap
510100,-1,0,-1,cap
510300,-1,-1,-1,cap
510400,1,0,1,cap
510500,-1,-1,-1,cap
510600,-1,-1,-1,cap
510700,-1,0,1,cap
510800,-1,0,1,cap
510900,-1,0,1,cap
511000,-1,-1,-1,cap
511100,-1,-1,-1,cap
511300,-1,-1,-1,cap
511400,-1,-1,-1,cap
511500,-1,-1,-1,cap
511600,-1,-1,-1,cap
511700,-1,-1,-1,cap
511800,-1,0,1,cap
511900,-1,-1,-1,cap
512000,-1,-1,-1,cap
513200,0,0,1,cap
513300,0,0,1,cap
513400,1,0,1,cap
520100,-1,-1,-1,cap
520200,-1,-1,-1,cap
520300,-1,-1,-1,cap
520400,-1,-1,-1,cap
520500,-1,-1,-1,cap
520600,-1,-1,-1,cap
522300,-1,0,1,cap
522600,-1,-1,-1,cap
522700,-1,-1,-1,cap
530100,1,0,1,cap
530300,1,0,1,cap
530400,1,0,1,cap
530500,1,0,1,cap
530600,-1,-1,-1,cap
530700,1,0,1,cap
530800,1,0,1,cap
530900,1,0,1,cap
532300,1,0,1,cap
532500,1,0,1,cap
532600,-1,0,1,cap
532800,1,0,1,cap
532900,1,0,1,cap
533100,1,0,1,cap
533300,1,0,1,cap
533400,0,0,1,cap
540100,0,0,1,cap
540200,0,0,1,cap
540300,1,0,1,cap
540400,-1,0,1,cap
540500,1,0,1,cap
540600,0,0,1,cap
542500,0,0,1,cap
610100,1,0,1,cap
610200,1,0,1,cap
610300,1,0,1,cap
610400,1,0,1,cap
610500,1,0,1,cap
610600,0,0,1,cap
610700,-1,0,1,cap
610800,0,0,1,cap
610900,-1,0,1,cap
611000,1,0,1,cap
620100,0,0,1,cap
620200,0,0,1,cap
620300,0,0,1,cap
620400,0,0,1,cap
620500,1,0,1,cap
620600,0,0,1,cap
620700,0,0,1,cap
620800,1,0,1,cap
620900,0,0,1,cap
621000,1,0,1,cap
621100,0,0,1,cap
621200,-1,0,1,cap
622900,0,0,1,cap
623000,0,0,1,cap
630100,0,0,1,cap
630200,0,0,1,cap
632200,0,0,1,cap
632300,0,0,1,cap
632500,0,0,1,cap
632600,0,0,1,cap
632700,0,0,1,cap
632800,0,0,1,cap
640100,0,0,1,cap
640200,0,0,1,cap
640300,0,0,1,cap
640400,0,0,1,cap
640500,0,0,1,cap
650100,0,0,1,cap
650200,0,0,1,cap
650400,0,0,1,cap
650500,0,0,1,cap
652300,0,0,1,cap
652700,0,0,1,cap
652800,0,0,1,cap
652900,0,0,1,cap
653000,0,0,1,cap
653100,0,0,1,cap
653200,0,0,1,cap
654000,0,0,1,cap
654200,0,0,1,cap
654300,0,0,1,cap
