case,context,policy,viable,si,sj,t,public_usd,private_gain_usd,additional_discounted_mwh
Original proportional O&M,cap,No subsidy,258,123,135,0,0.0,0.0,0.0
Original proportional O&M,cap,General20,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
Original proportional O&M,cap,New20,311,0,311,0,25144350.0,20871575.615580227,487290.34463292186
Original proportional O&M,area,No subsidy,337,204,0,133,0.0,0.0,0.0
Original proportional O&M,area,General20,337,70,0,267,73277879.64123136,65801726.51809955,555708.8777161391
Original proportional O&M,area,New20,337,0,0,337,77664768.78220902,63856814.383724295,795501.041413649
Common China surveyed O&M 3.2,cap,No subsidy,298,298,0,0,0.0,0.0,0.0
Common China surveyed O&M 3.2,cap,General20,333,333,0,0,39072550.00088294,35731263.605018556,491341.5961473757
Common China surveyed O&M 3.2,cap,New20,330,0,330,0,26680500.0,14423832.827593632,-112307.37482980287
Common China surveyed O&M 3.2,area,No subsidy,337,107,0,230,0.0,0.0,0.0
Common China surveyed O&M 3.2,area,General20,337,16,0,321,76662051.26427127,70913152.38053487,334280.4124989695
Common China surveyed O&M 3.2,area,New20,337,0,0,337,77664768.78220902,70681193.9537096,382830.1002041603
Common non-OECD assumed O&M 10.95,cap,No subsidy,205,205,0,0,0.0,0.0,0.0
Common non-OECD assumed O&M 10.95,cap,General20,298,298,0,0,34965825.52631566,28433069.92240855,1536187.2091127976
Common non-OECD assumed O&M 10.95,cap,New20,262,0,262,0,21182700.0,9128261.605548285,485341.10391907534
Common non-OECD assumed O&M 10.95,area,No subsidy,337,205,0,132,0.0,0.0,0.0
Common non-OECD assumed O&M 10.95,area,General20,337,70,0,267,73277879.64123136,65771351.65674588,560230.4514762571
Common non-OECD assumed O&M 10.95,area,New20,337,0,0,337,77664768.78220902,63810581.90412496,800022.6151737671
China Si anchor only,cap,No subsidy,258,0,258,0,0.0,0.0,0.0
China Si anchor only,cap,General20,311,131,180,0,30811410.0,24122528.87285517,1041723.8906319676
China Si anchor only,cap,New20,311,0,311,0,25144350.0,22362422.86880208,757048.318998422
China Si anchor only,area,No subsidy,337,77,4,256,0.0,0.0,0.0
China Si anchor only,area,General20,337,15,0,322,76870045.51127021,71901530.70322621,249293.5101885663
China Si anchor only,area,New20,337,0,0,337,77664768.78220902,71701780.19810662,294641.2956984049
China Si anchor and common 3.2,cap,No subsidy,292,141,151,0,0.0,0.0,0.0
China Si anchor and common 3.2,cap,General20,331,331,0,0,41080410.0,34594524.4262549,775500.7568437143
China Si anchor and common 3.2,cap,New20,330,0,330,0,26680500.0,21870663.468835942,197471.30067657836
China Si anchor and common 3.2,area,No subsidy,337,32,0,305,0.0,0.0,0.0
China Si anchor and common 3.2,area,General20,337,1,0,336,77611787.23081309,73433897.83408982,98907.58685623508
China Si anchor and common 3.2,area,New20,337,0,0,337,77664768.78220902,73430160.18870634,101615.09198313093
China Si anchor and common 10.95,cap,No subsidy,180,139,41,0,0.0,0.0,0.0
China Si anchor and common 10.95,cap,General20,284,284,0,0,35247240.0,26803029.372975484,1841626.4030388372
China Si anchor and common 10.95,cap,New20,262,0,262,0,21182700.0,15016325.415429922,1005946.5709312203
China Si anchor and common 10.95,area,No subsidy,337,105,0,232,0.0,0.0,0.0
China Si anchor and common 10.95,area,General20,337,23,0,314,76446193.10010286,71198610.20756206,303409.16995237314
China Si anchor and common 10.95,area,New20,337,0,0,337,77664768.78220902,70821188.22951157,374922.42240517144
