context,policy,technology,adcode,degradation_fraction,cost_ceiling_usd_kwdc,central_cost_usd_kwdc,positive_cost_possible
cap,No subsidy,SJ,110000,0.0,441.6506855883887,385.0,True
cap,No subsidy,SJ,120000,0.0,441.1222773218853,385.0,True
cap,No subsidy,SJ,130100,0.0,442.8219831607886,385.0,True
cap,No subsidy,SJ,130200,0.0,439.76400154271994,385.0,True
cap,No subsidy,SJ,130300,0.0,437.02422291291896,385.0,True
cap,No subsidy,SJ,130400,0.0,443.49932173510905,385.0,True
cap,No subsidy,SJ,130500,0.0,443.34741453320447,385.0,True
cap,No subsidy,SJ,130600,0.0,442.4977752268066,385.0,True
cap,No subsidy,SJ,130700,0.0,438.3241141965854,385.0,True
cap,No subsidy,SJ,130800,0.0,438.59288516478597,385.0,True
cap,No subsidy,SJ,130900,0.0,441.5969288267789,385.0,True
cap,No subsidy,SJ,131000,0.0,441.51750848212566,385.0,True
cap,No subsidy,SJ,131100,0.0,443.0261685429939,385.0,True
cap,No subsidy,SJ,140100,0.0,440.44812709589047,385.0,True
cap,No subsidy,SJ,140200,0.0,438.3098197080322,385.0,True
cap,No subsidy,SJ,140300,0.0,440.29640553125006,385.0,True
cap,No subsidy,SJ,140400,0.0,440.92861339950156,385.0,True
cap,No subsidy,SJ,140500,0.0,442.6129915094545,385.0,True
cap,No subsidy,SJ,140600,0.0,437.56915682828725,385.0,True
cap,No subsidy,SJ,140700,0.0,441.19891883636745,385.0,True
cap,No subsidy,SJ,140800,0.0,443.8358443867236,385.0,True
cap,No subsidy,SJ,140900,0.0,439.30813838606105,385.0,True
cap,No subsidy,SJ,141000,0.0,443.17099218129425,385.0,True
cap,No subsidy,SJ,141100,0.0,440.2201009833334,385.0,True
cap,No subsidy,SJ,150100,0.0,436.5385916934444,385.0,True
cap,No subsidy,SJ,150200,0.0,435.92573772099456,385.0,True
cap,No subsidy,SJ,150300,0.0,437.67509329714215,385.0,True
cap,No subsidy,SJ,150400,0.0,434.6575515719575,385.0,True
cap,No subsidy,SJ,150500,0.0,434.4899041309422,385.0,True
cap,No subsidy,SJ,150600,0.0,437.2125347223781,385.0,True
cap,No subsidy,SJ,150700,0.0,429.7768345484122,385.0,True
cap,No subsidy,SJ,150800,0.0,436.58865931821344,385.0,True
cap,No subsidy,SJ,150900,0.0,434.77807371421284,385.0,True
cap,No subsidy,SJ,152200,0.0,432.3079369213479,385.0,True
cap,No subsidy,SJ,152500,0.0,433.00374370279184,385.0,True
cap,No subsidy,SJ,152900,0.0,436.44507025569004,385.0,True
cap,No subsidy,SJ,210100,0.0,435.62681904477006,385.0,True
cap,No subsidy,SJ,210200,0.0,435.9650154986215,385.0,True
cap,No subsidy,SJ,210300,0.0,436.4225162293098,385.0,True
cap,No subsidy,SJ,210400,0.0,435.1298614614648,385.0,True
cap,No subsidy,SJ,210500,0.0,436.0028563700156,385.0,True
cap,No subsidy,SJ,210600,0.0,436.47520689376813,385.0,True
cap,No subsidy,SJ,210700,0.0,435.8590421378873,385.0,True
cap,No subsidy,SJ,210800,0.0,436.0782697934309,385.0,True
cap,No subsidy,SJ,210900,0.0,435.6410329970753,385.0,True
cap,No subsidy,SJ,211000,0.0,436.49599249846585,385.0,True
cap,No subsidy,SJ,211100,0.0,435.70702355366745,385.0,True
cap,No subsidy,SJ,211200,0.0,434.5696664194717,385.0,True
cap,No subsidy,SJ,211300,0.0,436.24394823424143,385.0,True
cap,No subsidy,SJ,211400,0.0,436.22417839167355,385.0,True
cap,No subsidy,SJ,220100,0.0,432.6742482972481,385.0,True
cap,No subsidy,SJ,220200,0.0,433.678503706986,385.0,True
