technology,field,value,provenance
Si,name,c-Si-modern,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,name_cn,现代晶硅,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,area_cm2,243.36,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,cells_in_series,60,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,I_L_ref,11.0962,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,I_o_ref,4e-10,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,R_s,0.004,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,R_sh_ref,15.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,n_ideality,1.02,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,alpha_sc,0.0040279206,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,EgRef,1.121,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,dEgdT,-0.0002677,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,Ea_recomb,0.9957,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,gamma_pmax_lit,-0.32,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,beta_voc_lit,-0.27,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,alpha_isc_lit,0.04,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,noct,44.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,spectral,"{'lambda_min': 350.0, 'lambda_gap': 1110.0, 'eqe_peak': 0.95, 'edge_width': 50.0, 'blue_rolloff': 70.0}",代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,degradation_rate,0.005,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,burn_in_loss,0.01,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,burn_in_years,1.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,hysteresis_index,0.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,bifaciality,0.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,capex_per_wp,1.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,lifetime_years,25.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
Si,notes,"现代 TOPCon/PERC 晶硅, 组件效率~22%, γ~-0.32; 现实基准。",代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,name,perovskite,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,name_cn,钙钛矿,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,area_cm2,243.36,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,cells_in_series,60,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,I_L_ref,5.48,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,I_o_ref,9.5e-12,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,R_s,0.016,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,R_sh_ref,30.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,n_ideality,1.6,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,alpha_sc,0.0010960000000000002,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,EgRef,1.55,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,dEgdT,0.0003,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,Ea_recomb,0.8258,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,gamma_pmax_lit,-0.15,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,beta_voc_lit,-0.15,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
