gamma,spectral_scale,spatial,adcode,city,province,threshold,annual_temperature_C
-0.25,0.7,Primary,632600,果洛,青海,12.813235332500494,-2.155057077625571
-0.25,0.7,Primary,230800,佳木斯,黑龙江,12.818282047795805,3.896202054794521
-0.25,0.7,Primary,542500,阿里,西藏,12.823367731729963,-2.4072488584474887
-0.25,0.7,Primary,230600,大庆,黑龙江,12.833710501660335,4.087288812785389
-0.25,0.7,Primary,231200,绥化,黑龙江,12.849779782729943,3.2389166666666664
-0.25,0.7,Primary,632700,玉树,青海,12.854647553241572,-3.8644817351598175
-0.25,0.7,Primary,231100,黑河,黑龙江,12.889735994776498,2.124189497716895
-0.25,0.7,Primary,230200,齐齐哈尔,黑龙江,12.892725777029312,4.1783390410958905
-0.25,0.7,Primary,150700,呼伦贝尔,内蒙古,13.02826559626389,0.082493150684931
-0.25,0.7,Primary,232700,大兴安岭,黑龙江,13.114502966418318,0.4872842465753421
-0.25,0.7,City anchor,231100,黑河,黑龙江,12.871898645327695,2.124189497716895
-0.25,0.7,City anchor,632700,玉树,青海,12.88592534107973,-3.8644817351598175
-0.25,0.7,City anchor,632200,海北,青海,12.888881158490161,1.2266004566210045
-0.25,0.7,City anchor,230200,齐齐哈尔,黑龙江,12.896036499854846,4.1783390410958905
-0.25,0.7,City anchor,231200,绥化,黑龙江,12.90891081534733,3.2389166666666664
-0.25,0.7,City anchor,232700,大兴安岭,黑龙江,12.997337202157745,0.4872842465753421
-0.25,0.7,City anchor,632600,果洛,青海,13.083810094745353,-2.155057077625571
-0.25,0.7,City anchor,540600,那曲,西藏,13.10997958770923,-2.040820776255708
-0.25,0.7,City anchor,150700,呼伦贝尔,内蒙古,13.134567380217677,0.082493150684931
-0.25,0.7,City anchor,542500,阿里,西藏,13.288441010467222,-2.4072488584474887
-0.25,1.0,Primary,230700,伊春,黑龙江,12.785312864803045,2.1520924657534253
-0.25,1.0,Primary,632700,玉树,青海,12.787616574299632,-3.8644817351598175
-0.25,1.0,Primary,230400,鹤岗,黑龙江,12.78770948376442,3.2458458904109584
-0.25,1.0,Primary,230800,佳木斯,黑龙江,12.805069150599625,3.896202054794521
-0.25,1.0,Primary,230600,大庆,黑龙江,12.820689811973885,4.087288812785389
-0.25,1.0,Primary,231200,绥化,黑龙江,12.838022472907241,3.2389166666666664
-0.25,1.0,Primary,230200,齐齐哈尔,黑龙江,12.893417602577761,4.1783390410958905
-0.25,1.0,Primary,231100,黑河,黑龙江,12.896905282943782,2.124189497716895
-0.25,1.0,Primary,150700,呼伦贝尔,内蒙古,13.035216387916272,0.082493150684931
-0.25,1.0,Primary,232700,大兴安岭,黑龙江,13.138710178384061,0.4872842465753421
-0.25,1.0,City anchor,230800,佳木斯,黑龙江,12.842646458068941,3.896202054794521
-0.25,1.0,City anchor,632200,海北,青海,12.846562598852639,1.2266004566210045
-0.25,1.0,City anchor,231100,黑河,黑龙江,12.892651832222457,2.124189497716895
-0.25,1.0,City anchor,231200,绥化,黑龙江,12.898914358211977,3.2389166666666664
-0.25,1.0,City anchor,230200,齐齐哈尔,黑龙江,12.903690549389912,4.1783390410958905
-0.25,1.0,City anchor,232700,大兴安岭,黑龙江,13.015152405514252,0.4872842465753421
-0.25,1.0,City anchor,632600,果洛,青海,13.03071953484567,-2.155057077625571
-0.25,1.0,City anchor,540600,那曲,西藏,13.06452843476631,-2.040820776255708
