gamma,spectral_scale,spatial,left_out_province,coverage,n,threshold_density_increase_pct
-0.25,0.7,Primary,None,0.5,337,11.1371370659199
-0.25,0.7,Primary,None,0.9,337,12.48912518843046
-0.25,0.7,Primary,None,0.95,337,12.729729094528185
-0.25,0.7,Primary,None,0.99,337,12.889735994776498
-0.25,0.7,Primary,None,1.0,337,13.114502966418318
-0.25,0.7,Primary,110000,0.5,336,11.133327002023563
-0.25,0.7,Primary,110000,0.9,336,12.48912518843046
-0.25,0.7,Primary,110000,0.95,336,12.729729094528185
-0.25,0.7,Primary,110000,0.99,336,12.889735994776498
-0.25,0.7,Primary,110000,1.0,336,13.114502966418318
-0.25,0.7,Primary,120000,0.5,336,11.133327002023563
-0.25,0.7,Primary,120000,0.9,336,12.48912518843046
-0.25,0.7,Primary,120000,0.95,336,12.729729094528185
-0.25,0.7,Primary,120000,0.99,336,12.889735994776498
-0.25,0.7,Primary,120000,1.0,336,13.114502966418318
-0.25,0.7,Primary,130000,0.5,326,11.110218901411884
-0.25,0.7,Primary,130000,0.9,326,12.506011421926043
-0.25,0.7,Primary,130000,0.95,326,12.729729094528185
-0.25,0.7,Primary,130000,0.99,326,12.889735994776498
-0.25,0.7,Primary,130000,1.0,326,13.114502966418318
-0.25,0.7,Primary,140000,0.5,326,11.110218901411884
-0.25,0.7,Primary,140000,0.9,326,12.506011421926043
-0.25,0.7,Primary,140000,0.95,326,12.729729094528185
-0.25,0.7,Primary,140000,0.99,326,12.889735994776498
-0.25,0.7,Primary,140000,1.0,326,13.114502966418318
-0.25,0.7,Primary,150000,0.5,325,11.110218901411884
-0.25,0.7,Primary,150000,0.9,325,12.440728523682697
-0.25,0.7,Primary,150000,0.95,325,12.718505908184884
-0.25,0.7,Primary,150000,0.99,325,12.854647553241572
-0.25,0.7,Primary,150000,1.0,325,13.114502966418318
-0.25,0.7,Primary,210000,0.5,323,11.108357542674874
-0.25,0.7,Primary,210000,0.9,323,12.506011421926043
-0.25,0.7,Primary,210000,0.95,323,12.729729094528185
-0.25,0.7,Primary,210000,0.99,323,12.889735994776498
-0.25,0.7,Primary,210000,1.0,323,13.114502966418318
-0.25,0.7,Primary,220000,0.5,328,11.118586435196898
-0.25,0.7,Primary,220000,0.9,328,12.39965686986122
-0.25,0.7,Primary,220000,0.95,328,12.728910413132333
-0.25,0.7,Primary,220000,0.99,328,12.889735994776498
-0.25,0.7,Primary,220000,1.0,328,13.114502966418318
-0.25,0.7,Primary,230000,0.5,324,11.108357542674874
-0.25,0.7,Primary,230000,0.9,324,12.363728104377891
-0.25,0.7,Primary,230000,0.95,324,12.522810944331608
-0.25,0.7,Primary,230000,0.99,324,12.813235332500494
-0.25,0.7,Primary,230000,1.0,324,13.02826559626389
-0.25,0.7,Primary,310000,0.5,336,11.1371370659199
-0.25,0.7,Primary,310000,0.9,336,12.48912518843046
-0.25,0.7,Primary,310000,0.95,336,12.729729094528185
-0.25,0.7,Primary,310000,0.99,336,12.889735994776498
-0.25,0.7,Primary,310000,1.0,336,13.114502966418318
-0.25,0.7,Primary,320000,0.5,324,11.130740041144648
-0.25,0.7,Primary,320000,0.9,324,12.506011421926043
-0.25,0.7,Primary,320000,0.95,324,12.729729094528185
-0.25,0.7,Primary,320000,0.99,324,12.889735994776498
-0.25,0.7,Primary,320000,1.0,324,13.114502966418318
-0.25,0.7,Primary,330000,0.5,326,11.157830762608455
-0.25,0.7,Primary,330000,0.9,326,12.506011421926043
-0.25,0.7,Primary,330000,0.95,326,12.729729094528185
-0.25,0.7,Primary,330000,0.99,326,12.889735994776498
-0.25,0.7,Primary,330000,1.0,326,13.114502966418318
-0.25,0.7,Primary,340000,0.5,321,11.165386130396238
-0.25,0.7,Primary,340000,0.9,321,12.506011421926043
-0.25,0.7,Primary,340000,0.95,321,12.729729094528185
-0.25,0.7,Primary,340000,0.99,321,12.889735994776498
-0.25,0.7,Primary,340000,1.0,321,13.114502966418318
-0.25,0.7,Primary,350000,0.5,328,11.157830762608455
-0.25,0.7,Primary,350000,0.9,328,12.506011421926043
-0.25,0.7,Primary,350000,0.95,328,12.729729094528185
-0.25,0.7,Primary,350000,0.99,328,12.889735994776498
-0.25,0.7,Primary,350000,1.0,328,13.114502966418318
-0.25,0.7,Primary,360000,0.5,326,11.165147049262437
-0.25,0.7,Primary,360000,0.9,326,12.506011421926043
-0.25,0.7,Primary,360000,0.95,326,12.729729094528185
-0.25,0.7,Primary,360000,0.99,326,12.889735994776498
-0.25,0.7,Primary,360000,1.0,326,13.114502966418318
-0.25,0.7,Primary,370000,0.5,321,11.104916627960781
-0.25,0.7,Primary,370000,0.9,321,12.506011421926043
-0.25,0.7,Primary,370000,0.95,321,12.729729094528185
-0.25,0.7,Primary,370000,0.99,321,12.889735994776498
-0.25,0.7,Primary,370000,1.0,321,13.114502966418318
-0.25,0.7,Primary,410000,0.5,320,11.132179309084457
-0.25,0.7,Primary,410000,0.9,320,12.506011421926043
-0.25,0.7,Primary,410000,0.95,320,12.729729094528185
-0.25,0.7,Primary,410000,0.99,320,12.889735994776498
-0.25,0.7,Primary,410000,1.0,320,13.114502966418318
-0.25,0.7,Primary,420000,0.5,324,11.165386130396238
-0.25,0.7,Primary,420000,0.9,324,12.506011421926043
-0.25,0.7,Primary,420000,0.95,324,12.729729094528185
-0.25,0.7,Primary,420000,0.99,324,12.889735994776498
-0.25,0.7,Primary,420000,1.0,324,13.114502966418318
-0.25,0.7,Primary,430000,0.5,323,11.166575688217751
-0.25,0.7,Primary,430000,0.9,323,12.506011421926043
-0.25,0.7,Primary,430000,0.95,323,12.729729094528185
-0.25,0.7,Primary,430000,0.99,323,12.889735994776498
-0.25,0.7,Primary,430000,1.0,323,13.114502966418318
-0.25,0.7,Primary,440000,0.5,316,11.186904565094169
-0.25,0.7,Primary,440000,0.9,316,12.510959469799454
-0.25,0.7,Primary,440000,0.95,316,12.75024956725279
-0.25,0.7,Primary,440000,0.99,316,12.889735994776498
-0.25,0.7,Primary,440000,1.0,316,13.114502966418318
-0.25,0.7,Primary,450000,0.5,323,11.166575688217751
-0.25,0.7,Primary,450000,0.9,323,12.506011421926043
-0.25,0.7,Primary,450000,0.95,323,12.729729094528185
-0.25,0.7,Primary,450000,0.99,323,12.889735994776498
-0.25,0.7,Primary,450000,1.0,323,13.114502966418318
-0.25,0.7,Primary,460000,0.5,333,11.14598707894794
-0.25,0.7,Primary,460000,0.9,333,12.48912518843046
-0.25,0.7,Primary,460000,0.95,333,12.729729094528185
-0.25,0.7,Primary,460000,0.99,333,12.889735994776498
-0.25,0.7,Primary,460000,1.0,333,13.114502966418318
-0.25,0.7,Primary,500000,0.5,336,11.1371370659199
-0.25,0.7,Primary,500000,0.9,336,12.48912518843046
-0.25,0.7,Primary,500000,0.95,336,12.729729094528185
-0.25,0.7,Primary,500000,0.99,336,12.889735994776498
-0.25,0.7,Primary,500000,1.0,336,13.114502966418318
-0.25,0.7,Primary,510000,0.5,316,11.174498399940735
-0.25,0.7,Primary,510000,0.9,316,12.510959469799454
-0.25,0.7,Primary,510000,0.95,316,12.75024956725279
-0.25,0.7,Primary,510000,0.99,316,12.889735994776498
-0.25,0.7,Primary,510000,1.0,316,13.114502966418318
-0.25,0.7,Primary,520000,0.5,328,11.157830762608455
-0.25,0.7,Primary,520000,0.9,328,12.506011421926043
-0.25,0.7,Primary,520000,0.95,328,12.729729094528185
-0.25,0.7,Primary,520000,0.99,328,12.889735994776498
-0.25,0.7,Primary,520000,1.0,328,13.114502966418318
-0.25,0.7,Primary,530000,0.5,321,11.165386130396238
-0.25,0.7,Primary,530000,0.9,321,12.506011421926043
-0.25,0.7,Primary,530000,0.95,321,12.729729094528185
-0.25,0.7,Primary,530000,0.99,321,12.889735994776498
-0.25,0.7,Primary,530000,1.0,321,13.114502966418318
-0.25,0.7,Primary,540000,0.5,330,11.123520003647535
-0.25,0.7,Primary,540000,0.9,330,12.445815297504215
-0.25,0.7,Primary,540000,0.95,330,12.718505908184884
-0.25,0.7,Primary,540000,0.99,330,12.889735994776498
-0.25,0.7,Primary,540000,1.0,330,13.114502966418318
-0.25,0.7,Primary,610000,0.5,327,11.1371370659199
-0.25,0.7,Primary,610000,0.9,327,12.506011421926043
-0.25,0.7,Primary,610000,0.95,327,12.729729094528185
-0.25,0.7,Primary,610000,0.99,327,12.889735994776498
-0.25,0.7,Primary,610000,1.0,327,13.114502966418318
-0.25,0.7,Primary,620000,0.5,323,11.108357542674874
-0.25,0.7,Primary,620000,0.9,323,12.506011421926043
-0.25,0.7,Primary,620000,0.95,323,12.729729094528185
-0.25,0.7,Primary,620000,0.99,323,12.889735994776498
-0.25,0.7,Primary,620000,1.0,323,13.114502966418318
-0.25,0.7,Primary,630000,0.5,329,11.123520003647535
-0.25,0.7,Primary,630000,0.9,329,12.43977370678997
-0.25,0.7,Primary,630000,0.95,329,12.718505908184884
-0.25,0.7,Primary,630000,0.99,329,12.889735994776498
-0.25,0.7,Primary,630000,1.0,329,13.114502966418318
