adcode,city,province,gamma,gap,raw_capacity_pct,matched_capacity_pct,raw_area_pct,raw_yield_kwh_kwp
110000,北京,北京,-0.4,1.6,-1.3236944478773993,-1.7799435383171525,26.986896950253758,1604.1845864768068
120000,天津,天津,-0.4,1.6,-1.3901032514826328,-1.8208678947016832,26.901435219062854,1612.8024955366918
130100,石家庄,河北,-0.4,1.6,-1.4706322123059334,-1.8969628844693327,26.797802206128686,1586.6936895677802
130200,唐山,河北,-0.4,1.6,-1.3881665958575984,-1.80645878746496,26.903927508239157,1606.469204664446
130300,秦皇岛,河北,-0.4,1.6,-1.4212155246179248,-1.824918451142488,26.86139672146797,1638.8585944624303
130400,邯郸,河北,-0.4,1.6,-1.5917835534187463,-1.993827557676342,26.641892104071285,1530.6565226243874
130500,邢台,河北,-0.4,1.6,-1.5494467821312918,-1.9613428717343504,26.696375449212816,1550.672121452918
130600,保定,河北,-0.4,1.6,-1.4104926814569874,-1.853072759791452,26.87519598737962,1605.6507400339929
130700,张家口,河北,-0.4,1.6,-1.2859086033021994,-1.7075643802797358,27.03552369123683,1665.551388119402
130800,承德,河北,-0.4,1.6,-1.3234034425797514,-1.716698393143301,26.987271446031013,1630.2255211979164
130900,沧州,河北,-0.4,1.6,-1.4521046830455075,-1.870101058906093,26.821645351002932,1619.3334756218724
131000,廊坊,河北,-0.4,1.6,-1.3853407586870592,-1.8272814797427703,26.90756408838435,1619.204347062728
131100,衡水,河北,-0.4,1.6,-1.526594536168835,-1.934976832075297,26.725784087759607,1588.9352315779706
140100,太原,山西,-0.4,1.6,-1.4429991365193517,-1.844182950067097,26.833363311985803,1584.9497070195496
140200,大同,山西,-0.4,1.6,-1.3431143192613848,-1.750764342678257,26.961905447051173,1673.62819691875
140300,阳泉,山西,-0.4,1.6,-1.504551353388861,-1.8484764188842484,26.75415153995062,1560.1097083475902
140400,长治,山西,-0.4,1.6,-1.5432530770122743,-1.9372914490147557,26.704346150885193,1556.9571495719413
140500,晋城,山西,-0.4,1.6,-1.6086936812261476,-2.004125053797412,26.620130399016784,1511.7664048721078
140600,朔州,山西,-0.4,1.6,-1.3261493149234527,-1.725383154363458,26.983737772912654,1692.3037796594826
140700,晋中,山西,-0.4,1.6,-1.5111261432313117,-1.8925044742159505,26.74569041895991,1568.9450578169426
140800,运城,山西,-0.4,1.6,-1.6453352245569763,-2.0298556711063065,26.572976263472125,1529.7647109941713
140900,忻州,山西,-0.4,1.6,-1.3857811908237427,-1.7839688118251762,26.906997294663793,1639.9171601866824
141000,临汾,山西,-0.4,1.6,-1.6133266924170608,-2.002074027627465,26.61416816004383,1539.9977505822933
141100,吕梁,山西,-0.4,1.6,-1.4972949513531009,-1.868638454952953,26.76348983015504,1611.5285347345994
150100,呼和浩特,内蒙古,-0.4,1.6,-1.3402031363556,-1.7269720839513725,26.965651858933846,1733.5260538397597
150200,包头,内蒙古,-0.4,1.6,-1.31459181553778,-1.6930886020717462,26.998611160959364,1760.7138898961155
150300,乌海,内蒙古,-0.4,1.6,-1.3489258632732204,-1.7316876224076072,26.95442654989928,1783.3088278757073
150400,赤峰,内蒙古,-0.4,1.6,-1.1715969152261807,-1.5955193182207503,27.182631818894198,1713.5060820479705
150500,通辽,内蒙古,-0.4,1.6,-1.1020278935575556,-1.5420854583810706,27.272160446218983,1714.5783298816768
150600,鄂尔多斯,内蒙古,-0.4,1.6,-1.370901924943313,-1.7422752386645255,26.926145476108985,1747.883356157661
150700,呼伦贝尔,内蒙古,-0.4,1.6,-0.7432620294056669,-1.2282792933524744,27.73385754326181,1589.4145594264387
150800,巴彦淖尔,内蒙古,-0.4,1.6,-1.289693021207039,-1.6758271250934431,27.030653510053916,1821.8310599912363
150900,乌兰察布,内蒙古,-0.4,1.6,-1.2642174462251021,-1.6518805223816102,27.063438120268902,1759.4336641674352
152200,兴安,内蒙古,-0.4,1.6,-0.9247081620502917,-1.4052121561962894,27.500353854415295,1695.1235383003466
152500,锡林郭勒,内蒙古,-0.4,1.6,-1.164613912765955,-1.5649033653010735,27.191618270189256,1749.2144975422148
152900,阿拉善,内蒙古,-0.4,1.6,-1.236507233377493,-1.637768466547762,27.099098494090757,1856.193071556563
210100,沈阳,辽宁,-0.4,1.6,-1.2100803550266437,-1.614393460418906,27.13310734007539,1609.8368780275705
210200,大连,辽宁,-0.4,1.6,-1.4165913491635207,-1.785522400083872,26.867347589699442,1622.1072048660187
210300,鞍山,辽宁,-0.4,1.6,-1.2962506511166594,-1.6858821762439913,27.022214472243267,1585.6247763858057
210400,抚顺,辽宁,-0.4,1.6,-1.193858668561898,-1.5832553995046794,27.153983087459043,1531.9963441409177
210500,本溪,辽宁,-0.4,1.6,-1.2436564621990387,-1.6339421950437694,27.089898125485988,1528.7270241054223
210600,丹东,辽宁,-0.4,1.6,-1.3177289171180773,-1.6982391519073103,26.99457401351173,1529.5605159655897
210700,锦州,辽宁,-0.4,1.6,-1.2634890016191225,-1.670513568022347,27.064375558285004,1630.7720392357353
210800,营口,辽宁,-0.4,1.6,-1.3300513517345847,-1.7138310927602651,26.978716227530917,1622.3144460661915
210900,阜新,辽宁,-0.4,1.6,-1.1913815114717008,-1.6055778961043043,27.157170949939125,1640.5764679725244
211000,辽阳,辽宁,-0.4,1.6,-1.2638850261978751,-1.6601692445093463,27.063865912812446,1588.8755443378734
211100,盘锦,辽宁,-0.4,1.6,-1.2841012263038243,-1.6785430098046672,27.037849611277707,1631.234592811817
211200,铁岭,辽宁,-0.4,1.6,-1.1548334457344933,-1.5557606315966144,27.204204788828147,1573.7642281287883
211300,朝阳,辽宁,-0.4,1.6,-1.2533997977931532,-1.6749588797635329,27.077359391429034,1672.833768684698
211400,葫芦岛,辽宁,-0.4,1.6,-1.3697249027479375,-1.7711920559884795,26.927660190258408,1661.3161004346518
220100,长春,吉林,-0.4,1.6,-1.0625828724037056,-1.4730390486300204,27.322922387583116,1610.1896381346546
220200,吉林,吉林,-0.4,1.6,-1.0826856936558271,-1.4964668034782358,27.297051993708223,1545.0915647776524
220300,四平,吉林,-0.4,1.6,-1.1250411914932479,-1.5258119840149351,27.24254454930135,1598.121078902068
220400,辽源,吉林,-0.4,1.6,-1.1311852061839378,-1.516676257354288,27.234637794422124,1551.0443063215291
220500,通化,吉林,-0.4,1.6,-1.1846188205281938,-1.5565038539299914,27.165873881541035,1515.7463085211348
220600,白山,吉林,-0.4,1.6,-1.1909000441406525,-1.573821916166762,27.157790552000737,1546.094197771465
220700,松原,吉林,-0.4,1.6,-1.0185893292410264,-1.448316535277938,27.37953783848408,1653.2944355530738
220800,白城,吉林,-0.4,1.6,-0.9531842197215257,-1.428897218960734,27.463707912101043,1711.259441489228
222400,延边,吉林,-0.4,1.6,-1.061732008205707,-1.4950675873572794,27.324017367817977,1537.6746931609237
230100,哈尔滨,黑龙江,-0.4,1.6,-0.9383027489507589,-1.390721403189965,27.482858931027643,1545.820510447849
230200,齐齐哈尔,黑龙江,-0.4,1.6,-0.8060292432521154,-1.2932269237402427,27.653082187192535,1617.2758031158546
230300,鸡西,黑龙江,-0.4,1.6,-0.9512698439533396,-1.4201080960451251,27.46617152924844,1569.8988314500943
230400,鹤岗,黑龙江,-0.4,1.6,-0.8237830832714232,-1.328326305190053,27.63023470582009,1561.9824921789977
230500,双鸭山,黑龙江,-0.4,1.6,-0.8774000292340323,-1.3629216135075173,27.561234862811723,1529.9606774640768
230600,大庆,黑龙江,-0.4,1.6,-0.910103291425246,-1.3591198568737028,27.51914891560712,1629.9882692444917
230700,伊春,黑龙江,-0.4,1.6,-0.8098914617651554,-1.3166423783183556,27.648111884123615,1547.575329834177
230800,佳木斯,黑龙江,-0.4,1.6,-0.8548515770987586,-1.3476148165043278,27.590252547976046,1556.1071582988864
230900,七台河,黑龙江,-0.4,1.6,-0.8986495081765744,-1.3768671067515337,27.533888830979425,1563.932723965618
231000,牡丹江,黑龙江,-0.4,1.6,-1.0314729649067766,-1.4659990353023455,27.36295784082936,1522.3803763047479
231100,黑河,黑龙江,-0.4,1.6,-0.733038957575971,-1.2489115241150484,27.747013651627327,1552.1421085764844
231200,绥化,黑龙江,-0.4,1.6,-0.8628809947011762,-1.3213235740015317,27.579919461223934,1572.0209331314509
232700,大兴安岭,黑龙江,-0.4,1.6,-0.562964369954444,-1.10930512824291,27.965883257773495,1518.2509595977392
310000,上海,上海,-0.4,1.6,-1.8621746300669595,-2.1698270105109274,26.29392484288864,1345.4925518016014
320100,南京,江苏,-0.4,1.6,-1.7632999359260992,-2.109060890395442,26.421167046836167,1342.323136495368
320200,无锡,江苏,-0.4,1.6,-1.8103520871927903,-2.1323396783157644,26.360615462028058,1365.1138806621684
320300,徐州,江苏,-0.4,1.6,-1.7021441993933628,-2.0511631549664067,26.499868586882158,1428.247216011867
320400,常州,江苏,-0.4,1.6,-1.810426718281477,-2.138699837307534,26.360519419008256,1342.3301157813578
320500,苏州,江苏,-0.4,1.6,-1.8470186967515012,-2.164000837756619,26.313429068663474,1323.2243292463802
320600,南通,江苏,-0.4,1.6,-1.7943707880990312,-2.1232161052239795,26.3811818540286,1365.418132884007
320700,连云港,江苏,-0.4,1.6,-1.7286381941619244,-2.055290186425973,26.46577336853515,1408.598055367727
320800,淮安,江苏,-0.4,1.6,-1.7585670448933666,-2.1030187526116078,26.42725782154127,1411.5954482086254
320900,盐城,江苏,-0.4,1.6,-1.7399183852881195,-2.0826868099705687,26.451256849497405,1421.1356851959122
321000,扬州,江苏,-0.4,1.6,-1.7800216097446087,-2.1207473778499075,26.399647863906228,1389.2783580595326
321100,镇江,江苏,-0.4,1.6,-1.8018311764088857,-2.135913946591883,26.37158105314523,1360.3841189262741
321200,泰州,江苏,-0.4,1.6,-1.7725421380633488,-2.1120601007188378,26.409273223249752,1379.1687941992975
321300,宿迁,江苏,-0.4,1.6,-1.7328157574292735,-2.0716632831970228,26.460397247153566,1409.9901617455014
330100,杭州,浙江,-0.4,1.6,-1.8479203417997803,-2.1731091163963323,26.31226873836745,1179.6580516854385
330200,宁波,浙江,-0.4,1.6,-1.9142402176527296,-2.212400772743284,26.226921448624797,1223.1034079010267
330300,温州,浙江,-0.4,1.6,-2.016631826756965,-2.3046502673544023,26.095153314003827,1222.5773883139038
330400,嘉兴,浙江,-0.4,1.6,-1.858356371931913,-2.181511484228882,26.298838573187023,1334.805969647772
330500,湖州,浙江,-0.4,1.6,-1.8443816212901476,-2.1675849840855577,26.316822730677746,1282.764949156715
330600,绍兴,浙江,-0.4,1.6,-1.875181119310887,-2.1866924236492724,26.27718674451678,1163.7186958269585
330700,金华,浙江,-0.4,1.6,-1.9011587736025848,-2.214840238127669,26.243756006609708,1210.6355302253205
330800,衢州,浙江,-0.4,1.6,-1.8882248445161731,-2.206040522777286,26.260400727050648,1188.2817836603692
330900,舟山,浙江,-0.4,1.6,-2.0193953724826463,-2.282381773258668,26.091596896945845,1275.2501863492278
331000,台州,浙江,-0.4,1.6,-1.9488296776601133,-2.2393048305913266,26.18240814658186,1169.083535476667
331100,丽水,浙江,-0.4,1.6,-1.9512819392646374,-2.2514783453718046,26.179252322192937,1184.553888524432
340100,合肥,安徽,-0.4,1.6,-1.833182911487985,-2.168386189906968,26.331234391102853,1321.3881124062355
340200,芜湖,安徽,-0.4,1.6,-1.8206493137712054,-2.1616944990427656,26.347363923646384,1316.4075763644378
340300,蚌埠,安徽,-0.4,1.6,-1.7692779584910445,-2.1054386228115507,26.413473907828045,1333.5876265798468
340400,淮南,安徽,-0.4,1.6,-1.8271283583656928,-2.162772268070967,26.339026017563928,1356.173915379452
340500,马鞍山,安徽,-0.4,1.6,-1.7518615358407597,-2.1021383303321817,26.435887165559556,1321.9565402503508
340600,淮北,安徽,-0.4,1.6,-1.7764002561387326,-2.108529965673045,26.404308197048998,1413.3905471585028
340700,铜陵,安徽,-0.4,1.6,-1.8576620855172643,-2.190379217609517,26.299732052902325,1313.5490682924267
340800,安庆,安徽,-0.4,1.6,-1.8831386467650812,-2.2099706902660943,26.266946173458194,1285.4868823416778
341000,黄山,安徽,-0.4,1.6,-1.9019712260301413,-2.222735241088214,26.2427104586221,1213.5631059792315
341100,滁州,安徽,-0.4,1.6,-1.7782236511615257,-2.1161480983460823,26.40196166335418,1347.3294303781388
341200,阜阳,安徽,-0.4,1.6,-1.800664236556504,-2.1424040221850738,26.373082792290738,1373.932682951581
341300,宿州,安徽,-0.4,1.6,-1.7465877881829406,-2.086546593919081,26.44267397062505,1412.1203928185735
341500,六安,安徽,-0.4,1.6,-1.8408919437082338,-2.1809383697650064,26.321313609465747,1277.6942968945214
341600,亳州,安徽,-0.4,1.6,-1.7849652873002109,-2.1244753674576238,26.393285827257262,1411.2046800463563
341700,池州,安徽,-0.4,1.6,-1.8951966004795984,-2.220152217544036,26.251428748913263,1288.3171273994444
341800,宣城,安徽,-0.4,1.6,-1.8458157557161181,-2.1848898514528536,26.314977137862485,1281.7358109221273
350100,福州,福建,-0.4,1.6,-2.0731449321479967,-2.34677119235448,26.022426392880504,1188.8069955416763
350200,厦门,福建,-0.4,1.6,-2.1300044767664783,-2.420002235498675,25.949253637853808,1359.7566711927495
350300,莆田,福建,-0.4,1.6,-2.1287310784373847,-2.3886063554998227,25.95089237880068,1238.8166878467568
350400,三明,福建,-0.4,1.6,-2.021659477565163,-2.2968282911898563,26.0886832118703,1186.666019929663
350500,泉州,福建,-0.4,1.6,-2.1135386143337875,-2.388971899324688,25.970443616179793,1263.7662152150501
350600,漳州,福建,-0.4,1.6,-2.0738788771200833,-2.369477402836051,26.021481876423238,1300.1892327247758
350700,南平,福建,-0.4,1.6,-1.9457473526106828,-2.253260416209524,26.186374801912415,1207.0719330167574
350800,龙岩,福建,-0.4,1.6,-2.025571358434075,-2.316338437600385,26.083648998134755,1220.7651558042385
350900,宁德,福建,-0.4,1.6,-2.007570384139512,-2.29696836864437,26.10681451750598,1170.577960630855
360100,南昌,江西,-0.4,1.6,-1.9333130344535543,-2.249447481207434,26.20237657122908,1274.2216545304263
360200,景德镇,江西,-0.4,1.6,-1.932797937681796,-2.2528374126940864,26.20303945114042,1235.7282630736706
360300,萍乡,江西,-0.4,1.6,-1.9360259276207437,-2.2715946437947943,26.19888533913308,1203.2658645396093
360400,九江,江西,-0.4,1.6,-1.9383738413110474,-2.253479156540084,26.195863800454976,1280.3597494496041
360500,新余,江西,-0.4,1.6,-1.9497045987094008,-2.2766258026292507,26.181282207497446,1180.449864361922
360600,鹰潭,江西,-0.4,1.6,-1.9029846396195649,-2.230525562924346,26.241406292983484,1180.9518907519846
360700,赣州,江西,-0.4,1.6,-1.9791398501325164,-2.29222576877679,26.143401875250948,1220.0247135923091
360800,吉安,江西,-0.4,1.6,-1.9599689805174791,-2.2863614385901565,26.168072937170315,1187.7445394207691
360900,宜春,江西,-0.4,1.6,-1.934638373343267,-2.263035483409248,26.200670987785625,1203.2811000139172
361000,抚州,江西,-0.4,1.6,-1.9553355053984922,-2.2728691694369973,26.17403577317401,1152.9492664047727
361100,上饶,江西,-0.4,1.6,-1.900453108978084,-2.225405800288016,26.244664128984695,1228.5084983404718
370100,济南,山东,-0.4,1.6,-1.5733675167310834,-1.9555100682837607,26.665591768747653,1540.5406187907574
370200,青岛,山东,-0.4,1.6,-1.6430903159679433,-1.986453910710717,26.5758652445103,1581.3596801356005
370300,淄博,山东,-0.4,1.6,-1.5514522390051466,-1.9283996994520547,26.693794619458867,1512.5879688552193
370400,枣庄,山东,-0.4,1.6,-1.702989995585369,-2.049911109311686,26.498780128682654,1456.4722482834525
370500,东营,山东,-0.4,1.6,-1.5553644952750023,-1.9215270815484689,26.688759922618477,1606.3230731362505
370600,烟台,山东,-0.4,1.6,-1.622013059675964,-1.9660174702744613,26.602989642386454,1561.0307101240692
370700,潍坊,山东,-0.4,1.6,-1.5775210715373245,-1.942429395112999,26.6602465439421,1528.2190979529585
370800,济宁,山东,-0.4,1.6,-1.6615568030693972,-2.0221520831476103,26.552100655012723,1489.0034564581326
370900,泰安,山东,-0.4,1.6,-1.6028002651295226,-1.9829795948137048,26.627714657652724,1535.0791725748227
