context,policy,technology,adcode,city,status,max_degradation_fraction,baseline_margin_usd_per_unit,lifetime_years,burn_in,central_degradation
cap,No subsidy,SJ,110000,北京,interior boundary,0.013916953339859362,-6.601374895061554,21.5,0.0675,0.01505
cap,No subsidy,SJ,120000,天津,interior boundary,0.013820154770424864,-7.14831115473487,21.5,0.0675,0.01505
cap,No subsidy,SJ,130100,石家庄,interior boundary,0.014933234958979111,-0.6470309713697588,21.5,0.0675,0.01505
cap,No subsidy,SJ,130200,唐山,interior boundary,0.013989351211103698,-5.942799273973719,21.5,0.0675,0.01505
cap,No subsidy,SJ,130300,秦皇岛,interior boundary,0.013019996729041593,-11.610836512518972,21.5,0.0675,0.01505
cap,No subsidy,SJ,130400,邯郸,interior boundary,0.01567653662217978,3.3456620211118206,21.5,0.0675,0.01505
cap,No subsidy,SJ,130500,邢台,interior boundary,0.015427518142360697,2.0432009345830693,21.5,0.0675,0.01505
cap,No subsidy,SJ,130600,保定,interior boundary,0.014673592897847958,-2.1108575064936304,21.5,0.0675,0.01505
cap,No subsidy,SJ,130700,张家口,interior boundary,0.013128000410844012,-11.174929830746123,21.5,0.0675,0.01505
cap,No subsidy,SJ,130800,承德,interior boundary,0.013493312592247973,-8.849882202592653,21.5,0.0675,0.01505
cap,No subsidy,SJ,130900,沧州,interior boundary,0.014312538489223672,-4.173695114506472,21.5,0.0675,0.01505
cap,No subsidy,SJ,131000,廊坊,interior boundary,0.014304559962965157,-4.215283579754669,21.5,0.0675,0.01505
cap,No subsidy,SJ,131100,衡水,interior boundary,0.014952797359132575,-0.5398233330864741,21.5,0.0675,0.01505
cap,No subsidy,SJ,140100,太原,interior boundary,0.014028477150186094,-5.778887982920082,21.5,0.0675,0.01505
cap,No subsidy,SJ,140200,大同,interior boundary,0.012750822220440484,-13.760289979892605,21.5,0.0675,0.01505
cap,No subsidy,SJ,140300,阳泉,interior boundary,0.014220371572464072,-4.617208708027647,21.5,0.0675,0.01505
cap,No subsidy,SJ,140400,长治,interior boundary,0.014403866073717353,-3.5906904963949273,21.5,0.0675,0.01505
cap,No subsidy,SJ,140500,晋城,interior boundary,0.015290929786129226,1.2990676138697381,21.5,0.0675,0.01505
cap,No subsidy,SJ,140600,朔州,interior boundary,0.012431922632337233,-15.848120250513489,21.5,0.0675,0.01505
cap,No subsidy,SJ,140700,晋中,interior boundary,0.01435822015212054,-3.8752351892204615,21.5,0.0675,0.01505
cap,No subsidy,SJ,140800,运城,interior boundary,0.015403392453944061,1.931665055362032,21.5,0.0675,0.01505
cap,No subsidy,SJ,140900,忻州,interior boundary,0.013263032550565157,-10.47365273675723,21.5,0.0675,0.01505
cap,No subsidy,SJ,141000,临汾,interior boundary,0.01513087444983725,0.44495567601813946,21.5,0.0675,0.01505
cap,No subsidy,SJ,141100,吕梁,interior boundary,0.013717661038180753,-7.676579781174837,21.5,0.0675,0.01505
cap,No subsidy,SJ,150100,呼和浩特,interior boundary,0.012493003344291508,-15.100636267680102,21.5,0.0675,0.01505
cap,No subsidy,SJ,150200,包头,interior boundary,0.01214748673098498,-17.41977185231042,21.5,0.0675,0.01505
cap,No subsidy,SJ,150300,乌海,interior boundary,0.012380832330600097,-16.256855689202894,21.5,0.0675,0.01505
cap,No subsidy,SJ,150400,赤峰,interior boundary,0.012220235274370592,-16.461508634886854,21.5,0.0675,0.01505
cap,No subsidy,SJ,150500,通辽,interior boundary,0.012180919181451342,-16.687640973994803,21.5,0.0675,0.01505
cap,No subsidy,SJ,150600,鄂尔多斯,interior boundary,0.012537356581207602,-14.979480478839719,21.5,0.0675,0.01505
cap,No subsidy,SJ,150700,呼伦贝尔,interior boundary,0.012030568084822592,-16.088513849388846,21.5,0.0675,0.01505
cap,No subsidy,SJ,150800,巴彦淖尔,interior boundary,0.011865442259362879,-19.82218229951991,21.5,0.0675,0.01505
cap,No subsidy,SJ,150900,乌兰察布,interior boundary,0.011895466601873038,-18.89827648509447,21.5,0.0675,0.01505
cap,No subsidy,SJ,152200,兴安,interior boundary,0.011821688079479743,-18.495424654445856,21.5,0.0675,0.01505
cap,No subsidy,SJ,152500,锡林郭勒,interior boundary,0.011564724040423614,-20.712126593580365,21.5,0.0675,0.01505
cap,No subsidy,SJ,152900,阿拉善,interior boundary,0.011606647664695654,-21.85062832457993,21.5,0.0675,0.01505
cap,No subsidy,SJ,210100,沈阳,interior boundary,0.012796203179016887,-12.764327249338976,21.5,0.0675,0.01505
cap,No subsidy,SJ,210200,大连,interior boundary,0.01274661203336578,-13.183499734598172,21.5,0.0675,0.01505
cap,No subsidy,SJ,210300,鞍山,interior boundary,0.013193155818381541,-10.359604186314527,21.5,0.0675,0.01505
cap,No subsidy,SJ,210400,抚顺,interior boundary,0.01336940284301065,-9.019906948257358,21.5,0.0675,0.01505
cap,No subsidy,SJ,210500,本溪,interior boundary,0.013620371126017262,-7.6624881016859945,21.5,0.0675,0.01505
cap,No subsidy,SJ,210600,丹东,interior boundary,0.013724208642188533,-7.117402792972371,21.5,0.0675,0.01505
cap,No subsidy,SJ,210700,锦州,interior boundary,0.012669354699536228,-13.680394239045654,21.5,0.0675,0.01505
cap,No subsidy,SJ,210800,营口,interior boundary,0.01278453908783846,-12.95662637522355,21.5,0.0675,0.01505
cap,No subsidy,SJ,210900,阜新,interior boundary,0.01254534708062991,-14.47318469990023,21.5,0.0675,0.01505
cap,No subsidy,SJ,211000,辽阳,interior boundary,0.013187177325614384,-10.412535168551472,21.5,0.0675,0.01505
cap,No subsidy,SJ,211100,盘锦,interior boundary,0.012625700732771604,-13.937708024721132,21.5,0.0675,0.01505
cap,No subsidy,SJ,211200,铁岭,interior boundary,0.012851749802440082,-12.13700769422644,21.5,0.0675,0.01505
cap,No subsidy,SJ,211300,朝阳,interior boundary,0.012421165610569322,-15.525535432420384,21.5,0.0675,0.01505
cap,No subsidy,SJ,211400,葫芦岛,interior boundary,0.012492819598504214,-15.009813818564112,21.5,0.0675,0.01505
cap,No subsidy,SJ,220100,长春,interior boundary,0.012043082360946047,-17.040820968104185,21.5,0.0675,0.01505
cap,No subsidy,SJ,220200,吉林,interior boundary,0.01284583802392163,-11.956370483741694,21.5,0.0675,0.01505
cap,No subsidy,SJ,220300,四平,interior boundary,0.012426983380550639,-14.76305506323024,21.5,0.0675,0.01505
cap,No subsidy,SJ,220400,辽源,interior boundary,0.012782155389162858,-12.359385705973978,21.5,0.0675,0.01505
cap,No subsidy,SJ,220500,通化,interior boundary,0.013232649620690751,-9.669213195878683,21.5,0.0675,0.01505
cap,No subsidy,SJ,220600,白山,interior boundary,0.012991436291786587,-11.190931427576857,21.5,0.0675,0.01505
cap,No subsidy,SJ,220700,松原,interior boundary,0.011616770888355887,-20.004013756200152,21.5,0.0675,0.01505
cap,No subsidy,SJ,220800,白城,interior boundary,0.011245527957972713,-22.986768380267335,21.5,0.0675,0.01505
cap,No subsidy,SJ,222400,延边,interior boundary,0.01295370114955503,-11.310571708300927,21.5,0.0675,0.01505
cap,No subsidy,SJ,230100,哈尔滨,interior boundary,0.012527509348583262,-13.53695209069906,21.5,0.0675,0.01505
cap,No subsidy,SJ,230200,齐齐哈尔,interior boundary,0.011693854067305408,-18.87424395332016,21.5,0.0675,0.01505
cap,No subsidy,SJ,230300,鸡西,interior boundary,0.012399088070622358,-14.46954684733521,21.5,0.0675,0.01505
cap,No subsidy,SJ,230400,鹤岗,interior boundary,0.01232720332674049,-14.756504347172267,21.5,0.0675,0.01505
cap,No subsidy,SJ,230500,双鸭山,interior boundary,0.012587240183176363,-13.059217888860303,21.5,0.0675,0.01505
cap,No subsidy,SJ,230600,大庆,interior boundary,0.011669014106758621,-19.199467707840654,21.5,0.0675,0.01505
cap,No subsidy,SJ,230700,伊春,interior boundary,0.012461651322744419,-13.886300766049885,21.5,0.0675,0.01505
cap,No subsidy,SJ,230800,佳木斯,interior boundary,0.012290578517309574,-14.897139800844684,21.5,0.0675,0.01505
cap,No subsidy,SJ,230900,七台河,interior boundary,0.012271833070558815,-15.088404718206903,21.5,0.0675,0.01505
cap,No subsidy,SJ,231000,牡丹江,interior boundary,0.012929841261671272,-11.206958089888303,21.5,0.0675,0.01505
cap,No subsidy,SJ,231100,黑河,interior boundary,0.012243598527744128,-15.08647501448138,21.5,0.0675,0.01505
cap,No subsidy,SJ,231200,绥化,interior boundary,0.012083833384212282,-16.189490758763554,21.5,0.0675,0.01505
cap,No subsidy,SJ,232700,大兴安岭,interior boundary,0.012098487094250033,-15.450932995933044,21.5,0.0675,0.01505
cap,No subsidy,SJ,310000,上海,interior boundary,0.017263996757554172,10.77047184732578,21.5,0.0675,0.01505
cap,No subsidy,SJ,320100,南京,interior boundary,0.017370768774917878,11.237066780350347,21.5,0.0675,0.01505
cap,No subsidy,SJ,320200,无锡,interior boundary,0.01712614590648016,10.24431127886703,21.5,0.0675,0.01505
cap,No subsidy,SJ,320300,徐州,interior boundary,0.01613536192318676,5.6149796925385544,21.5,0.0675,0.01505
cap,No subsidy,SJ,320400,常州,interior boundary,0.01753523632481446,12.043299464071993,21.5,0.0675,0.01505
cap,No subsidy,SJ,320500,苏州,interior boundary,0.01774159979203134,12.845981681989542,21.5,0.0675,0.01505
cap,No subsidy,SJ,320600,南通,interior boundary,0.01701075687296125,9.673689404263428,21.5,0.0675,0.01505
cap,No subsidy,SJ,320700,连云港,interior boundary,0.016144313105838397,5.5767092685457555,21.5,0.0675,0.01505
cap,No subsidy,SJ,320800,淮安,interior boundary,0.016388028923477554,6.839983326531524,21.5,0.0675,0.01505
cap,No subsidy,SJ,320900,盐城,interior boundary,0.0161819860642943,5.826812626369019,21.5,0.0675,0.01505
cap,No subsidy,SJ,321000,扬州,interior boundary,0.016823807272391637,8.91739133668716,21.5,0.0675,0.01505
cap,No subsidy,SJ,321100,镇江,interior boundary,0.017268455147257812,10.90585042695875,21.5,0.0675,0.01505
cap,No subsidy,SJ,321200,泰州,interior boundary,0.016908250439168892,9.26688664778817,21.5,0.0675,0.01505
cap,No subsidy,SJ,321300,宿迁,interior boundary,0.016295565279957465,6.356417849105469,21.5,0.0675,0.01505
cap,No subsidy,SJ,330100,杭州,interior boundary,0.012004917209221588,-13.487802861660384,21.5,0.0675,0.01505
cap,No subsidy,SJ,330200,宁波,interior boundary,0.016197928202654314,5.121882887471543,21.5,0.0675,0.01505
cap,No subsidy,SJ,330300,温州,interior boundary,0.017156431350692718,9.414000999884138,21.5,0.0675,0.01505
cap,No subsidy,SJ,330400,嘉兴,interior boundary,0.017799707837374258,13.269544639280298,21.5,0.0675,0.01505
cap,No subsidy,SJ,330500,湖州,interior boundary,0.018629209497920133,16.54118460653001,21.5,0.0675,0.01505
cap,No subsidy,SJ,330600,绍兴,interior boundary,0.010118000127331328,-21.77240774340237,21.5,0.0675,0.01505
cap,No subsidy,SJ,330700,金华,interior boundary,0.015835997112227315,3.5048200810964545,21.5,0.0675,0.01505
cap,No subsidy,SJ,330800,衢州,interior boundary,0.013345048431200018,-7.569697176601608,21.5,0.0675,0.01505
cap,No subsidy,SJ,330900,舟山,interior boundary,0.017401909895229297,10.79699127988124,21.5,0.0675,0.01505
cap,No subsidy,SJ,331000,台州,interior boundary,0.010700292229413575,-19.22187182766811,21.5,0.0675,0.01505
cap,No subsidy,SJ,331100,丽水,interior boundary,0.013148755345104488,-8.438301323566066,21.5,0.0675,0.01505
cap,No subsidy,SJ,340100,合肥,interior boundary,0.017913564371058757,13.647325558582224,21.5,0.0675,0.01505
cap,No subsidy,SJ,340200,芜湖,interior boundary,0.01814681562320786,14.700487107083177,21.5,0.0675,0.01505
cap,No subsidy,SJ,340300,蚌埠,interior boundary,0.017467334785731477,11.62231368781704,21.5,0.0675,0.01505
cap,No subsidy,SJ,340400,淮南,interior boundary,0.017427754625706633,11.655146384861837,21.5,0.0675,0.01505
cap,No subsidy,SJ,340500,马鞍山,interior boundary,0.01760919611505258,12.185032111348391,21.5,0.0675,0.01505
cap,No subsidy,SJ,340600,淮北,interior boundary,0.016532872702924094,7.594533445065849,21.5,0.0675,0.01505
cap,No subsidy,SJ,340700,铜陵,interior boundary,0.01841491886216814,15.948322612821016,21.5,0.0675,0.01505
cap,No subsidy,SJ,340800,安庆,interior boundary,0.018791148001054848,17.323693233907306,21.5,0.0675,0.01505
cap,No subsidy,SJ,341000,黄山,interior boundary,0.015815109952156802,3.4115600317737744,21.5,0.0675,0.01505
cap,No subsidy,SJ,341100,滁州,interior boundary,0.017277552211039198,10.830726651505302,21.5,0.0675,0.01505
cap,No subsidy,SJ,341200,阜阳,interior boundary,0.01720332631503041,10.701824663101206,21.5,0.0675,0.01505
cap,No subsidy,SJ,341300,宿州,interior boundary,0.01645380151650429,7.179010758674281,21.5,0.0675,0.01505
cap,No subsidy,SJ,341500,六安,interior boundary,0.018818431908709247,17.323794764747845,21.5,0.0675,0.01505
cap,No subsidy,SJ,341600,亳州,interior boundary,0.01668009133891887,8.337094342844807,21.5,0.0675,0.01505
