case,context,policy,viable,si,sj,t,public_usd,private_gain_usd,additional_discounted_mwh
OM=proportional;Tdeg=0.005,cap,No subsidy,258,123,135,0,0.0,0.0,0.0
OM=proportional;Tdeg=0.005,cap,General20,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
OM=proportional;Tdeg=0.005,cap,New20,311,0,311,0,25144350.0,20871575.615580227,487290.34463292186
OM=proportional;Tdeg=0.005,area,No subsidy,337,8,0,329,0.0,0.0,0.0
OM=proportional;Tdeg=0.005,area,General20,337,0,0,337,77664768.78220902,73825201.6097238,34386.260649892625
OM=proportional;Tdeg=0.005,area,New20,337,0,0,337,77664768.78220902,73825201.6097238,34386.260649892625
OM=proportional;Tdeg=0.012,cap,No subsidy,258,123,135,0,0.0,0.0,0.0
OM=proportional;Tdeg=0.012,cap,General20,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
OM=proportional;Tdeg=0.012,cap,New20,311,0,311,0,25144350.0,20871575.615580227,487290.34463292186
OM=proportional;Tdeg=0.012,area,No subsidy,337,204,0,133,0.0,0.0,0.0
OM=proportional;Tdeg=0.012,area,General20,337,70,0,267,73277879.64123136,65801726.51809955,555708.8777161391
OM=proportional;Tdeg=0.012,area,New20,337,0,0,337,77664768.78220902,63856814.383724295,795501.041413649
OM=proportional;Tdeg=0.02,cap,No subsidy,258,123,135,0,0.0,0.0,0.0
OM=proportional;Tdeg=0.02,cap,General20,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
OM=proportional;Tdeg=0.02,cap,New20,311,0,311,0,25144350.0,20871575.615580227,487290.34463292186
OM=proportional;Tdeg=0.02,area,No subsidy,337,337,0,0,0.0,0.0,0.0
OM=proportional;Tdeg=0.02,area,General20,337,337,0,0,56545031.060645126,53852410.533947766,0.0
OM=proportional;Tdeg=0.02,area,New20,337,15,22,300,71367809.12663275,11023183.84314142,584990.6452826364
OM=3.2;Tdeg=0.005,cap,No subsidy,298,298,0,0,0.0,0.0,0.0
OM=3.2;Tdeg=0.005,cap,General20,333,333,0,0,39072550.00088294,35731263.605018556,491341.5961473757
OM=3.2;Tdeg=0.005,cap,New20,330,0,130,200,35556656.771328,17216426.469219428,128543.86145979843
OM=3.2;Tdeg=0.005,area,No subsidy,337,0,0,337,0.0,0.0,0.0
OM=3.2;Tdeg=0.005,area,General20,337,0,0,337,77664768.78220902,73966446.45924667,0.0
OM=3.2;Tdeg=0.005,area,New20,337,0,0,337,77664768.78220902,73966446.45924667,0.0
OM=3.2;Tdeg=0.012,cap,No subsidy,298,298,0,0,0.0,0.0,0.0
OM=3.2;Tdeg=0.012,cap,General20,333,333,0,0,39072550.00088294,35731263.605018556,491341.5961473757
OM=3.2;Tdeg=0.012,cap,New20,330,0,330,0,26680500.0,14423832.827593632,-112307.37482980287
OM=3.2;Tdeg=0.012,area,No subsidy,337,107,0,230,0.0,0.0,0.0
OM=3.2;Tdeg=0.012,area,General20,337,16,0,321,76662051.26427127,70913152.38053487,334280.4124989695
OM=3.2;Tdeg=0.012,area,New20,337,0,0,337,77664768.78220902,70681193.9537096,382830.1002041603
OM=3.2;Tdeg=0.02,cap,No subsidy,298,298,0,0,0.0,0.0,0.0
OM=3.2;Tdeg=0.02,cap,General20,333,333,0,0,39072550.00088294,35731263.605018556,491341.5961473757
OM=3.2;Tdeg=0.02,cap,New20,330,0,330,0,26680500.0,14423832.827593632,-112307.37482980287
OM=3.2;Tdeg=0.02,area,No subsidy,337,337,0,0,0.0,0.0,0.0
OM=3.2;Tdeg=0.02,area,General20,337,337,0,0,56545031.060645126,53852410.53394776,0.0
OM=3.2;Tdeg=0.02,area,New20,337,0,0,337,77664768.78220902,25254305.499666102,726171.7889246537
OM=10.95;Tdeg=0.005,cap,No subsidy,205,205,0,0,0.0,0.0,0.0
OM=10.95;Tdeg=0.005,cap,General20,298,298,0,0,34965825.52631566,28433069.92240855,1536187.2091127976
OM=10.95;Tdeg=0.005,cap,New20,262,0,64,198,29970095.203614723,11917998.033818737,724410.5459223033
OM=10.95;Tdeg=0.005,area,No subsidy,337,8,0,329,0.0,0.0,0.0
OM=10.95;Tdeg=0.005,area,General20,337,0,0,337,77664768.78220902,73823389.3104957,34386.260649892625
OM=10.95;Tdeg=0.005,area,New20,337,0,0,337,77664768.78220902,73823389.3104957,34386.260649892625
OM=10.95;Tdeg=0.012,cap,No subsidy,205,205,0,0,0.0,0.0,0.0
OM=10.95;Tdeg=0.012,cap,General20,298,298,0,0,34965825.52631566,28433069.92240855,1536187.2091127976
OM=10.95;Tdeg=0.012,cap,New20,262,0,262,0,21182700.0,9128261.605548285,485341.10391907534
OM=10.95;Tdeg=0.012,area,No subsidy,337,205,0,132,0.0,0.0,0.0
OM=10.95;Tdeg=0.012,area,General20,337,70,0,267,73277879.64123136,65771351.65674588,560230.4514762571
OM=10.95;Tdeg=0.012,area,New20,337,0,0,337,77664768.78220902,63810581.90412496,800022.6151737671
OM=10.95;Tdeg=0.02,cap,No subsidy,205,205,0,0,0.0,0.0,0.0
OM=10.95;Tdeg=0.02,cap,General20,298,298,0,0,34965825.52631566,28433069.92240855,1536187.2091127976
OM=10.95;Tdeg=0.02,cap,New20,262,0,262,0,21182700.0,9128261.605548285,485341.10391907534
OM=10.95;Tdeg=0.02,area,No subsidy,337,337,0,0,0.0,0.0,0.0
OM=10.95;Tdeg=0.02,area,General20,337,337,0,0,56545031.060645126,53852410.53394776,0.0
OM=10.95;Tdeg=0.02,area,New20,337,33,4,300,69543236.866284,10621198.15069956,652690.8448979488
