case,context,adcode,technology,npv_usd,discounted_mwh,construction_usd
Central,cap,110000,Si,186959.8729208932,21595.505941919713,558738.0237506496
Central,cap,120000,Si,185219.0154967135,21551.98450631522,558738.0237506496
Central,cap,130100,Si,147091.99720783535,20598.809049093266,558738.0237506496
Central,cap,130200,Si,156663.74109063667,20838.1026461633,558738.0237506496
Central,cap,130300,Si,173753.6849441625,21265.351242501445,558738.0237506496
Central,cap,130400,Si,118970.93971814172,19895.782611850926,558738.0237506496
Central,cap,130500,Si,129030.8578636059,20147.28056548753,558738.0237506496
Central,cap,130600,Si,156427.7186415402,20832.20208493589,558738.0237506496
Central,cap,130700,Si,186423.4937789596,21582.096463371374,558738.0237506496
Central,cap,130800,Si,168434.51391941265,21132.3719668827,558738.0237506496
Central,cap,130900,Si,163883.54445451306,21018.59773026021,558738.0237506496
Central,cap,131000,Si,163247.3569975365,21002.693043835796,558738.0237506496
Central,cap,131100,Si,148724.96364214306,20639.63320995096,558738.0237506496
Central,cap,140100,Si,163935.81679855345,21019.90453886122,558738.0237506496
Central,cap,140200,Si,210080.11104504773,22173.511895023577,558738.0237506496
Central,cap,140300,Si,151275.76609506208,20703.403271273935,558738.0237506496
Central,cap,140400,Si,149926.98866582022,20669.683835542888,558738.0237506496
Central,cap,140500,Si,126463.35776859098,20083.09306311216,558738.0237506496
Central,cap,140600,Si,219823.00685368956,22417.08429023962,558738.0237506496
Central,cap,140700,Si,156021.30507416348,20822.04174575147,558738.0237506496
Central,cap,140800,Si,136330.33858334614,20329.767583481036,558738.0237506496
Central,cap,140900,Si,192590.82693560323,21736.279792287467,558738.0237506496
Central,cap,141000,Si,141503.51182731843,20459.096914580346,558738.0237506496
Central,cap,141100,Si,178507.18546650637,21384.188755560044,558738.0237506496
Central,cap,150100,Si,199698.80315723526,21913.979197828266,558738.0237506496
Central,cap,150200,Si,213215.56102955923,22251.898144636365,558738.0237506496
Central,cap,150300,Si,224952.16733686448,22545.313302318995,558738.0237506496
Central,cap,150400,Si,188096.88519442896,21623.93124875811,558738.0237506496
Central,cap,150500,Si,188029.66141957347,21622.25065438672,558738.0237506496
Central,cap,150600,Si,207234.40212713217,22102.369172075683,558738.0237506496
Central,cap,150700,Si,121993.55462891173,19971.347984620177,558738.0237506496
Central,cap,150800,Si,243879.9857095961,23018.508761637288,558738.0237506496
Central,cap,150900,Si,212114.22204693907,22224.36467007086,558738.0237506496
Central,cap,152200,Si,176685.18192627313,21338.638667054212,558738.0237506496
Central,cap,152500,Si,206059.36490154715,22072.993241436063,558738.0237506496
Central,cap,152900,Si,260741.1595781799,23440.03810835188,558738.0237506496
Central,cap,210100,Si,166448.8974545487,21082.731555261103,558738.0237506496
Central,cap,210200,Si,174656.3023425075,21287.91667746007,558738.0237506496
Central,cap,210300,Si,154490.45640303017,20783.77052897314,558738.0237506496
Central,cap,210400,Si,125540.34359035642,20060.017708656294,558738.0237506496
Central,cap,210500,Si,124231.744066818,20027.302720567834,558738.0237506496
Central,cap,210600,Si,125269.94020885536,20053.257624118767,558738.0237506496
Central,cap,210700,Si,177877.6708096499,21368.450889138632,558738.0237506496
Central,cap,210800,Si,174018.3355995648,21271.967508886504,558738.0237506496
Central,cap,210900,Si,182389.12238016326,21481.237178401465,558738.0237506496
Central,cap,211000,Si,155921.91099894172,20819.556893870926,558738.0237506496
Central,cap,211100,Si,178298.6376450964,21378.975060024793,558738.0237506496
Central,cap,211200,Si,147091.39635788745,20598.79402784457,558738.0237506496
Central,cap,211300,Si,199833.93896573683,21917.357593040804,558738.0237506496
Central,cap,211400,Si,194824.53599789971,21792.122518844877,558738.0237506496
Central,cap,220100,Si,167975.0753458361,21120.886002543288,558738.0237506496
Central,cap,220200,Si,133984.00245405547,20271.10918024877,558738.0237506496
Central,cap,220300,Si,162173.06444506766,20975.835730024075,558738.0237506496
Central,cap,220400,Si,137507.59851820304,20359.19908185246,558738.0237506496
Central,cap,220500,Si,119404.71054914952,19906.626882626122,558738.0237506496
Central,cap,220600,Si,135398.91668601855,20306.482036047844,558738.0237506496
Central,cap,220700,Si,190205.83906342063,21676.6550954829,558738.0237506496
Central,cap,220800,Si,220012.89909761318,22421.831596337714,558738.0237506496
Central,cap,222400,Si,129920.65785666557,20169.525565314023,558738.0237506496
Central,cap,230100,Si,126537.04950956182,20084.93535663643,558738.0237506496
Central,cap,230200,Si,162553.45064090955,20985.34538492012,558738.0237506496
Central,cap,230300,Si,139157.79957913116,20400.454108375663,558738.0237506496
Central,cap,230400,Si,133999.40224947032,20271.494175134143,558738.0237506496
Central,cap,230500,Si,117805.43987593171,19866.645115795676,558738.0237506496
Central,cap,230600,Si,170040.29213846376,21172.516422358978,558738.0237506496
Central,cap,230700,Si,126407.79775609463,20081.70406279975,558738.0237506496
Central,cap,230800,Si,131202.23685793587,20201.56504034578,558738.0237506496
Central,cap,230900,Si,135625.01342877647,20312.134454616797,558738.0237506496
Central,cap,231000,Si,115099.4078204584,19798.994314408843,558738.0237506496
Central,cap,231100,Si,128154.49730492491,20125.371551520508,558738.0237506496
Central,cap,231200,Si,139532.48993842804,20409.821367358087,558738.0237506496
Central,cap,232700,Si,109229.76885622427,19652.253340302992,558738.0237506496
Central,cap,310000,Si,53094.71690477108,18248.877041516662,558738.0237506496
Central,cap,320100,Si,49914.892042864834,18169.381419969006,558738.0237506496
