province,band,full,spectral,nonspec,tcell,airmass
北京,III,0.8101508642628152,0.012460818627935133,0.7976900456348801,33.44223213829122,2.072431557335143
黑龙江,III,0.5764660347036266,0.007520614930989211,0.5689454197726374,21.447506631772608,2.277360450729775
湖北,IV,1.0652667092810653,0.021120544033070843,1.0441461652479944,36.48308135522833,1.6931350036500714
上海,III,0.9648812597146339,0.019066450322013928,0.94581480939262,32.5837204624576,1.690554696445851
广东,III,1.2243834407710485,0.0228268563672529,1.2015565844037956,38.331950945967364,1.585089821695047
海南,III,1.1098524172382662,0.023449925942009564,1.0864024912962567,38.498787366548335,1.5546774336852744
四川,IV,1.312901091681229,0.02149724077062931,1.2914038509105996,37.887417156529544,1.6402799909973844
云南,II,0.9028228581643205,0.018454442364279622,0.8843684158000409,31.096594577412027,1.623061651841541
西藏,I,0.43753245346558334,0.014510800255251866,0.42302165321033147,28.54348134174263,1.7329901885479526
宁夏,II,0.6770047104739163,0.015760511457996174,0.6612441990159201,33.21632458703616,1.9538840933034125
新疆,II,0.6326788422868157,0.014109513579207977,0.6185693287076077,30.286996465343343,2.0851727119566807
甘肃,I,0.5312270754194826,0.014741165749732055,0.5164859096697505,32.18432646905635,2.0085375953401017
天津,III,0.7597956562216401,0.012756318783035958,0.7470393374386042,30.925858833411038,2.0130691685959063
河北,III,0.8428855203917784,0.01570644909703045,0.827179071294748,35.49158921350771,2.0068398014333932
山西,II,0.7707214888029945,0.013009786827167247,0.7577117019758273,30.92077555270724,1.9797193796560832
内蒙古,II,0.5998072033446267,0.01150381338530515,0.5883033899593215,27.725475322458664,2.0284908545914
辽宁,III,0.6659394250682737,0.011473552444796198,0.6544658726234776,27.21575182044947,2.055696384401337
吉林,III,0.5603522706308484,0.0077604773591755105,0.5525917932716728,22.445653512055554,2.163556592338028
江苏,III,0.9587980012310648,0.018172143476258285,0.9406258577548066,33.56172996253346,1.767006234112449
浙江,III,1.1569456641948417,0.019283987425255944,1.1376616767695857,34.766209310031456,1.7041917324513978
安徽,III,1.0102335121425332,0.01918991324549868,0.9910435988970345,34.29345619167716,1.729449332459398
福建,III,1.1937000107816287,0.021774361430204614,1.171925649351424,35.4937365316487,1.5881352375409108
江西,III,1.1032016457305005,0.021964960575893144,1.0812366851546074,37.65297231772648,1.6553039108113643
山东,III,0.833836292780954,0.014085964689569686,0.8197503280913843,32.37054491887596,1.9000718609564065
河南,III,0.927851814647429,0.015906204180815564,0.9119456104666135,35.1688591922174,1.8512593399906756
湖南,IV,1.218809130670695,0.01988558360730419,1.1989235470633908,37.53326094929651,1.6841194388683256
广西,III,1.3092672436900044,0.023039333871932577,1.2862279098180718,38.24885628618289,1.5931039891577439
重庆,IV,1.520381764616352,0.02130596597245127,1.4990757986439007,37.69655381200447,1.560582035731016
贵州,IV,1.278478648048731,0.024030711323996812,1.254447936724734,30.272946987176546,1.5720293120181763
陕西,III,1.0484689605846587,0.017592666361010423,1.0308762942236482,38.214994127570186,1.7901982275447166
青海,II,0.6210370490646211,0.014554685735523876,0.6064823633290972,31.30778769958957,1.976329951472416
