城市,纬度,海拔m,年均气温,加权电池温,年GHI,晶硅比发电,钙钛矿比发电,钙钛矿优势%,晶硅PR,钙钛矿PR,晶硅LCOE分,钙钛矿LCOE分,LCOE比(钙/晶)
哈尔滨,45.75,150,4.7,21.4,1424.0,1594.0,1611.0,1.1,0.856,0.866,5.62,7.14,1.27
拉萨,29.65,3650,3.1,28.5,2132.0,2003.0,2043.0,2.0,0.826,0.843,4.47,5.63,1.26
乌鲁木齐,43.83,900,7.8,30.3,1658.0,1734.0,1784.0,2.9,0.831,0.855,5.16,6.45,1.25
昆明,25.04,1890,15.4,31.1,1628.0,1431.0,1496.0,4.5,0.825,0.862,6.25,7.69,1.23
敦煌,40.14,1140,11.4,32.2,1935.0,1960.0,2015.0,2.9,0.817,0.84,4.57,5.71,1.25
上海,31.23,10,17.0,32.6,1497.0,1342.0,1409.0,5.0,0.819,0.86,6.67,8.17,1.22
银川,38.49,1110,10.5,33.2,1779.0,1757.0,1824.0,3.8,0.819,0.85,5.1,6.31,1.24
北京,39.9,50,12.9,33.4,1578.0,1611.0,1684.0,4.5,0.821,0.858,5.56,6.83,1.23
武汉,30.59,30,18.6,36.5,1504.0,1309.0,1392.0,6.4,0.805,0.856,6.84,8.27,1.21
成都,30.67,500,17.8,37.9,1292.0,1093.0,1172.0,7.2,0.795,0.853,8.19,9.82,1.2
广州,23.13,20,22.3,38.3,1501.0,1263.0,1357.0,7.5,0.796,0.856,7.09,8.48,1.2
海口,20.04,15,24.8,38.5,1729.0,1418.0,1524.0,7.5,0.798,0.857,6.32,7.55,1.2
