province,region_en,lat,lon,shading_loss_pct
海南,South,20.04,110.32,1.9004257076020603
广西,South,22.82,108.36,2.546330109065431
广东,South,23.13,113.26,2.7843333967996875
云南,Southwest,25.04,102.71,3.151645102400513
福建,East,26.07,119.3,3.279957336582351
贵州,Southwest,26.65,106.63,3.4254130541191863
湖南,Central,28.2,112.97,4.092893163876532
江西,Central,28.68,115.86,4.008493120184287
重庆,Southwest,29.55,106.55,3.769048597396074
西藏,Other,29.65,91.14,3.9061570995354566
浙江,East,30.27,120.15,4.648745367201501
湖北,Central,30.59,114.3,4.464921417459822
四川,Southwest,30.67,104.07,4.319832946377645
上海,East,31.23,121.47,4.7470381213221895
安徽,East,31.83,117.23,5.032297242946216
江苏,East,32.05,118.79,5.305644825560463
陕西,Northwest,34.27,108.93,5.611938403382122
河南,Central,34.75,113.62,6.174915352292132
青海,Northwest,36.62,101.78,6.791143911007702
山东,East,36.65,117.0,6.791227711514014
山西,North,37.87,112.55,7.411133954149085
河北,North,38.04,114.51,7.4783586214224425
宁夏,Northwest,38.49,106.23,6.970866363219496
天津,North,39.13,117.2,7.76593151851106
北京,North,39.9,116.41,8.297507565632245
甘肃,Northwest,40.14,94.66,7.086027197353173
内蒙古,North,40.84,111.75,7.972955973420337
辽宁,Northeast,41.8,123.43,8.347873210664137
吉林,Northeast,43.82,125.32,9.458715738298551
新疆,Northwest,43.83,87.62,8.594147088581805
黑龙江,Northeast,45.75,126.63,10.84744962782006
