year,cum_china_gw,cum_global_gw,actual_price_usd_per_w,pred_lr20_usd_per_w,pred_lr_fit_usd_per_w,residual_vs_lr20
2015,43.2,229,0.55,0.55,0.55,0.0
2016,77.8,305,0.45,0.5015267663566851,0.44691305230387335,-0.05152676635668513
2017,130.2,404,0.34,0.4581341259622676,0.3645936355408448,-0.11813412596226758
2018,174.6,505,0.24,0.4263778028227001,0.3101879022823364,-0.1863778028227001
2019,204.7,593,0.22,0.404888849039666,0.2761218827578287,-0.184888849039666
2020,253.4,720,0.2,0.38036839457669014,0.23991925555721474,-0.18036839457669013
2021,308.0,843,0.27,0.3615379852599423,0.2140225621164657,-0.09153798525994228
2022,392.6,1057,0.23,0.3361439747579523,0.1816798484662866,-0.10614397475795231
2023,609.5,1418,0.15,0.305806636359129,0.1468572225332963,-0.15580663635912903
2024,886.6,1820,0.1,0.2821963937057742,0.1225725736088297,-0.1821963937057742
