city,key,lat,alt,tech,code,kwp,yield_kwh_per_kwp,yield_kwh_per_m2,PR,tcell_weighted,spectral_factor_w,ghi_kwh_m2,tair_mean
拉萨,lhasa,29.65,3650,晶硅,c-Si,4.482595099225668,2003.440934871538,307.5215906559297,0.8263535308920871,28.54348134174263,0.9890026249765982,2132.1637800000003,3.054405251141553
拉萨,lhasa,29.65,3650,钙钛矿,perovskite,5.632816774063653,2042.6524443007595,393.99404694826046,0.8425269896172494,28.54348134174263,1.0047602906655648,2132.1637800000003,3.054405251141553
拉萨,lhasa,29.65,3650,叠层,tandem,8.267993754733086,2023.8458284998487,572.9901062410748,0.8347698787882196,28.54348134174263,0.9890674820898319,2132.1637800000003,3.054405251141553
乌鲁木齐,urumqi,43.83,900,晶硅,c-Si,4.482595099225668,1733.928854980474,266.15237329270235,0.831103188563503,30.286996465343343,0.9920879160037948,1657.52409,7.7983150684931495
乌鲁木齐,urumqi,43.83,900,钙钛矿,perovskite,5.632816774063653,1784.2224274840935,344.14714888070387,0.8552097996000201,30.286996465343343,1.0034433723759018,1657.52409,7.7983150684931495
乌鲁木齐,urumqi,43.83,900,叠层,tandem,8.267993754733086,1775.0914499786675,502.56290483589873,0.8508331583683667,30.286996465343343,0.9921388474906246,1657.52409,7.7983150684931495
敦煌,dunhuang,40.14,1140,晶硅,c-Si,4.482595099225668,1959.5741060532325,300.78817678760333,0.8167639344686634,32.18432646905635,0.9912881413704623,1935.1824,11.391621004566211
敦煌,dunhuang,40.14,1140,钙钛矿,perovskite,5.632816774063653,2015.4475746515498,388.74667521857725,0.8400523795975322,32.18432646905635,1.0037434264529903,1935.1824,11.391621004566211
敦煌,dunhuang,40.14,1140,叠层,tandem,8.267993754733086,2008.352833316457,568.6037380547666,0.8370952427232555,32.18432646905635,0.991343344540335,1935.1824,11.391621004566211
银川,yinchuan,38.49,1110,晶硅,c-Si,4.482595099225668,1756.8157453515144,269.665435649353,0.8186330884528373,33.21632458703616,0.9908912800144987,1779.0692,10.49574086757991
银川,yinchuan,38.49,1110,钙钛矿,perovskite,5.632816774063653,1824.1840721127053,351.8550926054743,0.8500250779351373,33.21632458703616,1.004018197509868,1779.0692,10.49574086757991
银川,yinchuan,38.49,1110,叠层,tandem,8.267993754733086,1817.2004557424773,514.484783146262,0.8467708838326216,33.21632458703616,0.9909482271343615,1779.0692,10.49574086757991
哈尔滨,harbin,45.75,150,晶硅,c-Si,4.482595099225668,1593.503895876303,244.5976041753001,0.8561859732983187,21.447506631772608,0.9929920614693176,1424.2582999999997,4.720284246575343
哈尔滨,harbin,45.75,150,钙钛矿,perovskite,5.632816774063653,1611.3141661511431,310.7959902812893,0.8657553904986353,21.447506631772608,1.00228733624373,1424.2582999999997,4.720284246575343
哈尔滨,harbin,45.75,150,叠层,tandem,8.267993754733086,1596.522941067813,452.00668782999037,0.8578080993266352,21.447506631772608,0.993039840947531,1424.2582999999997,4.720284246575343
北京,beijing,39.9,50,晶硅,c-Si,4.482595099225668,1610.701315412434,247.23735148148532,0.8206229016268096,33.44223213829122,0.9912409671211889,1578.1503,12.933666666666667
北京,beijing,39.9,50,钙钛矿,perovskite,5.632816774063653,1683.7561822480764,324.7688632341778,0.8578430219725077,33.44223213829122,1.0033932693538776,1578.1503,12.933666666666667
北京,beijing,39.9,50,叠层,tandem,8.267993754733086,1678.4721136971464,475.20809204270927,0.8551508855564218,33.44223213829122,0.9912983113609092,1578.1503,12.933666666666667
成都,chengdu,30.67,500,晶硅,c-Si,4.482595099225668,1093.3978624747074,167.83297377797444,0.7954503130846959,37.887417156529544,0.9881377310835071,1292.36204,17.766804794520546
成都,chengdu,30.67,500,钙钛矿,perovskite,5.632816774063653,1172.2417322689364,226.10614223036853,0.8528094712329306,37.887417156529544,1.0050541905805506,1292.36204,17.766804794520546
成都,chengdu,30.67,500,叠层,tandem,8.267993754733086,1167.0833881295516,330.4240002570904,0.849056759981616,37.887417156529544,0.9882062271106243,1292.36204,17.766804794520546
武汉,wuhan,30.59,30,晶硅,c-Si,4.482595099225668,1308.845771461589,200.90351881971688,0.8047805120129683,36.48308135522833,0.9883138198111178,1503.7993,18.597416666666668
武汉,wuhan,30.59,30,钙钛矿,perovskite,5.632816774063653,1392.1012560967547,268.5134268346236,0.855972480550067,36.48308135522833,1.0048020829796238,1503.7993,18.597416666666668
武汉,wuhan,30.59,30,叠层,tandem,8.267993754733086,1384.9864935192525,392.11660635844197,0.8515977693389982,36.48308135522833,0.988382205677821,1503.7993,18.597416666666668
上海,shanghai,31.23,10,晶硅,c-Si,4.482595099225668,1342.1811601939164,206.02039129130608,0.8192722258798002,32.5837204624576,0.9886334577756014,1497.36519,17.04124315068493
上海,shanghai,31.23,10,钙钛矿,perovskite,5.632816774063653,1408.6276060617895,271.7010878203065,0.8598313763301827,32.5837204624576,1.0049385820115908,1497.36519,17.04124315068493
上海,shanghai,31.23,10,叠层,tandem,8.267993754733086,1397.3621844771376,395.62040510482257,0.8529549223231851,32.5837204624576,0.9886999869711034,1497.36519,17.04124315068493
昆明,kunming,25.04,1890,晶硅,c-Si,4.482595099225668,1431.365926044096,219.7099593634901,0.8247217581367016,31.096594577412027,0.9875080744963805,1628.3760499999999,15.410255707762557
昆明,kunming,25.04,1890,钙钛矿,perovskite,5.632816774063653,1496.0244240414224,288.5584959918584,0.8619765713026191,31.096594577412027,1.0048991162802619,1628.3760499999999,15.410255707762557
昆明,kunming,25.04,1890,叠层,tandem,8.267993754733086,1479.74435058982,418.9443981919172,0.8525963488484578,31.096594577412027,0.9875799055666825,1628.3760499999999,15.410255707762557
广州,guangzhou,23.13,20,晶硅,c-Si,4.482595099225668,1263.0833112425742,193.87913176945304,0.7961564327633378,38.331950945967364,0.9872614462794219,1501.0451,22.345302511415525
广州,guangzhou,23.13,20,钙钛矿,perovskite,5.632816774063653,1357.4731738250912,261.83423953071576,0.8556529803099835,38.331950945967364,1.0049815312094592,1501.0451,22.345302511415525
广州,guangzhou,23.13,20,叠层,tandem,8.267993754733086,1351.051817242752,382.5090396697574,0.8516054212102854,38.331950945967364,0.9873338549394772,1501.0451,22.345302511415525
海口,haikou,20.04,15,晶硅,c-Si,4.482595099225668,1417.5890758413805,217.59525819370532,0.7976406553826284,38.498787366548335,0.986636103371583,1728.62315,24.83345319634703
海口,haikou,20.04,15,钙钛矿,perovskite,5.632816774063653,1523.865043386759,293.9284933773755,0.8574393896201966,38.498787366548335,1.0048245049505584,1728.62315,24.83345319634703
海口,haikou,20.04,15,叠层,tandem,8.267993754733086,1515.25376257267,428.99780317864634,0.8525940449506513,38.498787366548335,0.9867110357879451,1728.62315,24.83345319634703
