province,tech,payback_yr,yield_kwh_per_kwp,embodied_kg_per_kwp,annual_offset_kg_per_kwp
北京,晶硅,0.5995437823795935,1610.701315412434,500.0,833.9674510767112
北京,钙钛矿,0.17749267658232784,1683.7561822480764,150.0,845.1052904733469
北京,叠层,0.23492899485410415,1678.4721136971464,200.0,851.3210560671926
黑龙江,晶硅,0.6060141813428734,1593.503895876303,500.0,825.0632004882204
黑龙江,钙钛矿,0.18547245334105752,1611.3141661511431,150.0,808.7454352273611
黑龙江,叠层,0.24698784866678922,1596.522941067813,200.0,809.7564357095947
湖北,晶硅,0.737814935863509,1308.845771461589,500.0,677.6767122704288
湖北,钙钛矿,0.21467863073207494,1392.1012560967547,150.0,698.7188221225628
湖北,叠层,0.2847116332228931,1384.9864935192525,200.0,702.4651495129648
上海,晶硅,0.7194900268057973,1342.1811601939166,500.0,694.9366653764035
上海,钙钛矿,0.21215997060769204,1408.6276060617895,150.0,707.0136726091798
上海,叠层,0.2821900942661196,1397.3621844771376,200.0,708.7420999668041
广东,晶硅,0.7645465270031566,1263.0833112425742,500.0,653.9824357843635
广东,钙钛矿,0.22015491522174266,1357.4731738250912,150.0,681.3384104957103
广东,叠层,0.2918628001746464,1351.051817242752,200.0,685.2534817055238
海南,晶硅,0.681217127998108,1417.5890758413805,500.0,733.9803705014721
海南,钙钛矿,0.19611604898755017,1523.865043386759,150.0,764.8532630265374
海南,叠层,0.26023480442775204,1515.25376257267,200.0,768.5367083768582
四川,晶硅,0.8831972258849149,1093.3978624747074,500.0,566.1249665939877
四川,钙钛矿,0.2549426310909476,1172.2417322689366,150.0,588.3676627879837
四川,叠层,0.3378694021114306,1167.0833881295516,200.0,591.9446944593085
云南,晶硅,0.6746604354311053,1431.365926044096,500.0,741.1135643080981
云南,钙钛矿,0.19976571685368294,1496.0244240414224,150.0,750.8795921667905
云南,叠层,0.26647965670849777,1479.74435058982,200.0,750.5263346191566
西藏,晶硅,0.48201369060479815,2003.440934871538,500.0,1037.3149347119868
西藏,钙钛矿,0.14630701974439742,2042.6524443007595,150.0,1025.2413060019562
西藏,叠层,0.19483784832256737,2023.8458284998487,200.0,1026.4946042151232
宁夏,晶硅,0.549679704022084,1756.8157453515144,500.0,909.6206324181691
宁夏,钙钛矿,0.16382907628018611,1824.1840721127053,150.0,915.5883888612352
宁夏,叠层,0.21699409402822376,1817.2004557424773,200.0,921.6840711525845
新疆,晶硅,0.5569351684484378,1733.928854980474,500.0,897.77056348039
新疆,钙钛矿,0.16749839420002316,1784.2224274840935,150.0,895.5309733947245
新疆,叠层,0.22214166293587473,1775.0914499786672,200.0,900.3263834291799
甘肃,晶硅,0.49280400059538454,1959.5741060532323,500.0,1014.6021529774953
甘肃,钙钛矿,0.14828189790593874,2015.4475746515495,150.0,1011.5867285105235
甘肃,叠层,0.19634088195068697,2008.352833316457,200.0,1018.636557058107
天津,晶硅,0.5959065365520906,1620.5325830349284,500.0,839.057753742718
天津,钙钛矿,0.17752406537855828,1683.4584700500504,150.0,844.9558637592878
天津,叠层,0.23554444457735346,1674.086464951704,200.0,849.0966550235042
河北,晶硅,0.5994090030680341,1611.0634875074609,500.0,834.1549717151129
河北,钙钛矿,0.17644643313659145,1693.740055759033,150.0,850.1163629863879
河北,叠层,0.23343154118446083,1689.2394427962745,200.0,856.7822453862703
山西,晶硅,0.6205142348885491,1556.2672129505695,500.0,805.7832872920399
山西,钙钛矿,0.18508612567156454,1614.6774395697826,150.0,810.4335182107334
山西,叠层,0.24572409577729684,1604.7338186927077,200.0,813.9209928409413
内蒙古,晶硅,0.5523629017133256,1748.2817110468166,500.0,905.2019939230066
内蒙古,钙钛矿,0.1665387946595842,1794.503149312027,150.0,900.6910390255282
内蒙古,叠层,0.22134087321123025,1781.5135579825994,200.0,903.5836766087743
辽宁,晶硅,0.6012477774177989,1606.1364302642824,500.0,831.6039057098366
辽宁,钙钛矿,0.18129107925273524,1648.4781972235069,150.0,827.3986818230984
辽宁,叠层,0.2410096251547891,1636.1245585451616,200.0,829.8423760941059
吉林,晶硅,0.5820811172542489,1659.0229957663314,500.0,858.9868064412808
吉林,钙钛矿,0.17765206120730934,1682.2455617360256,150.0,844.3470848613401
吉林,叠层,0.23662951092078016,1666.4099292903788,200.0,845.2031161360801
