path,group,role,exists,bytes,sha256
README.md,package metadata,Repository overview,True,9112,47e2d9d0d025bf695f2f509b03ba9d3ce1b2aa9f6410f47d1e951d1346441d9a
CITATION.cff,package metadata,Citation metadata,True,912,bc58c79e78440ca2722c4e9c59b011d1d1f4a143ef28dd3299ddf0cae930251b
.zenodo.json,package metadata,Archive metadata draft,True,1117,c3ee4afde78f932e6ade9bc0753a8208ac5fa2095838222d056b04b5e1404886
requirements-lock.txt,environment,Verified Python package lock,True,590,cf07c2e01cd8c44eb8b6278f55d290c943d78798d29b812d44694e629438ef84
pyproject.toml,environment,Test and package configuration,True,1591,a76f99a0383961844423d627d041f0dc1762b8ec55809fdee7c6b0fabe3b2381
docs/PAPER_C_draft.md,manuscript,English manuscript draft,True,38056,056541e30bcc7a52f700643b0ff19f7bd8a6e8c54f49aac8101d2a842fab1164
docs/PAPER_MAIN_COMPLETE.md,manuscript,Complete separated main manuscript,True,22291,e95dc4546bcb1465a67f68f6d7b8f9333f345b201be00b35dbd51e9d7308d4f1
docs/PAPER_MAIN_COMPLETE_zh.md,manuscript,Complete separated Chinese main manuscript,True,18065,601264e71c11992a51be4cc0b7e547b0507d80a5893e57253f07695fa2045cc9
docs/PAPER_C_draft_zh.md,manuscript,Chinese manuscript draft,True,31094,fd19f911f2f4b6b4ba93b2fb57e8293af84a17fbefca08782a56849a869c7ad1
docs/SUPPORTING_INFORMATION_DRAFT.md,manuscript,Supporting information draft,True,34134,137be876b8d50c57ef97dae8813540fee849d05618131d1c1d317ec40e31ffec
docs/SUPPORTING_INFORMATION_COMPLETE.md,manuscript,Complete separated supporting information,True,18507,c3f8ee281b3394ea59d7b5ac2aa8659fae4f15ee445885685fd598b66644be4a
docs/SUPPORTING_INFORMATION_COMPLETE_zh.md,manuscript,Complete separated Chinese supporting information,True,15586,4d26846e7e536e6179182756f25b95a5da97f2c0d86ab66886eb65ddbe929c8c
docs/DATA_PROVENANCE.md,provenance,Input and assumption tiering,True,8408,d3e1cb30036a630c62da558de4a30e0fd08c45a21b324fa05f15e2ef08599412
docs/DATA_SOURCES_AND_REFERENCES_zh.md,provenance,Chinese data-source and reference-system overview,True,10055,b9be32e814fd9ec2080af5fdb86cc916b8ff52531a267e1455b5fc1f35896293
docs/MODEL_ARCHITECTURE_AND_CALCULATION_LOGIC_zh.md,provenance,Chinese model architecture and calculation-logic overview,True,12456,c7d2cc6ac6cb61edbace52b4faaeaf76da1132da710183ea75c161fc53d0d9d8
docs/SOURCE_APPENDIX.md,provenance,Provincial source-table appendix,True,6801,1639059595681417a88004e521150bf6afabea9c326615312c2e1a03fd4e6240
docs/SI_SOURCE_AUDIT_STATUS.md,provenance,Provincial release-gate audit,True,1546,9b039c53939d91b5d5b21bae13463cf7bf383fd76717589e2a8310b8b1f666a4
