stress_case,beta,zenith_deg,relative_airmass,csi_sf,perovskite_sf,tandem_sf,perovskite_vs_csi_pct,tandem_vs_csi_pct
strong blue tilt,-0.3,15.0,1.034868701066905,0.9947487005604853,1.0723461046263385,0.9947487005604854,7.800704240390699,2.220446049250313e-14
strong blue tilt,-0.3,30.0,1.1539922333636758,0.9977308237066076,1.0740667184095725,0.9977308237066077,7.650950826533975,2.220446049250313e-14
strong blue tilt,-0.3,45.0,1.4125952520262743,1.003246395424142,1.0764751095284324,1.0032463954241422,7.299175400807845,2.220446049250313e-14
strong blue tilt,-0.3,60.0,1.9942928525292494,1.012172239898223,1.0774227721750307,1.012172239898223,6.446583862383837,0.0
strong blue tilt,-0.3,75.0,3.812911869220776,1.0237410511973175,1.063969864154246,1.0237410511973177,3.929588728505018,2.220446049250313e-14
moderate blue tilt,-0.15,15.0,1.034868701066905,0.988362652487866,1.0395054479587071,0.988362652487866,5.174496966483555,0.0
moderate blue tilt,-0.15,30.0,1.1539922333636758,0.9912851440349828,1.041123752015684,0.991285144034983,5.02767627262477,2.220446049250313e-14
moderate blue tilt,-0.15,45.0,1.4125952520262743,0.9966569937954913,1.043310544253769,0.9966569937954914,4.681003670140371,2.220446049250313e-14
moderate blue tilt,-0.15,60.0,1.9942928525292494,1.0052532853841762,1.0438054965174661,1.0052532853841762,3.8350743731771386,0.0
moderate blue tilt,-0.15,75.0,3.812911869220776,1.0160891401121568,1.0294318910615001,1.016089140112157,1.3131476779557616,2.220446049250313e-14
clear-sky base,0.0,15.0,1.034868701066905,0.9793166920082415,1.0039849727501375,0.9793166920082418,2.5189278343974664,4.440892098500626e-14
clear-sky base,0.0,30.0,1.1539922333636758,0.9821949671400617,1.0055266415219823,0.9821949671400619,2.3754626283473357,2.220446049250313e-14
clear-sky base,0.0,45.0,1.4125952520262743,0.9874489331212297,1.0075421273113343,0.9874489331212298,2.034859071303252,2.220446049250313e-14
clear-sky base,0.0,60.0,1.9942928525292494,0.9957480692915747,1.0076757439213198,0.9957480692915747,1.1978606835995276,0.0
clear-sky base,0.0,75.0,3.812911869220776,1.005852827605453,0.9925517621414719,1.005852827605453,-1.3223669605468835,0.0
moderate red tilt,0.15,15.0,1.034868701066905,0.967456551811226,0.9659117894737848,0.967456551811226,-0.15967252839925727,0.0
moderate red tilt,0.15,30.0,1.1539922333636758,0.9703066916281196,0.9674016477219752,0.9703066916281197,-0.2993944008847116,2.220446049250313e-14
moderate red tilt,0.15,45.0,1.4125952520262743,0.9754704200863317,0.9692954150315317,0.975470420086332,-0.6330284268643904,4.440892098500626e-14
moderate red tilt,0.15,60.0,1.9942928525292494,0.9835096077239731,0.9691608324756094,0.9835096077239731,-1.4589359509735278,0.0
moderate red tilt,0.15,75.0,3.812911869220776,0.9928992647012461,0.9534716401306871,0.9928992647012465,-3.9709591871258443,4.440892098500626e-14
strong red tilt,0.3,15.0,1.034868701066905,0.9526554206285219,0.9254579011992826,0.952655420628522,-2.8549167768651906,2.220446049250313e-14
strong red tilt,0.3,30.0,1.1539922333636758,0.9554936840129674,0.9269192120368253,0.9554936840129675,-2.990545354118146,2.220446049250313e-14
strong red tilt,0.3,45.0,1.4125952520262743,0.9605958624898662,0.9287388308335761,0.9605958624898664,-3.316382351857794,2.220446049250313e-14
strong red tilt,0.3,60.0,1.9942928525292494,0.9684163075968255,0.9284287876727737,0.9684163075968256,-4.1291663110551,2.220446049250313e-14
strong red tilt,0.3,75.0,3.812911869220776,0.9771216095096559,0.9123710262451911,0.977121609509656,-6.626665773665397,2.220446049250313e-14
