province,resource_band,baseline,silicon_stc_efficiency_pct,silicon_gamma_pct_per_c,weighted_cell_temperature_c,ghi_kwh_m2,adjusted_silicon_yield_kwh_kwp,perovskite_yield_kwh_kwp,perovskite_advantage_pct
北京,III,HJT low temperature coefficient,22.5,-0.26,33.44223213829122,1578.1503,1643.4303248849126,1683.7561822480764,2.453761303570179
北京,III,TOPCon central,22.0,-0.32,33.44223213829122,1578.1503,1635.1477467697323,1683.7561822480764,2.9727243653896673
北京,III,PERC high temperature coefficient,21.0,-0.37,33.44223213829122,1578.1503,1628.2455983404152,1683.7561822480764,3.4092267139699484
黑龙江,III,HJT low temperature coefficient,22.5,-0.26,21.447506631772608,1424.2582999999995,1592.9913590425845,1611.3141661511431,1.1502138416852992
黑龙江,III,TOPCon central,22.0,-0.32,21.447506631772608,1424.2582999999995,1596.3940666434817,1611.3141661511431,0.9346125633648672
黑龙江,III,PERC high temperature coefficient,21.0,-0.37,21.447506631772608,1424.2582999999995,1599.2296563108962,1611.3141661511431,0.7556456818168078
湖北,IV,HJT low temperature coefficient,22.5,-0.26,36.48308135522833,1503.7993,1344.7268319807138,1392.1012560967547,3.5229775289201903
湖北,IV,TOPCon central,22.0,-0.32,36.48308135522833,1503.7993,1335.5252648199794,1392.1012560967547,4.236235192780224
湖北,IV,PERC high temperature coefficient,21.0,-0.37,36.48308135522833,1503.7993,1327.857292186034,1392.1012560967547,4.8381677977575865
上海,III,HJT low temperature coefficient,22.5,-0.26,32.5837204624576,1497.36519,1368.0261196645895,1408.6276060617895,2.9678882452298883
上海,III,TOPCon central,22.0,-0.32,32.5837204624576,1497.36519,1361.8294792118631,1408.6276060617895,3.436416053866753
上海,III,PERC high temperature coefficient,21.0,-0.37,32.5837204624576,1497.36519,1356.6656121679246,1408.6276060617895,3.830125377087623
广东,III,HJT low temperature coefficient,22.5,-0.26,38.33195094596736,1501.0451,1303.8553266665085,1357.4731738250912,4.112254332362486
广东,III,TOPCon central,22.0,-0.32,38.33195094596736,1501.0451,1293.5083328812052,1357.4731738250912,4.9450660129423785
广东,III,PERC high temperature coefficient,21.0,-0.37,38.33195094596736,1501.0451,1284.885838060119,1357.4731738250912,5.649321800803886
海南,III,HJT low temperature coefficient,22.5,-0.26,38.498787366548335,1728.62315,1463.1579065796207,1523.865043386759,4.149048884891138
海南,III,TOPCon central,22.0,-0.32,38.498787366548335,1728.62315,1451.4026015189254,1523.865043386759,4.992580404086366
海南,III,PERC high temperature coefficient,21.0,-0.37,38.498787366548335,1728.62315,1441.6065139683458,1523.865043386759,5.706032028946528
四川,IV,HJT low temperature coefficient,22.5,-0.26,37.88741715652954,1292.36204,1127.9727465746444,1172.2417322689366,3.9246502921923776
四川,IV,TOPCon central,22.0,-0.32,37.88741715652954,1292.36204,1119.3176782643618,1172.2417322689366,4.728242484889544
四川,IV,PERC high temperature coefficient,21.0,-0.37,37.88741715652954,1292.36204,1112.1051213391263,1172.2417322689366,5.407457422495954
云南,II,HJT low temperature coefficient,22.5,-0.26,31.096594577412027,1628.37605,1454.124305935872,1496.0244240414224,2.8814674188795575
云南,II,TOPCon central,22.0,-0.32,31.096594577412027,1628.37605,1448.8245683317243,1496.0244240414224,3.2578033767088455
云南,II,PERC high temperature coefficient,21.0,-0.37,31.096594577412027,1628.37605,1444.408120328268,1496.0244240414224,3.5735262760377973
西藏,I,HJT low temperature coefficient,22.5,-0.26,28.54348134174263,2132.1637800000003,2016.3602931964042,2042.6524443007595,1.3039411256544842
西藏,I,TOPCon central,22.0,-0.32,28.54348134174263,2132.1637800000003,2012.08242727295,2042.6524443007595,1.5193223007887502
西藏,I,PERC high temperature coefficient,21.0,-0.37,28.54348134174263,2132.1637800000003,2008.5175390034053,2042.6524443007595,1.6995074543531885
宁夏,II,HJT low temperature coefficient,22.5,-0.26,33.21632458703616,1779.0692,1788.828994229475,1824.1840721127053,1.9764369873968457
宁夏,II,TOPCon central,22.0,-0.32,33.21632458703616,1779.0692,1780.0536948658523,1824.1840721127053,2.4791598913075807
宁夏,II,PERC high temperature coefficient,21.0,-0.37,33.21632458703616,1779.0692,1772.7409453961668,1824.1840721127053,2.9018975869055774
新疆,II,HJT low temperature coefficient,22.5,-0.26,30.286996465343343,1657.52409,1755.8391713328967,1784.2224274840935,1.6165066034863784
新疆,II,TOPCon central,22.0,-0.32,30.286996465343343,1657.52409,1750.2869148934694,1784.2224274840935,1.9388542702262868
新疆,II,PERC high temperature coefficient,21.0,-0.37,30.286996465343343,1657.52409,1745.6600345272802,1784.2224274840935,2.2090436966013094
甘肃,I,HJT low temperature coefficient,22.5,-0.26,32.18432646905635,1935.1824,1987.6513287561718,2015.4475746515495,1.3984467745040696
甘肃,I,TOPCon central,22.0,-0.32,32.18432646905635,1935.1824,1979.1201416248211,2015.4475746515495,1.8355345015540259
甘肃,I,PERC high temperature coefficient,21.0,-0.37,32.18432646905635,1935.1824,1972.0108190153624,2015.4475746515495,2.2026631505944527
天津,III,HJT low temperature coefficient,22.5,-0.26,30.92585883341104,1603.6684499999997,1645.8141054220198,1683.4584700500504,2.2872792561452693
天津,III,TOPCon central,22.0,-0.32,30.92585883341104,1603.6684499999997,1639.983120345812,1683.4584700500504,2.650963242540638
天津,III,PERC high temperature coefficient,21.0,-0.37,30.92585883341104,1603.6684499999997,1635.123966115639,1683.4584700500504,2.9560146469648885
河北,III,HJT low temperature coefficient,22.5,-0.26,35.49158921350771,1644.4605,1649.5631499249298,1693.740055759033,2.6780972790349855
河北,III,TOPCon central,22.0,-0.32,35.49158921350771,1644.4605,1639.24418396565,1693.740055759033,3.3244511297607193
河北,III,PERC high temperature coefficient,21.0,-0.37,35.49158921350771,1644.4605,1630.6450456662503,1693.740055759033,3.8693282919216365
山西,II,HJT low temperature coefficient,22.5,-0.26,30.92077555270724,1564.364,1579.738593950815,1614.6774395697826,2.2116852593686342
山西,II,TOPCon central,22.0,-0.32,30.92077555270724,1564.364,1574.1464931071537,1614.6774395697826,2.574788727739463
山西,II,PERC high temperature coefficient,21.0,-0.37,30.92077555270724,1564.364,1569.4864090707692,1614.6774395697826,2.8793515023662453
内蒙古,II,HJT low temperature coefficient,22.5,-0.26,27.725475322458664,1685.8092,1764.2147910681208,1794.503149312027,1.716818065308745
内蒙古,II,TOPCon central,22.0,-0.32,27.725475322458664,1685.8092,1761.3345068283477,1794.503149312027,1.8831540718183382
内蒙古,II,PERC high temperature coefficient,21.0,-0.37,27.725475322458664,1685.8092,1758.9342699618699,1794.503149312027,2.0221835436140756
辽宁,III,HJT low temperature coefficient,22.5,-0.26,27.21575182044947,1523.0938399999998,1620.1181910013224,1648.4781972235069,1.750489956825696
辽宁,III,TOPCon central,22.0,-0.32,27.21575182044947,1523.0938399999998,1617.9671827629418,1648.4781972235069,1.8857622568377863
辽宁,III,PERC high temperature coefficient,21.0,-0.37,27.21575182044947,1523.0938399999998,1616.1746758976244,1648.4781972235069,1.9987642306015685
吉林,III,HJT low temperature coefficient,22.5,-0.26,22.445653512055557,1525.0411,1661.1066640685463,1682.2455617360256,1.2725791861976976
吉林,III,TOPCon central,22.0,-0.32,22.445653512055557,1525.0411,1663.6563969934302,1682.2455617360256,1.1173680320160972
吉林,III,PERC high temperature coefficient,21.0,-0.37,22.445653512055557,1525.0411,1665.7811744308335,1682.2455617360256,0.9883883644451474
江苏,III,HJT low temperature coefficient,22.5,-0.26,33.56172996253346,1456.4179,1374.6026576892139,1414.520644950285,2.903965523257135
江苏,III,TOPCon central,22.0,-0.32,33.56172996253346,1456.4179,1367.577360849334,1414.520644950285,3.4325871021875454
江苏,III,PERC high temperature coefficient,21.0,-0.37,33.56172996253346,1456.4179,1361.7229468161008,1414.520644950285,3.8772716768585402
