tcell_c,airmass,predicted_advantage_pct
5.0,1.1,-0.6418372425534651
5.0,1.12,-0.6769793765934566
5.0,1.1400000000000001,-0.7121215106334484
5.0,1.1600000000000001,-0.7472636446734402
5.0,1.1800000000000002,-0.782405778713432
5.0,1.2000000000000002,-0.8175479127534238
5.0,1.22,-0.8526900467934152
5.0,1.24,-0.8878321808334069
5.0,1.26,-0.9229743148733986
5.0,1.28,-0.9581164489133904
5.0,1.3,-0.9932585829533822
5.0,1.32,-1.028400716993374
5.0,1.34,-1.0635428510333658
5.0,1.36,-1.0986849850733575
5.0,1.3800000000000001,-1.133827119113349
5.0,1.4,-1.1689692531533407
5.0,1.42,-1.2041113871933324
5.0,1.44,-1.2392535212333242
5.0,1.46,-1.2743956552733158
5.0,1.48,-1.3095377893133078
5.0,1.5,-1.3446799233532993
5.0,1.52,-1.3798220573932911
5.0,1.54,-1.414964191433283
5.0,1.56,-1.4501063254732747
5.0,1.58,-1.4852484595132665
5.0,1.6,-1.5203905935532582
5.0,1.62,-1.55553272759325
5.0,1.6400000000000001,-1.5906748616332418
5.0,1.6600000000000001,-1.6258169956732336
5.0,1.6800000000000002,-1.6609591297132253
5.0,1.7,-1.6961012637532167
5.0,1.72,-1.7312433977932085
5.0,1.74,-1.7663855318332002
5.0,1.76,-1.801527665873192
5.0,1.78,-1.8366697999131838
5.0,1.7999999999999998,-1.8718119339531751
5.0,1.8199999999999998,-1.906954067993167
5.0,1.8399999999999999,-1.9420962020331585
5.0,1.8599999999999999,-1.9772383360731505
5.0,1.88,-2.012380470113142
5.0,1.9,-2.047522604153134
5.0,1.92,-2.0826647381931256
5.0,1.94,-2.1178068722331176
5.0,1.96,-2.152949006273109
5.0,1.98,-2.1880911403131007
5.0,2.0,-2.2232332743530927
5.0,2.02,-2.2583754083930843
5.0,2.04,-2.2935175424330763
5.0,2.06,-2.328659676473068
5.0,2.08,-2.36380181051306
5.0,2.1,-2.3989439445530514
5.0,2.12,-2.4340860785930434
5.0,2.1399999999999997,-2.469228212633034
5.0,2.16,-2.504370346673027
5.0,2.1799999999999997,-2.5395124807130176
5.0,2.2,-2.57465461475301
5.0,2.2199999999999998,-2.609796748793001
5.0,2.24,-2.644938882832994
5.0,2.26,-2.6800810168729847
5.0,2.28,-2.7152231509129767
5.0,2.3,-2.7503652849529683
5.0,2.32,-2.7855074189929603
5.0,2.34,-2.820649553032952
5.0,2.36,-2.8557916870729434
5.0,2.38,-2.8909338211129354
5.0,2.4,-2.9260759551529274
5.0,2.42,-2.961218089192919
5.0,2.44,-2.9963602232329105
5.0,2.46,-3.0315023572729025
5.0,2.48,-3.0666444913128945
5.0,2.5,-3.1017866253528856
5.0,2.5199999999999996,-3.1369287593928767
5.0,2.54,-3.1720708934328696
5.0,2.5599999999999996,-3.2072130274728607
5.0,2.58,-3.2423551615128527
5.0,2.5999999999999996,-3.277497295552844
5.0,2.62,-3.3126394295928367
5.0,2.6399999999999997,-3.3477815636328274
5.0,2.66,-3.38292369767282
5.0,2.6799999999999997,-3.418065831712811
5.0,2.6999999999999997,-3.453207965752803
5.0,2.7199999999999998,-3.4883500997927945
